Year,Contestant,Original script,Rank,Award
2024,Leonard Arkan Caliskan,Leonard Arkan Caliskan,25,Gold medal
2024,Christian Hojas,Christian Hojas,97,Silver medal
2024,Nikola Götz,Niola Götz,116,Bronze medal
2024,Valentin Mitterlehner,Valentin Mitterlehner,133,Bronze medal
2023,Leonard Çalışkan,Leonard Arkan Çalışkan,88,Silver medal
2023,Rahel Vecsernyés-Handl,Rahel Vecsernyés-Handl,119,Bronze medal
2023,Christopher Taschler,Christopher Taschler,146,Bronze medal
2023,Valentin Mitterlehner,Valentin Mitterlehner,153,Bronze medal
2022,Michael Schembera,Michael Schembera,75,Silver medal
2022,Paul Johann Dorfer,Paul Johann Dorfer,98,Silver medal
2022,Florian Wuerfel,Florian Würfel,159,Bronze medal
2022,Felix Koller,Felix Koller,172,Bronze medal
2021,Michael Schembera,Michael Schembera,88,Silver medal
2021,Maciej Swiatek,Maciej Swiatek,115,Bronze medal
2021,Lukas Rost,Lukas Rost,140,Bronze medal
2021,Paul Johann Dorfer,Paul Johann Dorfer,190,Bronze medal
2020,Magdalena Lederbauer,Magdalena Lederbauer,38,Silver medal
2020,Maximilian Spitaler,Maximilian Spitaler,48,Silver medal
2020,Maciej Krzysztof Swiatek,Maciej Krzysztof Swiatek,124,Bronze medal
2020,Lukas Rost,Lukas Rost,144,Bronze medal
2019,Magdalena Lederbauer,Magdalena Lederbauer,51,Silver medal
2019,Melanie Kiem,Melanie Kiem,151,Bronze medal
2019,Erwin Victor Rait,Erwin Rait,159,Bronze medal
2019,Joseph Dorfer,Joseph Dorfer,166,Bronze medal
2018,Stefan Schmid,Stefan Schmid,41,Silver medal
2018,Florian Kluibenschedl,Florian Kluibenschedl,80,Silver medal
2018,Gregor Drelichowska,Gregor Drelichowska,125,Bronze medal
2018,Magdalena Lederbauer,Magdalena Lederbauer,136,Bronze medal
2017,Leonard Atzl,Leonard Atzl,97,Silver medal
2017,Gregor Drelichowska,Gregor Drelichowska,102,Bronze medal
2017,Stefan Schmid,Stefan Schmid,121,Bronze medal
2017,Sebastian Koelbl,Sebastian Koelbl,134,Bronze medal
2015,Tobias Wolflehner,Tobias Wolflehner,56,Silver medal
2015,Julian Stropp,Julian Stropp,110,Bronze medal
2015,Dominik Kiem,Dominik Kiem,115,Bronze medal
2015,Martin Peev,Martin Peev,116,Bronze medal
