Year,Contestant,Original script,Rank,Award
2024,Casper Faulconer,Casper Faulconer,221,Honorable mention
2024,Aaron Verniest,Aaron Verniest,,Participant
2024,Daniël Koppens,Daniël Pieter Koppens,,Participant
2024,Nathan Tenikue,Nathan Ulpien Tenikue,,Participant
2023,Lowie Goossens,Lowie Frederik H Goossens,209,Bronze medal
2023,Edouard Princen,Edouard Danilo Lucien Princen,,Participant
2023,Stijn Luyten,Stijn Luyten,,Participant
2023,Guy-Louis Lhoest,Guy-Louis Lhoest,,Participant
2022,Nore De Moor,Nore De Moor,214,Honorable mention
2022,Camille Jacomet,Camille Jacomet,,Participant
2022,Arthur Malherbe,Arthur Malherbe,,Participant
2022,Valerio Cipriani,Valerio Cipriani,,Participant
2021,Daan Roger Stan Vanhaecke,Daan Vanhaecke,171,Bronze medal
2021,Jef H.K. Van Eester,Jef Van Eester,,Participant
2021,Louis Pecheur,Louis Pecheur,,Participant
2021,Lukas Schieble,Lukas Schieble,,Participant
2020,Emile Norbert Eeckhoudt,Emile Norbert Eeckhoudt,160,Honorable mention
2020,Anne-Sophie Denise Tilleman,Anne-Sophie Denise Tilleman,,Participant
2020,Simon Pitte,Simon Pitte,,Participant
2020,Jerome Mayolet,Jerome Mayolet,,Participant
2019,Willem Jules S Vanmoerkerke,Willem Vanmoerkerke,,Participant
2019,Lucas Arthur Alexander Dooms,Lucas Dooms,,Participant
2019,Manon Anne Jackie Ghislaine Lenoir,Manon Lenoir,,Participant
2019,Lucas William M Viseur,Lucas Viseur,,Participant
2018,Brecht Guido M Pierreux,Brecht Guido M Pierreux,127,Bronze medal
2018,Pieter Stefaan Vanslambrouck,Pieter S. Vanslambrouck,196,Honorable mention
2018,Alexandre Lebailly,Alexandre Lebailly,,Participant
2018,Renaud Gourmand,Renaud Gourmand,,Participant
2017,Brecht Pierreux,Brecht Pierreux,170,Bronze medal
2017,Egon Bleukx,Egon Bleukx,,Participant
2017,Tom Winandy,Tom Winandy,,Participant
2017,Thibault Lavalleye,Thibault Lavalleye,,Participant
2015,Emile Vanderstraeten,Emile Vanderstraeten,189,Bronze medal
2015,Cédric Schoonen,Cédric Schoonen,190,Bronze medal
2015,Alexander Sahn Baumgartner,Alexander Sahn Baumgartner,,Participant
