Year,Contestant,Original script,Rank,Award
2024,Kazi Nadid Hossain,কাজী নাদিদ হোসেন,,Participant
2024,Mashfia Bint Matin,মাশফিয়া বিনতে মতিন,,Participant
2024,Ananto Shahriar Talukdar,অনন্ত শাহরিয়ার তালুকদার,,Participant
2024,Suvasish Halder,শুভাশীষ হালদার,,Participant
2023,Avishek Mazumder Santu,অভিষেক মজুমদার সন্তু,191,Bronze medal
2023,Leehan Hayder,লীহান হায়দার,,Participant
2023,Md. Ahad Islam Talukder,মো. আহাদ ইসলাম তালুকদার,,Participant
2023,Arjo Kar,আর্য্য কর,,Participant
2022,Avishek Mazumder Santu,অভিষেক মজুমদার সন্তু,175,Bronze medal
2022,Niloy Kumar Mondal,নিলয় কুমার মন্ডল,,Participant
2022,Nabiha Tahseen,নাবিহা তাহসিন,,Participant
2022,Khalid Hasan Tuhin,খালিদ হাসান তুহিন,,Participant
2021,Safwan Sakib,সাফওয়ান সাকিব,207,Honorable mention
2021,Mahin Kamal Sawdager,মাহিন কামাল সওদাগর,217,Honorable mention
2021,Khalid Hasan Tuhin,খালিদ হাসান তুহিন,218,Honorable mention
2021,Tawhid Muhammad Mubashwir,তাওহীদ মুহাম্মদ মুবাশ্বির,,Participant
