Year,Contestant,Original script,Rank,Award
2024,Victor Lilov,Виктор Делянов Лилов,2,Gold medal
2024,Preslav Georgiev,Преслав Ивайлов Георгиев,39,Silver medal
2024,Yavor Hristov,Явор Ивайлов Христов,54,Silver medal
2024,Nikola Ninkov,Никола Нинков Нинков,178,Bronze medal
2023,Victor Lilov,Виктор Делянов Лилов,21,Gold medal
2023,Krum Aleksandrov,Крум Найденов Александров,32,Gold medal
2023,Preslav Georgiev,Преслав Ивайлов Георгиев,44,Silver medal
2023,Yavor Hristov,Явор Ивайлов Христов,66,Silver medal
2022,Pavel Atanasov Nikolov,Павел Атанасов Николов,20,Gold medal
2022,Krum Naydenov Aleksandrov,Крум Найденов Александров,78,Silver medal
2022,Samuil Vladimirov Petkov,Самуил Владимиров Петков,90,Silver medal
2022,Yavor Ivaylov Hristov,Явор Ивайлов Христов,96,Silver medal
2021,Pavel Atanasov Nikolov,Павел Атанасов Николов,91,Silver medal
2021,Samuil Vladimirov Petkov,Самуил Владимиров Петков,109,Bronze medal
2021,Georgi Neliyanov Nedyalkov,Георги Нелиянов Недялков,128,Bronze medal
2021,Teodor Svilenov Maslyankov,Теодор Свиленов Маслянков,141,Bronze medal
2020,Damyan Stoyanov Frantzov,Дамян Францов,75,Silver medal
2020,Pavel Atanasov Nikolov,Павел Николов,90,Bronze medal
2020,Teodor Svilenov Maslyankov,Теодор Маслянков,97,Bronze medal
2020,Georgi Neliyanov Nedyalkov,Георги Недялков,138,Bronze medal
2019,Evgeni Mihaylov Statelov,Евгени Михайлов Стателов,21,Gold medal
2019,Kamen Pavlinov Petrov,Камен Павлинов Петров,69,Silver medal
2019,Damyan Stoyanov Frantzov,Дамян Стоянов Францов,176,Bronze medal
2019,Mihail Borislavov Paskalev,Михаил Бориславов Паскалев,187,Bronze medal
2018,Petar Petkov Hristov,Петър Петков Христов,32,Gold medal
2018,Evgeni Mihaylov Statelov,Евгени Михайлов Стателов,44,Silver medal
2018,Kamen Pavlinov Petrov,Камен Павлинов Петров,130,Bronze medal
2018,Denislav Krasimirov Stanchev,Денислав Красимиров Станчев,,Participant
2017,Petar Hristov,Петър Христов,19,Gold medal
2017,Krastyo Draginov,Кръстьо Драгинов,137,Bronze medal
2017,Vesela Mehandzhieva,Весела Механджиева,153,Bronze medal
2017,Kristina Kostadinova,Кристина Костадинова,155,Bronze medal
2016,Lyuben Borislavov,Любен Красимиров Бориславов,90,Bronze medal
2016,Boris Borisov,Борис Стефанов Борисов,125,Bronze medal
2016,Yanislav Danchovski,Янислав Светлинов Данчовски,132,Bronze medal
2016,Krastyo Draginov,Кръстьо Стоянов Драгинов,168,Bronze medal
2015,Pencho Boykov Beykov,Пенчо Бойков Бейков,75,Silver medal
2015,Silian Lubomirov Yanev,Силян Любомиров Янев,139,Bronze medal
2015,Boris Stefanov Borisov,Борис Стефанов Борисов,161,Bronze medal
2015,Lyuben Krasimirov Borislavov,Любен Красимиров Бориславов,175,Bronze medal
2014,Pencho Boykov Beykov,Пенчо Бойков Бейков,116,Bronze medal
2014,Kristiyan Krasimirov Georgiev,Кристиян Красимиров Георгиев,171,Bronze medal
2014,Boris Valeriev Mitrev,Борис Валериев Митрев,174,Bronze medal
2014,Nikola Miroslavov Pavlov,Никола Мирославов Павлов,,Participant
2013,Vasil Hristov Vasilev,Васил Христов Василев,102,Bronze medal
2013,Tsvetelin Iliyanov Iliev,Цветелин Илиянов Илиев,190,Bronze medal
2013,Boyan Ivanov Peychev,Боян Иванов Пейчев,200,Honorable mention
2013,Pencho Boykov Beykov,Пенчо Бойков Бейков,,Participant
2012,Petar Karazapryanov,Петър Антоан Каразапрянов,85,Silver medal
2012,Vasil Vasilev,Васил Христов Василев,144,Bronze medal
2012,Hristo Rasheev,Христо Георгиев Рашеев,157,Bronze medal
2012,Vladimir Milov,Владимир Пламенов Милов,,Participant
2011,Petar Antoan Karazapryanov,Петър Антоан Каразапрянов,113,Bronze medal
2011,Dimitr Vaskov Bakalov,Димитър Васков Бакалов,,Participant
2011,Georgi Rosenov Genov,Георги Росенов Генов,,Participant
2011,Vladimir Plamenov Milov,Владимир Пламенов Милов,,Participant
2010,Vasil Rosenov Vasilev,Васил Росенов Василев,142,Bronze medal
2010,Ivan Bojidarov Dimov,Иван Божидаров Димов,156,Bronze medal
2010,Fani Georgieva Madzharova,Фани Георгиева Маджарова,172,Bronze medal
2010,Tsvetan Hristov Tarnev,Цветан Христов Търнев,,Participant
2009,Martin Goshev Martinov,Мартин Мартинов Гошев,156,Bronze medal
2009,Yordan Georgiev,Йордан Георгиев,,Participant
2009,Dobri Dobrev,Добри Добрев,,Participant
2009,Stefan Angelov,Стефан Ангелов,,Participant
2008,Kiril Milenov Stoyanov,Кирил Миленов Стоянов,135,Bronze medal
2008,Yordan Hristov Georgiev,Йордан Христов Георгиев,,Participant
2008,Stefan Bozhidarov Angelov,Стефан Божидаров Ангелов,,Participant
2008,Dimitar Tomov Yordanov,Димитър Томов Йорданов,,Participant
2007,Zhivko Atanasov Georgiev,Живко Георгиев,58,Silver medal
2007,Ivanka Rosenova Zhivkova,Иванка Живкова,135,Bronze medal
2007,Stefan Dimitrov Kadiysky,Стефан Кадийски,,Participant
2007,Gergana Sasheva Valcheva,Гергана Сашева Вълчева,,Participant
2006,Ivan Krasimirov Ivanov,Иван Красимиров Иванов,168,Honorable mention
2006,Ivanka Rosenova Zhivkova,Иванка Живкова,,Participant
2006,Zhivko Atanasov Georgiev,Живко Георгиев,,Participant
2006,Tsvetan Krasimirov Zahariev,Цветан Захариев,,Participant
2005,Svetoslav Anachkov,Светослав Аначков,52,Silver medal
2005,Nikolay Vaklev,Николай Любомиров Ваклев,57,Silver medal
2005,Boris Chichanov,Борис Чичанов,69,Silver medal
2005,Ivan Krasimirov Ivanov,Иван Красимиров Иванов,,Participant
2004,Kalin Meshnicharov,Калин Мешничаров,40,Silver medal
2004,Boris Chichanov,Борис Христов Чичанов,,Participant
2004,Svetoslav Anachkov,Светослав Аначков,,Participant
2004,Nikolay Vaklev,Николай Ваклев,,Participant
2003,Dimitar Ivanov,Димитър Иванов,88,Bronze medal
2003,Yoanna Belezhanska,Йоанна Бележанска,186,Honorable mention
2003,Hristo Barbanov,Христо Върбанов,,Participant
2003,Vesko Gavrilov,Веско Гаврилов,213,Honorable mention
2002,Dimitar Pashov,Димитър Пашов,102,Bronze medal
2002,Filip Shushkov,Филип Шушков,116,Bronze medal
2002,Dimitar Ivanov,Димитър Иванов,148,Honorable mention
2002,Yoanna Belezhanska,Йоанна Бележанска,,Participant
2001,Nikolay Ivanov,Николай Иванов,32,Silver medal
2001,Georgi Jordanov,Георги Йорданов,89,Bronze medal
2001,Dimitar Pashov,Димитър Пашов,,Participant
2001,Filip Shushkov,Филип Шушков,,Participant
2000,Ivan Ivanov,Иван Иванов,16,Gold medal
2000,Georgi Jordanov,Георги Йорданов,104,Bronze medal
2000,Ivan Zakhariev,Иван Захариев,106,Bronze medal
2000,Dilyan Ferdinandov,Дилян Фердинандов,,Participant
1999,Georgiev Nikolaj Slavov,Николай Славов,91,Bronze medal
1999,Ivan Ivanov,Иван Иванов,101,Bronze medal
1999,Arsen Simonian,Арсен Симонян,,Participant
1999,Ivan Zakhariev,Иван Захариев,,Participant
1998,Venelin Borisov Georgiev,Венелин Георгиев,56,Silver medal
1998,Ivanov Strahil Pastuhov,Иван Пастухов,110,Bronze medal
1998,Petrov Ivailo Petrov,Ивайло Петров,,Participant
1998,Georgiev Nikolaj Slavov,Николай Славов,,Participant
1997,Dobrin Draganov,Добрин Драганов,95,Bronze medal
1997,Venelin Borisov Georgiev,Венелин Георгиев,,Participant
1997,Kostadin Kasapov,Костадин Касапов,,Participant
1997,Alkan Emin,Алкан Емин,,Participant
1996,Dobrin Draganov,Добрин Драганов,72,Bronze medal
1996,Kalin Kojucharov,Калин Кожухаров,,Participant
1996,Borjana Dimitrova,Боряна Димитрова,,Participant
1996,Boris Najdenov,Борис Найденов,,Participant
1995,Rossen Pavlov Apostolov,Росен Апостолов,84,Bronze medal
1995,Boril Stefanov Tchernev,Борил Чернев,89,Bronze medal
1995,Emilia Kirilova Belemezova,Емилия Белемезова,,Participant
1995,Alexandre Dimitrov Apostolov,Александър Апостолов,,Participant
1994,Kaloyan Stoyanov Ivanov,Калоян Иванов,84,Bronze medal
1994,Petre Kirchev Stoimenov,Петър Кирчев,,Participant
1994,Nicolay Vasilev Tsarevsky,Николай Царевски,,Participant
1994,Tzvetan Nedialkov Piperov,Цветан Пиперов,,Participant
