Year,Contestant,Original script,Rank,Award
2024,Lucas Nogueira Gilioti Loes,Lucas Nogueira Gilioti Loes,6,Gold medal
2024,Gabriel Paz Sampaio Aguiar,Gabriel Paz Sampaio Aguiar,62,Silver medal
2024,Artur Galiza Magalhães,Artur Galiza Magalhães,98,Silver medal
2024,Fernando Henrique Melo Garcia,Fernando Henrique Melo Garcia,154,Bronze medal
2023,Gabriel Aguiar,Gabriel Paz Sampaio Aguiar,56,Silver medal
2023,Artur Magalhaes,Artur Galiza Magalhaes,87,Silver medal
2023,Joao Vitor Fonseca,Joao Vitor Pereira Fonseca,108,Silver medal
2023,Nailton Castro,Nailton Gama de Castro,124,Bronze medal
2022,Rafael Moreno Ribeiro,Rafael Moreno Ribeiro,153,Bronze medal
2022,Moises Holanda de Souza,Moises Holanda de Souza,200,Bronze medal
2022,Diego do Nascimento Gomes,Diego do Nascimento Gomes,201,Bronze medal
2022,Joao Pedro Siebra Vieira,Joao Pedro Siebra Vieira,225,Honorable mention
2021,Vinicius da Silveira Lanza Avelar,Vinicius da Silveira Lanza Avelar,57,Silver medal
2021,Cassia Caroline Aguiar da Ponte,Cassia Caroline Aguiar da Ponte,130,Bronze medal
2021,Marina Malta Nogueira,Marina Malta Nogueira,146,Bronze medal
2021,Hana Gabriela Albuquerque Sousa,Hana Gabriela Albuquerque Sousa,182,Bronze medal
2020,Ygor De Santana Moura,Ygor De Santana Moura,34,Silver medal
2020,Pedro Yudi Honda,Pedro Yudi Honda,83,Bronze medal
2020,Thiago Jose Veloso De Souza,Thiago Jose Veloso De Souza,89,Bronze medal
2020,Davi Medeiros Fortunato Catanhede,Davi Medeiros Fortunato Catanhede,102,Bronze medal
2019,Ygor De Santana Moura,Ygor de Santana Moura,42,Silver medal
2019,Joaquim Miguel Moreira Santiago,Joaquim Miguel Moreira Santiago,56,Silver medal
2019,Thiago Oliveira Sousa,Thiago Oliveira Sousa,133,Bronze medal
2019,Lucas Yutaka Kuroishi,Lucas Yutaka,144,Bronze medal
2018,Vinicius Figueira Armelin,Vinicius Figueira Armelin,11,Gold medal
2018,Ivna de Lima F. Gomes,Ivna de Lima F. Gomes,29,Gold medal
2018,João Victor Moreira Pimentel,João Victor M. Pimentel,84,Silver medal
2018,Orisvaldo Salviano Neto,Orisvaldo Salviano Neto,184,Bronze medal
2017,Lígia Toscano de Melo,Lígia Toscano de Melo,62,Silver medal
2017,Ivna de Gomes,Ivna  de Gomes,71,Silver medal
2017,Joao Victor Pimentel,Joao Victor Pimentel,75,Silver medal
2017,Celso Renan Lima,Celso Renan Lima,135,Bronze medal
2016,Vitor Pires,Vitor Pires,58,Silver medal
2016,Pedro Silva,Pedro Silva,64,Silver medal
2016,Gabriel Amgarten,Gabriel Amgarten,89,Bronze medal
2016,Davi Aragao,Davi Aragao,95,Bronze medal
2015,Vitor Gomes Pires,Vitor Gomes Pires,77,Silver medal
2015,Pedro Teotonio de Sousa,Pedro Teotônio de Souza,114,Bronze medal
2015,Gabriel Ferreira Gomes Amgartem,Gabriel Ferreira Gomes Amgarten,125,Bronze medal
2015,Giovanni Elson Rafael de Souza,Giovanni Elson Rafael de Souza,,Participant
2014,Kevin Eiji Iwashita,Kevin Eiji Iwashita,130,Bronze medal
2014,Artur Souto Martins,Artur Souto Martins,132,Bronze medal
2014,Chan Song Moon,Chan Song Moon,147,Bronze medal
2014,Lia De Oliveira Domingues,Lia De Oliveira Domingues,,Participant
2013,Nicholas Costa Lima,Nicholas Costa Lima,121,Bronze medal
2013,Maurocélio Rocha Pontes,Maurocélio Rocha Pontes,144,Bronze medal
2013,Vitória Nunes Medeiros,Vitória Nunes Medeiros,172,Bronze medal
2013,Lívia Rodrigues de Araújo,Lívia Rodrigues de Araújo,175,Bronze medal
2012,Daniel Hara,Daniel Arjona de Andrade Hara,65,Silver medal
2012,Gabriel Matheus Pinheiro,Gabriel Matheus Viana Pinheiro,102,Bronze medal
