Year,Contestant,Original script,Rank,Award
2024,Saúl Rodríguez Víquez,Saúl Rodríguez Víquez,208,Honorable mention
2024,Josué Chacón Barrantes,Josué Chacón Barrantes,,Participant
2024,Nicolas Molina Arango,Nicolas Molina Arango,,Participant
2024,Jimena Chacón Castro,Jimena Chacón Castro,,Participant
2023,Henry Johao Mora Ureña,Henry Johao Mora Ureña,,Participant
2023,Alexander Sancho Dive,Alexander  Sancho Dive,,Participant
2023,José Daniel Muñoz Solís,José Daniel Muñoz Solís,,Participant
2023,Juan Pablo Hernández Abarca,Juan Pablo Hernández Abarca,,Participant
2022,Daniel Alberto Sáenz Obando,Daniel Alberto Sáenz Obando,,Participant
2022,Queisha Mariam Porras Rivera,Queisha Mariam Porras Rivera,,Participant
2022,Oscar Francisco Rojas Rojas,Oscar Francisco Rojas Rojas,,Participant
2021,Fanny Mariana Solís González,Fanny Mariana Solís González,,Participant
2021,Olivia Sojourner Dixon,Olivia Sojourner Dixon,,Participant
2021,Ignacio Herrera Gamboa,Ignacio Herrera Gamboa,,Participant
2019,Fabrizio Salas Ramírez,Fabrizio Salas Ramírez,189,Bronze medal
2019,Luis Diego Mata Boschini,Luis Diego Mata Boschini,,Participant
2018,Sebastián Solís-Vargas,Sebastián Solís-Vargas,137,Bronze medal
2018,Jafeth Méndez-Gomez,Jafeth Méndez-Gomez,,Participant
2018,Kevin Chinchilla-Mora,Kevin Chinchilla-Mora,,Participant
2018,José Pablo Vásquez-Rojas,José Pablo Vásquez-Rojas,,Participant
2017,Mario Esteban Gonzalez Vasquez,Mario Esteban Gonzalez Vasquez,112,Bronze medal
2017,Jafeth Manuel Mendez Gomez,Jafeth Manuel Mendez Gomez,,Participant
2017,Cesar Emanuel Ayerdis Ruiz,Cesar Emanuel Ayerdis Ruiz,,Participant
2016,Jasson Guillermo Rodriguez Mendez,Jasson Guillermo Rodriguez Mendez,154,Bronze medal
2016,Isabella Henderson Cook Méndez,Isabella Cook Méndez,,Participant
2016,Jesús Alejandro Vallejo Bermúdez,Jesús Alejandro Vallejo Bermúdez,,Participant
2015,Reyner Vargas Gamboa,Reyner Vargas Gamboa,128,Bronze medal
2015,Maria Gabriela Fernandez Scott,Maria Gabriela Fernandez Scott,,Participant
2015,Christopher Antonio Rosales Leiva,Christopher Antonio Rosales Leiva,,Participant
2015,Ruddy Fabian Delgado Paniagua,Ruddy Fabian Delgado Paniagua,,Participant
2014,Jennifer Calderon Mora,Calderon Mora Jennifer,186,Honorable mention
2014,Andres Mauricio Hidalgo Nuñez,Hidalgo Nuñez Andres Mauricio,,Participant
2014,Carlos Andres Mora Zamora,Mora Zamora Carlos Andres,,Participant
2013,Marlon Enrique Varela Suárez,Marlon Enrique Varela Suárez,140,Bronze medal
2013,Edelman José Espinoza Suárez,Edelman José Espinoza Suárez,,Participant
2013,Roberto Andrés González León,Roberto Andrés González León,,Participant
2013,Steve Santamaría Guzmán,Steve Santamaría Guzmán,,Participant
2012,Marlon Enrique Varela Suárez,Marlon Enrique Varela Suárez,,Participant
2012,Jose Espinoza Suarez,Jose Espinoza Suarez,,Participant
2012,Jose Rincon Escobar,Jose  Rincon Escobar,,Participant
2012,Charlie Hultgreen Mena,Charlie Hultgreen Mena,,Participant
2011,Maria Grant Valeria Alpizar,Maria Grant Valeria Alpízar,177,Bronze medal
2011,Luis Vargas Felipe Huertas,Luis Vargas Felipe Huertas,183,Honorable mention
2011,Wainer Camacho Francisco Araya,Wainer Camacho Francisco Araya,,Participant
2011,Tachmajal Corrales Marie Sanchez,Tachmajal Corrales Marie Sanchez,,Participant
2010,Rafael Angel Rodriguez Arguedas,Rafael Angel Rodriguez Arguedas,15,Gold medal
2010,Oscar Garcia Montero,Oscar Garcia Montero,179,Honorable mention
2010,Camacho Araya Wainer,Camacho Araya Wainer,,Participant
2010,Corrales Sanchez Tachmajal,Corrales Sanchez Tachmajal,,Participant
2008,Petra Vizjak,Petra Vizjak,,Participant
2008,Marica Malenica,Marica Malenica,,Participant
