Year,Contestant,Original script,Rank,Award
2024,Achilleas Thomas,Αχιλλέας Θωμάς,142,Bronze medal
2024,Mikhaylova Elizaveta,Mikhaylova Elizaveta,,Participant
2024,Paterianakis Michalis,Πατεριανακης Μιχαλης,,Participant
2024,Antoniou Antonios,Αντωνιου Αντωνιος,,Participant
2023,Petr Mikhaylov,Пётр Михайлов,182,Bronze medal
2023,Marios Fylaktou,Φυλακτού Μάριος,,Participant
2023,Nakou Dimitra Eleni,Νάκου Δήμητρα Ελένη,,Participant
2023,Antonios Antoniou,Αντωνίου Αντώνιος,,Participant
2022,Petr Mikhaylov,Михайлов Пётр Павлович,222,Honorable mention
2022,Sofia Slobodchikova,София Слободчикова,,Participant
2022,Christodoulos Pisias,Χριστόδουλος Πισίας,,Participant
2022,Theodoros Ioannou,Θεόδωρος Ιωάννου,,Participant
2021,Giorgos Papachristodoulou,Γιωργος Παπαχριστοδουλου,,Participant
2021,Christiana Kosta,Χριστιανα Κωστα,,Participant
2021,Jessica Thackeray,Jessica Thackeray,,Participant
2021,Stylianos Tamasios,Στυλιανος Ταμασιος,,Participant
2019,Avgoustinos Ioannou,Αυγουστινος Ιωαννου,165,Bronze medal
2019,Kyriakos Karyos,Καρυος Κυριακος,,Participant
2019,Ioannis Kestoras,Κεστορας Ιωαννης,,Participant
2019,Christos Palochis,Παλοχης Χριστος,,Participant
2018,Demetris Tikkis,Δημήτρης Τίκκης,,Participant
2018,Ioannis Michalis Kestoras,Γιάννης Μιχάλης Κέστορας,,Participant
2018,Andreas Dramiotis,Ανδρέας Δραμιώτης,,Participant
2018,Anna Maria Loukaidou,Άννα Μαρία Λουκαΐδου,,Participant
2017,Kyriakos Ioannou,Κυριάκος Ιωάννου,197,Honorable mention
2017,Andreas Voskos,Βοσκός Αντρέας,,Participant
2017,Neophytos Onesiforos,Νεοφύτου Ονησίφορος,,Participant
2017,Kossyva Christaleni,Κόσσυβα Χρυσταλλένη,,Participant
2016,Kyriakos Ioannou,Κυριάκο Ιωάννου,,Participant
2016,Giorgos Eleftheriou,Ελευθερίου Γιώργος,,Participant
2016,Stavros Sotirios Bofos,Μπόφος Σταύρος Σωτήριος,,Participant
2016,Marios Stasis,Στασής Μάριος,,Participant
2015,Eleftheriou Giorgos,Ελευθερίου Γιώργος,141,Bronze medal
2015,Zavroz Anninoz,Ζαβρός Άννινος,,Participant
2015,Demetris Skottis,Σκώττης Δημήτρης,,Participant
2015,Antigoni Avraam,Αβραάμ Αντιγόνη,,Participant
2014,Eleftheriou Giorgos,Γιώργος Ελευθερίου,131,Bronze medal
2014,Gkogkoglou Nikolaos,Νικόλας Γκόγκογλου,,Participant
2014,Skottis Demetris,Δημήτρης Σκώττης,,Participant
2014,Georgios Menelaou,Γιώργος Μενελάου,,Participant
2013,Soteris Soteriades,Σωτήρης Σωτηριάδης,154,Bronze medal
2013,Filippos Ioannou,Φίλιππος Ιωάννου,171,Bronze medal
2013,Christos Miliotis,Χρίστος Μηλιώτης,185,Bronze medal
2013,Maria Fala,Μαρία Φαλά,201,Honorable mention
2012,Sotiris Sotiriadis,Σωτηριάδης Σωτήρης,,Participant
2012,Christos Miliotis,Χρίστος Μηλιώτης,,Participant
2012,Thomas Thoma,Θωμάς Θωμά,,Participant
