Year,Contestant,Original script,Rank,Award
2024,Vaclav Verner,Václav Verner,19,Gold medal
2024,Matej Penicka,Matěj Pěnička,81,Silver medal
2024,Jakub Kochan,Jakub Kocháň,128,Bronze medal
2024,Andrea Slivova,Andrea Slívová,155,Bronze medal
2023,Jiří Vestfál,Vestfál,49,Silver medal
2023,Zdeněk Hartman,Zdeněk Hartman,62,Silver medal
2023,Erik Rozkovec,Erik Rozkovec,121,Bronze medal
2023,Jakub Kocháň,Jakub Kocháň,172,Bronze medal
2022,Václav Verner,Václav Verner,32,Gold medal
2022,Tomáš Heger,Tomáš Heger,84,Silver medal
2022,Zdeněk Hartman,Zdeněk Hartman,138,Bronze medal
2022,Jakub Janáč,Jakub Janáč,,Participant
2021,Filip Hůlek,Filip Hůlek,28,Gold medal
2021,Marek Pavlica,Marek Pavlica,67,Silver medal
2021,Tomáš Heger,Tomáš Heger,155,Bronze medal
2021,Jakub Sochor,Jakub Sochor,158,Bronze medal
2020,Jan Oboril,Jan Obořil,11,Gold medal
2020,Jan Vavrin,Jan Vavřín,33,Silver medal
2020,Filip Hulek,Filip Hůlek,64,Silver medal
2020,Jakub Schimmer,Jakub Schimmer,113,Bronze medal
2019,Jan Obořil,Jan Obořil,10,Gold medal
2019,Miroslava Novoveská,Miroslava Novoveská,70,Silver medal
2019,Filip Svěrák,Filip Svěrák,71,Silver medal
2019,Richard Veselý,Richard Veselý,79,Silver medal
2018,Jan Obořil,Jan Obořil,8,Gold medal
2018,Josef Tomeček,Josef Tomeček,25,Gold medal
2018,Miroslava Novoveská,Miroslava Novoveská,34,Gold medal
2018,Richard Veselý,Richard Veselý,46,Silver medal
2017,Josef Tomeček,Josef Tomeček,41,Silver medal
2017,Richard Veselý,Richard Veselý,73,Silver medal
2017,Jiří Ledvinka,Jiří Ledvinka,95,Silver medal
2017,Miroslava Novoveská,Miroslava Novoveská,129,Bronze medal
2016,Jiri Etrych,Jiri Etrych,40,Silver medal
2016,Josef Tomecek,Josef Tomecek,62,Silver medal
2016,Ladislav Prener,Ladislav Prener,65,Silver medal
2016,Pavel Zelenka,Pavel Zelenka,157,Bronze medal
2015,Jiří Etrych,Jiří Etrych,30,Gold medal
2015,Jan Šugar,Jan Šugar,68,Silver medal
2015,Ladislav Prener,Ladislav Prener,80,Silver medal
2015,Stanislav Chvíla,Stanislav Chvíla,93,Silver medal
2014,Adam Přáda,Adam Přáda,24,Gold medal
2014,Martin Balouch,Martin Balouch,63,Silver medal
2014,Stanislav Chvíla,Stanislav Chvíla,148,Bronze medal
2014,Michaela Krákorová,Michaela Krákorová,167,Bronze medal
2013,Roman Beránek,Roman Beránek,41,Silver medal
2013,Adam Přáda,Adam Přáda,54,Silver medal
2013,Kamil Maršálek,Kamil Maršálek,65,Silver medal
2013,Kryštof Březina,Kryštof Březina,151,Bronze medal
2012,František Petrouš,František Petrouš,29,Gold medal
2012,Kamil Maršalek,Kamil Maršálek,89,Silver medal
2012,Ondřej Hák,Ondřej Hak,93,Silver medal
