Year,Contestant,Original script,Rank,Award
2024,Theodor Petersen,Theodor Petersen,106,Bronze medal
2024,Bertil Friis Jensen,Bertil Friis Jensen,119,Bronze medal
2024,Anders Moll-Elsborg,Anders Moll-Elsborg,122,Bronze medal
2024,Fiona Palsgaard,Fiona Palsgaard,,Participant
2023,Sarah Svaneberg,Sarah Svaneberg,126,Bronze medal
2023,Mikkel Loesch,Mikkel Bindslev Loesch,190,Bronze medal
2023,Alexander Poulsen,Alexander Svenstrup Poulsen,203,Bronze medal
2023,Anders Moll-Elsborg,Anders Moll-Elsborg,210,Bronze medal
2022,Sara Winther,Sara Winther,167,Bronze medal
2022,Thor Marner,Thor Marner,188,Bronze medal
2022,Alexander Svenstrup Poulsen,Alexander Svenstrup Poulsen,196,Bronze medal
2022,Barnabas Labancz,Barnabás Labancz,219,Honorable mention
2021,Michael Estes,Michael Estes,160,Bronze medal
2021,Lin Bigom-Eriksen,Lin Bigom-Eriksen,191,Bronze medal
2021,Theodor Malte Novrup Redvall,Theodor Malte Novrup Redvall,,Participant
2021,Melanie Muntz,Melanie Muntz,,Participant
2020,Jens Peter Nielsen,Jens Peter Nielsen,,Participant
2020,Mathias Abildgaard Alminde,Mathias Abildgaard Alminde,,Participant
2020,Thomas Svava Mortensen,Thomas Svava Mortensen,,Participant
2020,Emil Andsbjerg Holm,Emil Andsbjerg Holm,,Participant
2019,Thomas Bro Falkenberg,Thomas Bro Falkenberg,11,Gold medal
2019,Kasper Krunderup Jakobsen,Kasper Krunderup Jakobsen,122,Bronze medal
2019,Mikaella Ty Ngo,Mikaella Ty Ngo,153,Bronze medal
2019,Rasmus Vester Munkner,Rasmus Vester Munkner,181,Bronze medal
2018,Thomas Bro Falkenberg,Thomas Bro Falkenberg,112,Bronze medal
2018,Oliver Ovsée Laub Solow,Oliver Ovsée Laub Solow,138,Bronze medal
2018,Nanna Lærke Baun,Nanna Lærke Baun,,Participant
2018,Mikaella Ty Ngo,Mikaella Ty Ngo,,Participant
2017,Benjamin Muntz,Benjamin Muntz,136,Bronze medal
2017,Albert Sneppen,Albert Sneppen,,Participant
