Year,Contestant,Original script,Rank,Award
2024,Josué Nicolás Vasco Díaz,Josué Nicolás Vasco Díaz,,Participant
2024,Diego Sebastián Chaves Narváez,Diego Sebastián Chaves Narváez,,Participant
2024,Andrés Gustavo Camacho Mieles,Andrés Gustavo Camacho Mieles,,Participant
2024,Paula Emilia Serranollumipanta,Paula Emilia Serranollumipanta,,Participant
2023,Ernesto Idrovo,Ernesto Idrovo,,Participant
2023,Gabriela Trujillo,Gabriela Trujillo,,Participant
2023,Javier Navarrete Tutiven,Javier Navarrete Tutiven,,Participant
2023,Emma Rivera,Emma Rivera,,Participant
2022,Joshua Alejandro Vallejo,Joshua Alejandro Vallejo Luna,,Participant
2022,Emma Madeline Rivera Yagual,Emma Madeline Rivera Yagual,,Participant
2022,Amanda Madelaine Alcívar Flores,Amanda Madelaine Alcívar Flores,,Participant
