Year,Contestant,Original script,Rank,Award
2024,Kaarel Toomet,Kaarel Toomet,61,Silver medal
2024,Karl Johann Külv,Karl Johann Külv,146,Bronze medal
2024,Ardi Raag,Ardi Raag,168,Bronze medal
2024,Ivan Vnukov,Ivan Vnukov,181,Bronze medal
2023,Artemi Smõšljajev,Artemi Smõšljajev,130,Bronze medal
2023,Mihkel Tali,Mihkel Tali,144,Bronze medal
2023,Karl Johann Külv,Karl Johann Külv,168,Bronze medal
2023,Karlis Suvi,Karlis Suvi,244,Honorable mention
2022,Artemi Smõšljajev,Artemi Smõšljajev,116,Bronze medal
2022,Liis Siigur,Liis Siigur,142,Bronze medal
2022,Mihkel Tali,Mihkel Tali,197,Bronze medal
2022,Hendrik Matvejev,Hendrik Matvejev,223,Honorable mention
2021,Aleksandr Beditski,Aleksandr Beditski,151,Bronze medal
2021,Liis Siigur,Liis Siigur,161,Bronze medal
2021,Andrei Kornijenko,Andrei Kornijenko,185,Bronze medal
2020,Nikita Zoglo,Nikita Žoglo,37,Silver medal
2020,Filipp Petuhhov,Filipp Petuhhov,76,Silver medal
2020,Aleksandr Beditski,Aleksandr Beditski,148,Bronze medal
2019,Nikita Žoglo,Nikita Žoglo,53,Silver medal
2019,Hanna-Riia Allas,Hanna-Riia Allas,85,Silver medal
2019,Andreas Simson,Andreas Simson,161,Bronze medal
2019,Mikael Rinne,Mikael Rinne,177,Bronze medal
2018,Hanna-Riia Allas,Hanna-Riia Allas,83,Silver medal
2018,Nikita Žoglo,Nikita Žoglo,120,Bronze medal
2018,Siim Kaukver,Siim Kaukver,147,Bronze medal
2018,Juri Volodin,Juri Volodin,,Participant
2017,Carel Kuusk,Carel Kuusk,85,Silver medal
2017,Paul Kerner,Paul Kerner,167,Bronze medal
2017,Taido Purason,Taido Purason,194,Bronze medal
2017,Siim Kaukver,Siim Kaukver,196,Bronze medal
2016,Anton Konovalov,Anton Konovalov,113,Bronze medal
2016,Carel Kuusk,Carel Kuusk,120,Bronze medal
2016,Hanna Maria Saik,Hanna Maria Saik,130,Bronze medal
2016,Edward Erelt,Edward Erelt,134,Bronze medal
2015,Rasmus Kisel,Rasmus Kisel,22,Gold medal
2015,Carel Kuusk,Carel Kuusk,89,Silver medal
2015,Raul Rinken,Raul Rinken,134,Bronze medal
2015,Edward Erelt,Edward Erelt,172,Bronze medal
2014,Rasmus Kisel,Rasmus Kisel,104,Bronze medal
2014,Krajuškina Maria,Krajuškina Maria,108,Bronze medal
2014,Karl Erik Lillo,Karl Erik Lillo,122,Bronze medal
2014,Mihkel Kotli,Mihkel Kotli,170,Bronze medal
2013,Maria Krajuškina,Maria Krajuškina,122,Bronze medal
2013,Lona-Liisa Sutt,Lona-Liisa Sutt,150,Bronze medal
2013,Uku Erik Tropp,Uku Erik Tropp,155,Bronze medal
2013,Mihkel Kotli,Mihkel Kotli,195,Honorable mention
2012,Taivo Pungas,Taivo Pungas,106,Bronze medal
2012,Jaan Toots,Jaan Toots,120,Bronze medal
2012,Eva-Lotta Käsper,Eva-Lotta Käsper,127,Bronze medal
2012,Lona-Liisa Sutt,Lona-Liisa Sutt,163,Bronze medal
2011,Julia Tšeglakova,Julia Tšeglakova,86,Silver medal
2011,Taivo Pungas,Taivo Pungas,112,Bronze medal
2011,Katrina Sepp,Katrina Sepp,141,Bronze medal
2011,Eva-Lotta Käsper,Eva-Lotta Käsper,170,Bronze medal
2010,Gleb Široki,Gleb Široki,20,Gold medal
2010,Maksim Mišin,Maksim Mišin,97,Bronze medal
2010,Ivan Jakovlev,Ivan Jakovlev,124,Bronze medal
2010,Kadi Liis Saar,Kadi Liis Saar,143,Bronze medal
2009,Taavi Pungas,Taavi Pungas,15,Gold medal
2009,Gleb Široki,Gleb Široki,52,Silver medal
2009,Kadi Liis Saar,Kadi Liis Saar,159,Bronze medal
2009,Maksim Mišin,Maksim Mišin,169,Honorable mention
2008,Taavi Pungas,Taavi Pungas,55,Silver medal
2008,Andres Laan,Andres Laan,71,Silver medal
2008,Svetlana Chupova,Svetlana Chupova,108,Bronze medal
2008,Jörgen Metsik,Jörgen Metsik,138,Bronze medal
2007,Andres Laan,Andres Laan,36,Silver medal
2007,Andi Kipper,Andi Kipper,69,Silver medal
2007,Taavi Pungas,Taavi Pungas,104,Bronze medal
2007,Ivan Ogibalov,Ivan Ogibalov,132,Bronze medal
2006,Andres Laan,Andres Laan,57,Silver medal
2006,Eliko Tõldsepp,Eliko Tõldsepp,125,Bronze medal
2006,Irina Tarassova,Irina Tarassova,144,Bronze medal
2006,Elo Sõnajalg,Elo Sõnajalg,,Participant
2005,Andres Laan,Andres Laan,99,Bronze medal
2005,Konstantin Ossipov,Konstantin Ossipov,103,Bronze medal
2005,Olga Jasnovidova,Olga Jasnovidova,115,Bronze medal
2005,Mikk Müraus,Mikk Müraus,,Participant
2004,Kaur Adamson,Kaur Adamson,76,Silver medal
2004,Jasper Adamson,Jasper Adamson,81,Bronze medal
2004,Olga Knjazeva,Olga Knjazeva,110,Bronze medal
2004,Viktoria Prostakova,Viktoria Prostakova,117,Bronze medal
2003,Vladislav Ivaništšev,Vladislav Ivaništšev,7,Gold medal
2003,Kaur Adamson,Kaur Adamson,78,Silver medal
2003,Anneli Kruve,Anneli Kruve,116,Bronze medal
2003,Jevgenia Tamjar,Jevgenia Tamjar,124,Bronze medal
2002,Vladislav Ivaništšev,Vladislav Ivaništšev,33,Silver medal
2002,Pavel Starkov,Pavel Starkov,49,Silver medal
2002,Jevgenia Tamjar,Jevgenia Tamjar,162,Honorable mention
