Year,Contestant,Original script,Rank,Award
2024,Valto Daavittila,Valto Daavittila,162,Bronze medal
2024,Severi Sulander,Severi Sulander,175,Bronze medal
2024,Jasper Kantoluoto,Jasper Nico Hermann Kantoluoto,187,Bronze medal
2024,Eemeli Myllymäki,Eemeli Myllymäki,219,Honorable mention
2023,Nikolas Juhava,Nikolas Juhava,194,Bronze medal
2023,Paulus Pöykkö,Paulus Pöykkö,231,Honorable mention
2023,Aino Koskinen,Aino Koskinen,235,Honorable mention
2023,Severi Sulander,Severi Sulander,,Participant
2022,Aku Hertell,Aku Oskari Hertell,137,Bronze medal
2022,Sihan Yu,Sihan Yu,165,Bronze medal
2022,Ilyas Kaader,Ilyas Kaader,,Participant
2022,Hanna Joronen,Hanna Katariina Joronen,,Participant
2021,Aku Hertell,Aku Hertell,197,Honorable mention
2021,Samuel Klaver,Samuel Klaver,204,Honorable mention
2021,Henri Kärpijoki,Henri Kärpijoki,211,Honorable mention
2021,Otto Keronen,Otto Keronen,,Participant
2020,Altti Olavi Juhanpoika Makela,Altti Olavi Juhanpoika Mäkelä,,Participant
2020,Samuel Joonatan Klaver,Samuel Joonatan Klaver,,Participant
2020,Netta Karoliina Karjalainen,Netta Karoliina Karjalainen,,Participant
2020,Samu Matias Huovinen,Samu Matias Huovinen,,Participant
2019,Altti Olavi Juhanpoika Mäkelä,Altti Olavi Juhanpoika Mäkelä,195,Bronze medal
2019,Ville Väinö Mikael Kukkola,Ville Väinö Mikael Kukkola,,Participant
2019,Jasu Aleksi Vehtari,Jasu Aleksi Vehtari,,Participant
2019,Heikki Juhani Simojoki,Heikki Juhani Simojoki,,Participant
2018,Siiri Susanna Kuoppala,Siiri Susanna Kuoppala,171,Bronze medal
2018,Joonatan Honkamaa,Joonatan Honkamaa,192,Bronze medal
2018,Tomi Patrik Termonen,Tomi Patrik Termonen,,Participant
2018,Jere Erik Niemi,Jere Erik Niemi,,Participant
2017,Tomi Ruosteoja,Tomi Ruosteoja,152,Bronze medal
