Year,Contestant,Original script,Rank,Award
2024,Ilia Dokadze,ილია დოკაძე,169,Bronze medal
2024,Archili Tsiklauri,არჩილი წიკლაური,,Participant
2024,Edik Ghazazyan,ედიკ ღაზაზიანი,,Participant
2023,Ketevan Peranidze,ქეთევან პერანიძე,106,Silver medal
2023,Nickolas Metreveli,ნიკოლას გიორგი მეტრეველი,,Participant
2023,IIlia Dokadze,ილია დოკაძე,,Participant
2023,Andrea Utiashvili,ანდრეა უტიაშვილი,,Participant
2022,Ketevan Peranidze,ქეთევან პერანიძე,48,Silver medal
2022,Archil Benashvili,არჩილ ბენაშვილი,146,Bronze medal
2022,Lizi Darchia,ლიზი დარჩია,150,Bronze medal
2022,Nickolas George Metreveli,ნიკოლას ჯორჯ მეტრეველი,232,Honorable mention
2021,Ketevan Peranidze,ქეთევან პერანიძე,120,Bronze medal
2021,Nino Abesadze,ნინო აბესაძე,163,Bronze medal
2021,Ioane Kapanadze,იოანე კაპანაძე,174,Bronze medal
2021,Lizi Darchia,ლიზი დარჩია,,Participant
2020,Nino Abesadze,ნინო აბესაძე,,Participant
2020,Ioane Kapanadze,იოანე კაპანაძე,,Participant
2020,Avtandil Giorgadze,ავთანდილი გიორგაძე,,Participant
2020,Nino Khelidze,ნინო ხელიძე,,Participant
2019,Saba Gogichaishvili,საბა გოგიჩაიშვილი,152,Bronze medal
2019,Lasha Khutsishvili,ხუციშვილი ლაშა,164,Bronze medal
2019,Nino Abesadze,აბესაძე ნინო,,Participant
2019,Gvantsa Margvelashvili,მარგველაშვილი გვანცა,,Participant
2018,George Petriashvili,გიორგი პეტრიაშვილი,110,Bronze medal
2018,Davit Rizhinashvili,დავით რიჟინაშვილი,113,Bronze medal
2018,Saba Gogichaishvili,საბა გოგიჩაიშვილი,151,Bronze medal
2018,Levan Gojiashvili,ლევან გოჯიაშვილი,203,Honorable mention
2017,Saba Tavdgiridze,საბა თავდგირიძე,118,Bronze medal
2017,Davit Rijinashvili,დავით რიჟინაშვილი,172,Bronze medal
2017,Aleksandre Pichkhadze,ალექსანდრე ფიჩხაძე,195,Bronze medal
2017,Levan Gojiashvili,ლევან გოჯიაშვილი,,Participant
2016,Saba Tavdgiridze,საბა თავდგირიძე,121,Bronze medal
2016,Nika Kutalia,ნიკა კუტალია,,Participant
2016,Aleksandre Pichkhadze,ალექსანდრე ფიჩხაძე,,Participant
2016,Giorgi Meshvildishvili,გიორგი მეშვილდიშვილი,,Participant
2015,Giorgi Meshvildishvili,გიორგი მეშვილდიშვილი,,Participant
2015,Elguja Gojiashvili,ელგუჯა გოჯიაშვილი,,Participant
2015,Luka Malashkhia,ლუკა მალაშხია,,Participant
2015,Armaz Tsutskiridze,არმაზ ცუცქირიძე,,Participant
2014,Levan Mekerishvili,ლევან მექერიშვილი,,Participant
2014,Luka Malashkhia,ლუკა მალაშხია,,Participant
2014,Nugzar Lekiashvili,ნუგზარ ლეკიაშვილი,,Participant
2014,Iulia Niauri,იულია ნიაური,,Participant
