Year,Contestant,Original script,Rank,Award
2024,Konrad Jannes Köhler,Konrad Jannes Köhler,57,Silver medal
2024,Paulina Sievert,Paulina Josefin Sievert,71,Silver medal
2024,Timur Malikov,Timur Malikov,82,Silver medal
2024,Magnus Lennart Güldenpfennig,Magnus Lennart Güldenpfennig,108,Bronze medal
2023,Mats Budäus,Mats Budäus,14,Gold medal
2023,Frederike Saal,Frederike Saal,63,Silver medal
2023,Maren May,Maren Sophie May,122,Bronze medal
2023,Niklas Küstner,Niklas Küstner,133,Bronze medal
2022,Mats Henrik Budäus,Mats Henrik Budäus,49,Silver medal
2022,Tim Bastian Enders,Tim Bastian Enders,63,Silver medal
2022,Felix Schubert,Felix Schubert,134,Bronze medal
2022,Frederike Saal,Frederike Saal,151,Bronze medal
2021,Linus Albert Schwarz,Linus Schwarz,55,Silver medal
2021,Tim Bastian Enders,Tim Bastian Enders,90,Silver medal
2021,Johann Sora Blakytny,Johann Sora Blakytny,117,Bronze medal
2021,Fynn Lasse Noah Kessels,Fynn Lasse Noah Kessels,157,Bronze medal
2020,Maximilian Mittl,Maximilian Mittl,40,Silver medal
2020,Frederik Laurin Walter,Frederik Laurin Walter,69,Silver medal
2020,Linus Albert Schwarz,Linus Albert Schwarz,78,Bronze medal
2020,Tom Erik Steinkopf,Tom Erik Steinkopf,119,Bronze medal
2019,Sebastian Witte,Sebastian Witte,57,Silver medal
2019,Arina Augusta Schober,Arina Augusta Schober,75,Silver medal
2019,Julius Domack,Julius Domack,150,Bronze medal
2019,Paul Beurich,Paul Beurich,162,Bronze medal
2018,Sebastian Witte,Sebastian Witte,101,Bronze medal
2018,Thomas Froitzheim,Thomas Froitzheim,164,Bronze medal
2018,Roman Herbert Behrends,Roman Herbert Behrends,186,Bronze medal
2018,Lukas Lettmann,Lukas Lettmann,,Participant
2017,Alexei Torgashov,Alexei Torgashov,127,Bronze medal
2017,Xincheng Miao,Xincheng Miao,128,Bronze medal
2017,Franz Seckel,Franz Seckel,166,Bronze medal
2017,Johannes Günzl,Johannes Günzl,175,Bronze medal
2016,Simon Lichtinger,Simon Lichtinger,81,Silver medal
2016,Johnny Alexander Jimenez Siegert,Johnny Alexander Jimenez Siegert,107,Bronze medal
2016,Leo Gitin,Leo Gitin,133,Bronze medal
2016,Paul Rathke,Paul Rathke,137,Bronze medal
2015,Georg Dieter Michael Benno Christoph Berger,Georg Dieter Michael Benno Christoph Berger,15,Gold medal
2015,Robert Anton Rauschen,Robert Anton Rauschen,121,Bronze medal
2015,Christoph Kirsch,Christoph Kirsch,133,Bronze medal
2015,Felix Mende,Felix Mende,197,Honorable mention
2014,Morian Sonnet,Morian Sonnet,19,Gold medal
2014,Maximilian Keitel,Maximilian Keitel,29,Silver medal
2014,Georg Dieter Michael Benno Christoph Berger,Georg Dieter Michael Benno Christoph Berger,109,Bronze medal
2014,Anne Marie Omlor,Anne Marie Omlor,145,Bronze medal
2013,Maximilian Keitel,Maximilian Keitel,44,Silver medal
2013,Morian Sonnet,Morian Sonnet,46,Silver medal
2013,Can Philipp Kocer,Can Philipp Kocer,95,Silver medal
2013,Conrad Maximilian Szczuka,Conrad Maximilian Szczuka,136,Bronze medal
2012,Florian Berger,Florian Berger,1,Gold medal
2012,Toshiki Ishii,Toshiki Ishii,40,Silver medal
2012,Frederick Stein,Frederick Stein,73,Silver medal
2012,Patrick Pfaff,Patrick Pfaff,100,Bronze medal
2011,Florian Berger,Florian Berger,14,Gold medal
2011,Georg Krause,Georg Krause,72,Silver medal
2011,Toshiki Ishii,Toshiki Ishii,74,Silver medal
2011,Andreas Ohligschlaeger,Andreas Ohligschläger,111,Bronze medal
2010,Florian Berger,Florian Berger,37,Silver medal
2010,Manuel Eberl,Manuel Eberl,48,Silver medal
2010,Leonard Hasenclever,Leonard Hasenclever,67,Silver medal
2010,Lukas Wagner,Lukas Wagner,129,Bronze medal
