Year,Contestant,Original script,Rank,Award
1990,Frank Steffen,Frank Steffen,3,Gold medal
1990,Andreas Leineweber,Andreas Leineweber,12,Silver medal
1990,Frank Sobott,Frank Sobott,23,Silver medal
1990,Rainer Riedl,Rainer Riedl,56,Bronze medal
1989,Jens Piontkowski,Jens Piontkowski,3,Gold medal
1989,Rolf Winfried Auhl,Rolf Winfried Auhl,7,Gold medal
1989,Arno Steinig,Arno Steinig,10,Gold medal
1989,Alexander Zapf,Alexander Zapf,40,Bronze medal
1988,Jens Decker,Jens Decker,6,Gold medal
1988,Jan-Dierk Grunwaldt,Jan-Dierk Grunwaldt,18,Silver medal
1988,Kai Exner,Kai Exner,20,Silver medal
1988,Roland Sander,Roland Sander,29,Silver medal
1987,Jörg Woehl,Jörg Wöhl,1,Gold medal
1987,Carsten Schmuck,Carsten Schmuck,14,Silver medal
1987,Lars Riedel,Lars Riedel,35,Silver medal
1987,Thomas Fuhrmann,Thomas Fuhrmann,53,Bronze medal
1986,Matthias Brommer,Matthias Brommer,10,Gold medal
1986,Jens Christophers,Jens Christophers,12,Silver medal
1986,Alexander Veit,Alexander Veit,21,Silver medal
1986,Thomas Fuhrmann,Thomas Fuhrmann,30,Bronze medal
1985,Bernd Eggen,Bernd Eggen,3,Gold medal
1985,Jürgen Schleucher,Jürgen Schleucher,10,Gold medal
1985,Alexander Veit,Alexander Veit,16,Silver medal
1985,Thomas Müller,Thomas Müller,41,Bronze medal
1984,Jürgen Schleucher,Jürgen Schleucher,1,Gold medal
1984,Patrick Weiß,Patrick Weiß,3,Gold medal
1984,Andreas Poredda,Andreas Poredda,14,Silver medal
1984,Roland Püschel,Roland Püschel,22,Silver medal
1983,Thomas Endres,Thomas Endres,2,Gold medal
1983,Götz Uhrig,Götz Uhrig,7,Gold medal
1983,Matthias Enst,Matthias Enst,22,Silver medal
1983,Udo Grieser,Udo Grieser,26,Bronze medal
1982,Manfred Lehn,Manfred Lehn,1,Gold medal
1982,Thomas Szyperski,Thomas Szyperski,6,Gold medal
1982,Thomas Meyer,Thomas Meyer,11,Silver medal
1982,Matthias Ernst,Matthias Ernst,22,Silver medal
1981,Thomas Szyperski,Thomas Szyperski,17,Silver medal
1981,Thilo Levante,Thilo Levante,19,Bronze medal
1981,Thomas Meyer,Thomas Meyer,24,Bronze medal
1981,Carsten Spanka,Carsten Spanka,30,Bronze medal
1980,Manfred Lehn,Manfred Lehn,7,Silver medal
1980,Stefan Kashammer,Stefan Käshammer,12,Silver medal
1980,Tilo Levante,Tilo Levante,13,Silver medal
1980,Rüdiger Kock,Rüdiger Kock,18,Silver medal
1979,Matthias Niemeyer,Matthias Niemeyer,13,Silver medal
1979,Bernd Lamatsch,Bernd Lamatsch,19,Bronze medal
1979,Christian Griesinger,Christian Griesinger,,Participant
1979,Siegfried Labeit,Siegfried Labeit,,Participant
1978,Hans-Jürgen Kölsch,Hans-Jürgen Kölsch,5,Gold medal
1978,Christian Griesinger,Christian Griesinger,16,Bronze medal
1978,Bernd Lamatsch,Bernd Lamatsch,21,Bronze medal
1978,Matthias Niemeyer,Matthias Niemeyer,30,Bronze medal
1977,Bernd Lamatsch,Bernd Lamatsch,12,Silver medal
1977,Hans-Jürgen Kölsch,Hans-Jürgen Kölsch,18,Bronze medal
1977,Christoph Andreas Bührer,Christoph Andreas Bührer,28,Bronze medal
1977,Helmuth Sitzmann,Helmuth Sitzmann,37,Bronze medal
1976,Frank Thalacker,Frank Thalacker,29,Honorable mention
1976,Hans-Joachim Weissen,Hans-Joachim Weißen,34,Honorable mention
1976,Eckhard Kaufmann,Eckhard Kaufmann,37,Honorable mention
1976,Gerhard Sextl,Gerhard Sextl,39,Honorable mention
1975,Jens Uwe Voss,Jens Uwe Voß,27,Honorable mention
1975,Armin Wagner,Armin Wagner,33,Honorable mention
1975,Karin Heimes,Karin Heimes,,Participant
1975,Rainer Nowak,Rainer Nowak,,Participant
1974,Alexander Kud,Alexander Kud,,Participant
1974,Friedhelm Adam,Friedhelm Adam,,Participant
1974,Peter Koschar,Peter Koscher,,Participant
1974,Olaf Brönsen,Olaf Brönsen,,Participant
