Year,Contestant,Original script,Rank,Award
2024,Stefanos Rafail Mylonopoulos,Μυλωνοπουλος Στεφανος Ραφαηλ,158,Bronze medal
2024,Poulakis Michail,Πουλακης Μιχαηλ,165,Bronze medal
2024,Vamvalis Vasileios,Βαμβαλης Βασιλειος,171,Bronze medal
2024,Antonios Michail Skias,Σκιας Αντωνιος-Μιχαηλ,225,Honorable mention
2023,DIMITRIOS GEORGELES,ΓΕΩΡΓΕΛΕΣ ΔΗΜΗΤΡΙΟΣ,162,Bronze medal
2023,KONSTANTINOS KOUNDOURAKIS,ΚΟΥΝΔΟΥΡΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,170,Bronze medal
2023,ODYSSEAS KOMINIS - ALTANIS,ΟΔΥΣΣΕΑΣ ΚΟΜΙΝΗΣ - ΑΛΤΑΝΗΣ,185,Bronze medal
2023,STEFANOS-RAFAIL MYLONOPOULOS,ΣΤΕΦΑΝΟΣ-ΡΑΦΑΗΛ ΜΥΛΩΝΟΠΟΥΛΟΣ,224,Honorable mention
2022,Vaios Konstantinos Kakaes,Κακαες Βαιος-Κωνσταντινος,179,Bronze medal
2022,Dimitrios Kasimatis,Κασιματης Δημητριος,183,Bronze medal
2022,Athanasios Feidakis,Φειδακης Αθανασιος,189,Bronze medal
2022,Orestis Loukas Anemoulis,Ανεμουλης Ορεστης Λουκας,192,Bronze medal
2021,Ioannis Karageorgiou,Ιωαννης Καραγεωργιου,59,Silver medal
2021,Athanasios Feidakis,Αθανασιος Φειδακης,214,Honorable mention
2021,Dimitrios Stylianakis,Δημητριος Στυλιανακης,,Participant
2021,Vasileios Papastamopoulos,Βασιλειος Παπασταμοπουλος,,Participant
2020,Ioannis Karageorgiou,Ιωάννης Καραγεωργίου,105,Bronze medal
2020,Konstantinos Karakaras,Κωνσταντίνος Καρακάρας,152,Honorable mention
2020,Nikolaos Tsakiris,Νικόλαος Τσακίρης,155,Honorable mention
2020,Dimitrios-Polykarpos Karakostas,Πολύκαρπος Καρακώστας,,Participant
2019,Athanasios Fokaidis-Psyllas,Φωκαΐδης-Ψύλλας Αθανάσιος,111,Bronze medal
2019,Despoina Nteli,Ντελή Δέσποινα,,Participant
2019,Demetrios Constantine Kriezis,Κριεζής Δημήτριος,,Participant
2019,Georgios Charalampidis,Χαραλαμπίδης Γεώργιος,,Participant
2018,Alexandros Terzopoulos,Αλέξανδρος Τερζόπουλος,139,Bronze medal
2018,Emmanouil Kokkinis,Εμμανουήλ Κοκκίνης,167,Bronze medal
2018,Athanasios Fokaidis-Psyllas,ΑΘανάσιος Φωκαίδης-Ψύλλας,194,Bronze medal
2018,Konstantinos Ntounis,Κωνσταντίνος Ντούνης,,Participant
2017,Efstratios Tsakalidis,Ευστράτιος Τσακαλίδης,154,Bronze medal
2017,Alexandros Terzopoulos,Αλέξανδρος Τερζόπουλος,186,Bronze medal
2017,Anthony Kriezis,Αντώνης Κριεζής,,Participant
2017,Konstantinos Ntounis,Κωνσταντίνος Ντούνης,,Participant
2016,Iason Milionis,Ιάσονας Μηλιώνης,,Participant
2016,Dimitrios Anastasilakis,Ανεστης Βαρσαμιδης,,Participant
2016,Anestis Varsamidis,Δημητριος Αναστασιλακης,,Participant
2016,Fotios Panagiotis Xintaropulos,Φώτης Ξηνταρόπουλος,,Participant
2015,Dimitrios Styliaras,Δημήτρης Στυλιαράς,,Participant
2015,Athanasios Bourmpoulias,Αθανάσιος Μπουρμπούλιας,,Participant
2015,Dimitrios Anastasilakis,Δημήτρης Αναστασιλάκης,,Participant
2015,Vasileios Angelopoulos,Βασίλειος Αγγελόπουλος,,Participant
2014,Katomeris Nikolaos,Νικόλαος Κατωμέρης,,Participant
2014,Zoulianitis Efthimios,Ευθύμιος Ζουλιανίτης,,Participant
2014,Mitta Styliani,Στυλανή Μήττα,,Participant
2014,Styliaras Dimitrios,Δημήτριος Στυλιάρας,,Participant
2013,Ioannis Stavroulakis,Ιωάννης Σταυρουλάκης,,Participant
2013,Georgios Kotzampasis,Γεώργιος Κοτζάμπασης,,Participant
2013,Petros Fountas,Πέτρος Φουντάς,,Participant
2013,Georgios Karagkiaouris,Γεώργιος Καραγκιαούρης,,Participant
2011,Stefanos Tyros,Στέφανος Τύρος,156,Bronze medal
2011,Kyriakos Grammatikos,Κυριάκος Γραμματικός,188,Honorable mention
2011,Vasiliki Tara,Βασιλική Τάρα,,Participant
2011,Rafail Kartsioukas,Ραφαήλ Καρτσιούκας,,Participant
2010,Nikolaos Kaplaneris,Νικολαος Καπλανερης,,Participant
2010,Stefanos Tyros,Στέφανος Τύρος,,Participant
2010,Michael Matalliotakis,Μιχάλης Ματαλλιωτάκης,,Participant
2010,Georgios Papadimitriou,Γεώργιος Παπαδημητρίου,,Participant
2009,Dimitrios Ntalampekos,Δημητριος Νταλαμπεκος,,Participant
2009,Zoi Chatzieleftheriou,Ζωή Χατζηελευθερίου,,Participant
2009,Iordanis Savvidis,Ιορδανης Σαββιδης,,Participant
2009,Dimitrios Patsatzis,Δημήτριος Πατσατζής,,Participant
