Year,Contestant,Original script,Rank,Award
2024,Csaba Péter Viczkó,Viczkó Csaba Péter,50,Silver medal
2024,Viktória Bernadett Éger,Éger Viktória Bernadett,78,Silver medal
2024,Attila Perényi,Perényi Attila,121,Bronze medal
2024,Kata Erdélyi,Erdélyi Kata,137,Bronze medal
2023,Marton Szabo,Szabó Márton,9,Gold medal
2023,Marcell Imre Papp,Papp Marcell Imre,48,Silver medal
2023,Dániel Viczián,Viczián Dániel,58,Silver medal
2023,Dániel Nemeskéri,Nemeskéri Dániel,81,Silver medal
2022,Márton Szabó,Szabó Márton,54,Silver medal
2022,Lucio Saracco,Saracco Lucio,95,Silver medal
2022,Dániel Nemeskéri,Nemeskéri Dániel,103,Silver medal
2022,Marcell Imre Papp,Papp Marcell Imre,147,Bronze medal
2021,Lucio Saracco,Saracco Lucio,58,Silver medal
2021,Dávid Benkő,Benkő Dávid,93,Silver medal
2021,István Babcsányi,Babcsányi István,108,Bronze medal
2021,Benedek Sajósi,Sajósi Benedek,132,Bronze medal
2020,David Benko,Benkő Dávid,49,Silver medal
2020,Istvan David Ficsor,Ficsór István Dávid,91,Bronze medal
2020,Bulcsu Fajszi,Fajszi Bulcsú,117,Bronze medal
2020,Istvan Attila Garamvolgyi,Garamvölgyi István Attila,142,Bronze medal
2019,Ádám Kapdos,Kapdos Ádám,47,Silver medal
2019,Bence Balazs Mészáros,Mészáros Bence Balázs,97,Silver medal
2019,Iván András Kozák,Kozák András,103,Bronze medal
2019,Benedek László Juhász,Juhász Benedek László,120,Bronze medal
2018,Mátyás Sajgó,Sajgó Mátyás,23,Gold medal
2018,Bence Béla Botlik,Botlik Bence Béla,60,Silver medal
2018,Eszter Sára Arany,Arany Eszter Sára,109,Bronze medal
2018,Áron Czakó,Czakó Áron,115,Bronze medal
2017,Mátyás Sajgó,Sajgó Mátyás,61,Silver medal
2017,Soma Turi,Turi Soma,78,Silver medal
2017,Péter Pál Kalapos,Kalapos Péter Pál,83,Silver medal
2017,Bence Béla Botlik,Botlik Bence Béla,84,Silver medal
2016,Dávid Péter Kovács,Kovács Dávid Péter,34,Silver medal
2016,Tamás Károly Stenczel,Stenczel Tamás Károly,48,Silver medal
2016,Soma Turi,Turi Soma,50,Silver medal
2016,Áron Ricardo Perez-Lopez,Perez-Lopez Áron Ricardo,57,Silver medal
2015,Dávid Péter Kovács,Kovács Dávid Péter,26,Gold medal
2015,Áron Ricardo Perez-Lopez,Perez-Lopez Áron Ricardo,67,Silver medal
2015,Tamás Károly Stenczel,Stenczel Tamás Károly,113,Bronze medal
2015,Zoltán János Vörös,Vörös Zoltán János,,Participant
2014,Gábor Bence Borsik,Borsik Gábor Bence,52,Silver medal
2014,Ferenc Sándor Forman,Forman Ferenc Sándor,79,Silver medal
2014,Péter Angyal,Angyal Péter,89,Silver medal
2014,Péter Sütő,Sütő Péter,158,Bronze medal
2013,Gergo Salyi,Sályi Gergő,6,Gold medal
2013,Eszter Székely,Székely Eszter,22,Gold medal
2013,Peter Bolgar,Bolgár Péter,49,Silver medal
2013,Bence Czipo,Czipó Bence,88,Silver medal
2012,Gergő Salyi,Sályi Gergő,36,Silver medal
2012,Denes Berta,Berta Dénes,54,Silver medal
2012,Peter Bolgar,Bolgár Péter,57,Silver medal
2012,Marton Zwillinger,Zwillinger Márton,59,Silver medal
2011,Gergő Sályi,Sályi Gergő,5,Gold medal
2011,Attila Sveiczer,Sveiczer Attila,37,Silver medal
2011,Eszter Sarolta Pós,Pós Eszter Sarolta,39,Silver medal
2011,Bálint Batki,Batki Bálint,98,Bronze medal
2010,Eszter Najbauer,Najbauer Eszter,18,Gold medal
2010,Máté Somlyay,Somlyay Máté,23,Gold medal
2010,Attila Sveiczer,Sveiczer Attila,44,Silver medal
2010,Áron Szigetvári,Szigetvári Áron,69,Silver medal
2009,Júlia Batki,Batki Júlia,26,Gold medal
2009,Dávid Katona,Katona Dávid,31,Silver medal
2009,Soma Zsótér,Zsótér Soma,47,Silver medal
2009,Tamás Vörös,Vörös Tamás,107,Bronze medal
2008,János Sarka,Sarka János,22,Gold medal
2008,Tamás Vörös,Vörös Tamás,52,Silver medal
2008,Júlia Batki,Batki Júlia,62,Silver medal
2008,Bertalan Kovács,Kovács Bertalan,74,Silver medal
2007,Gyula Pálfy,Pálfy Gyula,25,Gold medal
2007,Attila Lovas,Lovas Attila,47,Silver medal
2007,Lőrinc Sárkány,Sárkány Lőrinc,59,Silver medal
2007,Bálint Balázs,Balázs Bálint,76,Silver medal
2006,Gyula Pálfy,Pálfy Gyula,58,Silver medal
2006,Márton Vass,Vass Márton,68,Silver medal
2006,Lőrinc Sárkány,Sárkány Lőrinc,87,Bronze medal
2006,Péter Nagy,Nagy Péter,102,Bronze medal
2005,Péter Kiss,Kiss Péter,15,Gold medal
2005,Gábor Bazsó,Bazsó Gábor,82,Bronze medal
2005,Gábor Halász,Halász Gábor,85,Bronze medal
2005,Gyula Pálfy,Pálfy Gyula,88,Bronze medal
2004,Péter Kiss,Kiss Péter,15,Gold medal
2004,Attila Gőgh,Gőgh Attila,28,Gold medal
2004,Márton Vass,Vass Márton,44,Silver medal
2004,Áron Kramarics,Kramarics Áron,149,Bronze medal
2003,Szilvia Lakatos,Lakatos Szilvia,14,Gold medal
2003,Attila Gőgh,Gőgh Attila,24,Gold medal
2003,Dávid Komáromy,Komáromy Dávid,103,Bronze medal
2003,Péter Kiss,Kiss Péter,174,Honorable mention
2002,Zsófia Szalay,Szalay Zsófia,14,Gold medal
2002,Márton Bein,Bein Márton,32,Silver medal
2002,Dávid Parázs,Parázs Dávid,86,Bronze medal
2002,János Balogh,Balogh János,108,Bronze medal
2001,Edit Mátyus,Mátyus Edit,45,Silver medal
2001,Albert Bartók,Bartók Albert,53,Silver medal
2001,Szilárd Varga,Varga Szilárd,61,Silver medal
2001,László Toka,Toka László,102,Bronze medal
2000,Zsolt Gengeliczki,Gengeliczki Zsolt,8,Gold medal
2000,András Rokob,Rokob András,9,Gold medal
2000,Edit Mátyus,Mátyus Edit,41,Silver medal
2000,Ádám Madarász,Madarász Ádám,58,Silver medal
1999,András Rokob,Rokob András,15,Gold medal
1999,András Pál,Pál András,18,Gold medal
1999,Gábor Czakó,Czakó Gábor,24,Silver medal
1999,Ádám Madarász,Madarász Ádám,61,Silver medal
1998,Dóra Kőhalmi,Kőhalmi Dóra,11,Gold medal
1998,Márton Csékei,Csékei Márton,19,Gold medal
1998,Villő Pálfi,Pálfi Villő,21,Gold medal
1998,Zoltán Pusztai,Pusztai Zoltán,73,Bronze medal
1997,Gergely Kis,Kis Gergely,7,Gold medal
1997,András Bődi,Bődi András,9,Gold medal
1997,Villő Pálfi,Pálfi Villő,46,Silver medal
1997,István Szita,Szita István,58,Bronze medal
1996,Gergely Kis,Kis Gergely,25,Silver medal
1996,Zsuzsa Sánta,Sánta Zsuzsa,40,Silver medal
1996,Emese Nagymáté,Nagymáté Emese,44,Silver medal
1996,István Szita,Szita István,58,Silver medal
1995,Edina Rosta,Rosta Edina,19,Gold medal
1995,Gábor Bunkóczi,Bunkóczi Gábor,55,Silver medal
1995,Zsolt Szekeres,Szekeres Zsolt,62,Bronze medal
1995,Emese Nagymáté,Nagymáté Emese,79,Bronze medal
1994,Tamás Perger,Perger Tamás,27,Silver medal
1994,Edina Rosta,Rosta Edina,30,Silver medal
1994,Gábor Molnár,Molnár Gábor,55,Bronze medal
1994,Gábor Kós,Kós Gábor,82,Bronze medal
1993,Tamás Fónagy,Fónagy Tamás,2,Gold medal
1993,Ákos Gerencsér,Gerencsér Ákos,12,Gold medal
1993,György Tarczay,Tarczay György,54,Bronze medal
1993,Zoltán Szakács,Szakács Zoltán,72,Bronze medal
1992,Bálint Sztáray,Sztáray Bálint,8,Gold medal
1992,Ákos Gerencsér,Gerencsér Ákos,18,Silver medal
1992,Gábor Lente,Lente Gábor,22,Silver medal
1992,Gábor Sziklai,Sziklai Gábor,29,Silver medal
1991,István Virág,Virág István,3,Gold medal
1991,Attila Nemes,Nemes Attila,18,Silver medal
1991,Gábor Sziklai,Sziklai Gábor,20,Silver medal
1991,László Drahos,Drahos László,32,Silver medal
1990,György Kóczán,Kóczán György,9,Gold medal
1990,István Virág,Virág István,33,Silver medal
1990,Attila Nemes,Nemes Attila,37,Bronze medal
1990,István Csonka,Csonka István,,Participant
1989,Ellák Somfai,Somfai Ellák,5,Gold medal
1989,Gábor Magyarfalvi,Magyarfalvi Gábor,26,Silver medal
1989,Imre Tuba,Tuba Imre,39,Bronze medal
1989,András Szabó,Szabó András,50,Bronze medal
1988,József Dobó,Dobó József,10,Gold medal
1988,Árpád Dobolyi,Dobolyi Árpád,32,Silver medal
1988,Mihály Kádár,Kádár Mihály,39,Bronze medal
1988,László Somogyi,Somogyi László,,Participant
