Year,Contestant,Original script,Rank,Award
2024,Sultan El Shirazy,Sultan El Shirazy,117,Bronze medal
2024,James Adhimulia,JAMES ADHIMULIA,132,Bronze medal
2024,Aryo Razak,Aryo Razak,157,Bronze medal
2024,Ahmad Ayman Al Ghifary,Ahmad Ayman Al Ghifary,197,Bronze medal
2023,Kevin Lius Bong,Kevin Lius Bong,50,Silver medal
2023,Abraham Abednego Lincoln,Abraham Abednego Lincoln,72,Silver medal
2023,Muhammad Adyan Dafi,Muhammad Adyan Dafi,154,Bronze medal
2023,Muhammad Ezra Sarliviano,Muhammad Ezra Sarliviano,163,Bronze medal
2022,Nathanael Reza Putra Widjaja,Nathanael Reza Putra Widjaja,81,Silver medal
2022,Muhammad Dihya Aby Abdi Manaf,Muhammad Dihya Aby Abdi Manaf,82,Silver medal
2022,Kevin Lius Bong,Kevin Lius Bong,93,Silver medal
2022,Emilda Puteri Aulia,Emilda Puteri Aulia,102,Silver medal
2021,Faatih Regind Qashash Roman,Faatih Regind Qashash Roman,43,Silver medal
2021,Kevin Lius Bong,Kevin Lius Bong,101,Bronze medal
2021,Hanif Muhammad Zhafran,Hanif Muhammad Zhafran,112,Bronze medal
2021,Nathanael Reza Putra Widjaja,Nathanael Reza Putra Widjaja,126,Bronze medal
2020,Ivan Candra Gunawan,Ivan Candra Gunawan,66,Silver medal
2020,Mark Soesanto,Mark Soesanto,74,Silver medal
2020,Steven William,Steven William,86,Bronze medal
2020,Rifqi Naufal Abdjul,Rifqi Naufal Abdjul,118,Bronze medal
2019,Bakuh Danang Setyo Budi,Bakuh Danang Setyo Budi,86,Silver medal
2019,Winston Cahya,Winston Cahya,93,Silver medal
2019,Jessica Mary Listijo,Jessica Mary Listijo,130,Bronze medal
2019,Bayu Dwiputra,Bayu Dwiputra,171,Bronze medal
2018,Ong Christoper Ivan Wijaya,Ong Christoper Ivan Wijaya,27,Gold medal
2018,Abdullah Muqaddam,Abdullah Muqaddam,71,Silver medal
2018,Rizki Kurniawan,Rizki Kurniawan,124,Bronze medal
2018,Muhammad Syaiful Islam,Muhammad Syaiful Islam,133,Bronze medal
2017,Dean Fanggohans,Dean Fanggohans,34,Gold medal
2017,Fahmi Rizki,Fahmi Rizki,54,Silver medal
2017,Muhammad Setiyawan,Muhammad Setiyawan,63,Silver medal
2017,Mario Lorenzo,Mario Lorenzo,81,Silver medal
2016,Fahmi Naufal Rizki,Fahmi Naufal Rizki,68,Silver medal
2016,Maulana Imam Septyo Putro,Maulana Imam Septyo Putro,84,Silver medal
2016,Abraham Nathanael Kasogi,Abraham Nathanael Kasogi,93,Bronze medal
2016,Regina Rachel Gunawan,Regina Rachel Gunawan,155,Bronze medal
2015,Timothy Antoni,Timothy Antoni,73,Silver medal
2015,Abdul Hamid Abu Bakar,Abdul Hamid Abu Bakar,91,Silver medal
2015,Kevin Liyanto,Kevin Liyanto,117,Bronze medal
2015,Viriyadhika Putra,Viriyadhika Putra,140,Bronze medal
2014,James Surya,James Surya,21,Gold medal
2014,Wibie Christianto,Wibie Christianto,57,Silver medal
2014,Putu Ivan Budi Gunawan,Putu Ivan Budi Gunawan,67,Silver medal
2014,Abu Bakar Abdul Hamid,Abu Bakar Abdul Hamid,77,Silver medal
2013,Ryan Bagus Fitradi,Ryan Bagus Fitradi,61,Silver medal
2013,Ivan Kurniawan,Ivan Kurniawan,67,Silver medal
2013,Putu Ivan Budi Gunawan,Putu Ivan Budi Gunawan,70,Silver medal
2013,Jason Mahadika Nathanael,Jason Mahadika Nathanael,117,Bronze medal
2012,Andhika Pradana,Andhika Pradana,35,Silver medal
2012,Samuel Putra,Samuel Putra,41,Silver medal
2012,Ivan Kurniawan,Ivan Kurniawan,76,Silver medal
2012,Dewi Suryana,Dewi Suryana,91,Silver medal
2011,Stephen Haniel Yuwono,Stephen Haniel Yuwono,17,Gold medal
2011,Joses Grady Nathanael,Joses Grady Nathanael,19,Gold medal
2011,Andhika Tangguh Pradana,Andhika Tangguh Pradana,40,Silver medal
2011,Alimatun Nashira,Alimatun Nashira,78,Silver medal
