Year,Contestant,Original script,Rank,Award
2024,Devesh Pankaj Bhaiya,Devesh Pankaj Bhaiya,27,Gold medal
2024,Avaneesh Bansal,Avaneesh Bansal,72,Silver medal
2024,Harshin Posina,Harshin Posina,84,Silver medal
2024,Kashyap Khandelwal,Kashyap Khandelwal,135,Bronze medal
2023,Krish Srivastava,Krish Srivastava,35,Gold medal
2023,Avaneesh Bansal,Avaneesh Bansal,47,Silver medal
2023,Aditi Singh,Aditi Singh,53,Silver medal
2023,Malay Kedia,Malay Kedia,84,Silver medal
2022,Nivesh Aggarwal,निवेश अग्रवाल,43,Silver medal
2022,Mahit Rajesh Gadhiwala,Mahit Rajesh Gadhiwala,59,Silver medal
2022,Chinmay Khokar,चिन्मय खोकर,62,Silver medal
2022,Tanishka Rameshchandra Kabra,तनिश्का रमेशचंद्र काबरा,87,Silver medal
2021,Adarsh Reddy Madur,ఆదర్శ్ రెడ్డి మదుర్,22,Gold medal
2021,Dhananjay Raman,धनंजय रामन्,26,Gold medal
2021,Mahit Rajesh Gadhiwala,Mahit Rajesh Gadhiwala,46,Silver medal
2021,Rishit Singla,रीशित सिंगला,76,Silver medal
2019,Dhyey Sankalp Gandhi,Dhyey Sankalp Gandhi,9,Gold medal
2019,Mudita Goyal,Mudita Goyal,23,Gold medal
2019,Muhender Raj Rajvee,Muhender Raj,52,Silver medal
2019,Madhav Mittal,Madhav Mittal,104,Bronze medal
2018,Dhyey Gandhi,Dhyey Gandhi,26,Gold medal
2018,Jishnu Basavaraju,Jishnu Basavaraju,31,Gold medal
2018,Sanchit Agrawal,Sanchit Agrawal,37,Silver medal
2018,Aayush Kadam,Aayush Kadam,78,Silver medal
2017,Irin Ghosh,Irin Ghosh,35,Gold medal
2017,Dhanekula Varun Chowdary,Dhanekula Varun Chowdary,57,Silver medal
2017,Dhyey Sankalp Gandhi,Dhyey Sankalp Gandhi,58,Silver medal
2017,Pranav Ramakrishnan,Pranav Ramakrishnan,72,Silver medal
2016,Utkarsh Gupta,Utkarsh Gupta,19,Gold medal
2016,Valay Agarawal,Valay Agarawal,29,Gold medal
2016,Sharvik Mital,Sharvik Mital,46,Silver medal
2016,Kartik Patekar,Kartik Patekar,47,Silver medal
2015,Vidya Sagar Naidu Bure,Vidya Sagar Naidu Bure,33,Gold medal
2015,Kshitij Garg,Kshitij Garg,34,Gold medal
2015,Piyush Kabra,Piyush Kabra,59,Silver medal
2015,Ameet Srinivas Deshpande,Ameet Srinivas Deshpande,81,Silver medal
2014,Murhekar Aniket,Murhekar Aniket,61,Silver medal
2014,Goel Shubham,Goel Shubham,70,Silver medal
2014,Babel Kushal,Babel Kushal,100,Bronze medal
2014,Kumar Aditya,Kumar Aditya,105,Bronze medal
2013,Surya Sai Ritwik Nimmagadda,Surya Sai Ritwik Nimmagadda,23,Gold medal
2013,Parth Shah,Parth Shah,24,Gold medal
2013,Avishek Das,Avishek Das,55,Silver medal
2013,Anmol Arora,Anmol Arora,92,Silver medal
2012,Diptarka Hait,Diptarka Hait,8,Gold medal
2012,Shubham Chandak,Shubham Chandak,9,Gold medal
2012,Manav Avlani,Manav Avlani,27,Gold medal
2012,Nimit Singh,Nimit Singh,90,Silver medal
2011,Dravyansh Sharma,Dravyansh Sharma,27,Gold medal
2011,Diptarka Hait,Diptarka Hait,29,Gold medal
