Year,Contestant,Original script,Rank,Award
2024,Ramtin Moradi Mazhari,Ramtin Moradi Mazhari,22,Gold medal
2024,Mohammad Yasin Salehi Marzijarani,Mohammad Yasin Salehi Marzijarani,68,Silver medal
2024,Alborz Rezaei,Alborz Rezaei,73,Silver medal
2024,Amirkia Salimi,Amirkia Salimi,89,Silver medal
2023,Mohammad Halaji,محمد حلاجی,23,Gold medal
2023,Zahra Tahamtani Torkamani,زهرا تهمتنی,24,Gold medal
2023,Zhiar Moslemi,ژیار مسلمی,26,Gold medal
2023,Diako Seyedi,دیاکو سیدی,75,Silver medal
2022,Seyedmohammadhossein Barakati,محمدحسین برکاتی,9,Gold medal
2022,Ilia Kahvand,ایلیا کهوند,35,Gold medal
2022,Amir Mohammad Mohammad Hosseini,امیرمحمد محمدحسینی,41,Silver medal
2022,Seyedamirhossein Razavi,سید امیرحسین رضوی,47,Silver medal
2021,Mahbod Alian Fini,مهبد علی‌یان فینی,23,Gold medal
2021,Mahyar Afshinmehr,مهیار افشین‌مهر,31,Gold medal
2021,Seyed Mohammad Hossein Barakati,سید محمد حسن برکاتی,47,Silver medal
2021,Ehsan Naderi Donig,احسان نادری دونیق,68,Silver medal
2020,Mohammad Shahabaddin Daneshvar,محمد شهاب‌الدین دانشور,10,Gold medal
2020,Mohammadaryan Taghvaeearabi,محمد آریان تقوائی عربی,41,Silver medal
2020,Ramin Assempour,رامین عاصم‌پور,60,Silver medal
2020,Amir Mahboubi,امیر محبوبی,81,Bronze medal
2019,Mostafa Moghimi Kheirabady,مصطفی مقیمی خیرآبادی,31,Gold medal
2019,Ali Jahromi,علی جهرمی,61,Silver medal
2019,Amirreza Bagheridelouee,امیر رضا باقری دلوئی,90,Silver medal
2019,Amirali Ahrabi,امیرعلی اهرابی,127,Bronze medal
2018,Mahdi Jafarzadehbedostani,مهدی جعفرزاده,49,Silver medal
2018,Behrad Saeedian,بهراد سعیدی,59,Silver medal
2018,Arshia Khademi,ارشیا خادمی,85,Silver medal
2018,Mohammadhossein Sharifnia,محمدحسن شریف نیا,92,Silver medal
2017,Amirabbas Kazeminia,امیرعباس کاظمی نیا,3,Gold medal
2017,Amir Hossein Behnoush,امیرحسین بهنوش,14,Gold medal
2017,Parsa Pirooz,پارسا پیروز,24,Gold medal
2017,Soroush Baniani,سروش بانیانی,55,Silver medal
2016,Seyed Peyman Mirghaderi,سيد پيمان مير قادري,17,Gold medal
2016,Amirali Karimi,امير علي کريمي,21,Gold medal
2016,Sayedehzahra Kazemiharikandei,سيده زهرا کاظمي هريکندئي,32,Silver medal
2016,Iman Menbariosgouei,نبري اسكوئي,56,Silver medal
2015,Asnaashari Kasra,کسری اثنی‌عشری,35,Gold medal
2015,Saberi Far Mohsen,محسن صابری,48,Silver medal
2015,Ai Arman,آرمان آی,87,Silver medal
2015,Bagheri Nahal,نهال باقری,105,Bronze medal
2014,Hirbod Heidari,هيربد حيدري,11,Gold medal
2014,Iman Foroughmand,ايمان فروغمند,31,Silver medal
2014,Mohammadparsa Jabbary,محمدپارسا جباري,83,Silver medal
2014,Mohammadmobin Hosseini,محمد مبين حسيني,88,Silver medal
2013,Mahdiyar Amani Tehrani,مهدی یار امانی تهرانی,53,Silver medal
2013,Hirbod Heidari,هیربد حیدری,66,Silver medal
2013,Ashkan Khavaran,اشکان خاوران,71,Silver medal
2013,Arya Aminorroaya,آریا امین‌الرعایا,97,Silver medal
2012,Arash Firouzbakht,آرش فیروزبخت,20,Gold medal
2012,Mohammad Zarei,محمد زارعی,116,Bronze medal
2012,Seyedali Tavana,سیدعلی توانا,138,Bronze medal
2012,Arash Keshavarzi Arshadi,آرش کشاورزی ارشدی,143,Bronze medal
2011,Ali Asghar Aghajani,علی اصغر آقاجانی,7,Gold medal
2011,Reza Javidi Dasht Bayaz,رضا جاویدی دشت بیاض,18,Gold medal
2011,Amir Peyman Delparastan,امیرپیمان دل پرستان,71,Silver medal
2011,Erfan Shirzadi,عرفان شیرزادی,104,Bronze medal
2010,Seyed Amirhossein Nasseri,امیر حسین ناصری,5,Gold medal
2010,Mohammadreza Amirmoshiri,محمد رضا امیر مشیری,59,Silver medal
2010,Hossein Dadashazar,حسین داداش آذر,81,Silver medal
2010,Hanieh Safari,هانیه صفری,88,Silver medal
2009,Aria Samiei,آريا سميعي,19,Gold medal
2009,Ali Mashreghi,علي مشرقي,36,Silver medal
2009,Iman Abbaspour,ايمان عباسپور,64,Silver medal
2009,Mohammad Hadi Khakrand,محمد خاكرند,97,Bronze medal
2008,Amin Ahmadzadehbejastani,امین احمدزاده,26,Gold medal
2008,Mina Taheri,مینا طاهری,38,Silver medal
2008,Mohammad Zargarpoor,محمد زرگرپور,49,Silver medal
2008,Pedram Bakhshaei Shahr Babaki,پدرام بخشایی,120,Bronze medal
2007,Ehsan Shabani,احسان شاباني,31,Gold medal
2007,Kaveh Matinkhoo,كاوه متين‌خو,73,Silver medal
2007,Shabnam Sharifzadeh,شبنم شريف‌زاده,96,Bronze medal
2007,Amirhady Kamkaramoli,اميرهادي كام كرمعلي,164,Honorable mention
2006,Farshid Abdi,فرشيد عبدي,52,Silver medal
2006,Davood Taheri Nia,داوود طاهري‌نيا,73,Silver medal
2006,Mohammad mohsen Mahmoodi,محمدمحسن محمودي,105,Bronze medal
2006,Mehdi Kohani,مهدي كوهاني,120,Bronze medal
2005,Mojtaba Sharifzadeh,مجتبی شریف زاده,13,Gold medal
2005,Sara Beygi,سارا بیگی,16,Gold medal
2005,Amirhossein Khoshaman,امیر حسین خوشامن,28,Silver medal
2005,Foad Taghdiri,فواد تقدیری,30,Silver medal
2004,Hamoon Tahmassebi,هامون طهماسبی,37,Silver medal
2004,Amir Saberi,امیر صابری,42,Silver medal
2004,Seyed Esmaeil Seyedan,سیداسماعیل سیدان,73,Silver medal
2004,Reza Nasiri Mahalati,رضا نصیری محلاتی,83,Bronze medal
2003,H. Sadeghi-Esfahani,حسین صادقی اصفهانی,11,Gold medal
2003,H. Sanikhani,حامد ثانی خانی,16,Gold medal
2003,M. Gharaei,نوا قرایی,27,Gold medal
2003,M. Rashidian,محمد رشیدیان,41,Silver medal
2002,Nvralsadat Torabi,نورالسادات ترابی,19,Gold medal
2002,M. Shahi,محمد شاهی,41,Silver medal
2002,Mehdi Shirdel,مهدی شیردل,68,Silver medal
2002,J. Aqaiary,اجبار آقایاری,82,Bronze medal
2001,Shadi Rajabi,شادی رجبی,4,Gold medal
2001,Sepehr Fadaei,سپهر فدایی,12,Gold medal
2001,Mona Fallah Tafty,مونا فلاح تفتی,49,Silver medal
2001,Aliasghar Mohammadi,علی اصغر محمدی,56,Silver medal
2000,Mohammad Bahrami,محمد بهرامی,24,Gold medal
2000,Amir Zabet Khosousi,امیر ضابط خصوصی,34,Silver medal
2000,Zakieh Vahedian Ardakani,زکیه واحدیان اردکانی,45,Silver medal
2000,Mohammad Asadollahi Baboli,محمد اسدالهی بابلی,111,Bronze medal
1999,Mahdi Kahrom,مهدی کهرم,5,Gold medal
1999,Reza Kalantari,رضا کلانتری,14,Gold medal
1999,Babak Geraiely,بابک گرایلی,17,Gold medal
1999,Pooya Sajedi Kanafee,ساجدی کنفی,80,Bronze medal
1998,Mehdi Najafi,مهدی نجفی,57,Silver medal
1998,Amir Moslem Ghasemi Varnamkhasti,امیر مسلم قاسمی ورنامخواستی,65,Bronze medal
1998,Pedram Anssari Astaneh,پدرام انصاری آستانه,93,Bronze medal
1998,Reza Sharghi,رضا شرقی,114,Bronze medal
1997,Babak Javidi Dasht Bayazi,سال بابک جاویدی دشت بیاض,3,Gold medal
1997,Siavash Pourkamali Anaraki,سیاوش پورکمالی انارکی,32,Silver medal
1997,Keyvan Moharamzadeh,کیوان محرم زاده,43,Silver medal
1997,Kaveh Jorabchi,کاوه جورابچی,52,Silver medal
1996,Hazhir Rahmandad,هژیر رحمانداد,3,Gold medal
1996,Afshin Shameli,افشین شاملی,7,Gold medal
1996,Alireza Shayesteh,علیرضا شایسته,12,Gold medal
1996,Mehrdad Malihi,مهرداد ملیحی,27,Silver medal
1995,Roozbeh Kiani,روزبه کیانی,1,Gold medal
1995,Ali Jalali,علی جلالی,3,Gold medal
1995,Mehdi Razzghi,مهدی رزاقی,5,Gold medal
1995,Shahakbari,رضا شاه اکبری,20,Gold medal
1994,Ali Vahedi,علی واحدی,17,Gold medal
1994,Arash Abrahim Pour,آرش ابراهیم پور,37,Silver medal
1994,Mohamadraza Shadnam,محمدرضا شادنام,70,Bronze medal
1994,Hadi Mazouchi,هادی مازوچی,80,Bronze medal
1993,Babak Faghforean,بابک فغفوریان,33,Silver medal
1993,Alireza Hariri,علیرضا حریری,75,Bronze medal
1993,Ahmadabi M. Akbari,احمدابی ام. اکبری,77,Bronze medal
1993,Mohammad Shoari,محمد شعاری,85,Bronze medal
