Year,Contestant,Original script,Rank,Award
2023,Yonatan Gontmakher,יונתן גונטמכר,42,Silver medal
2023,Neta Eiger,נטע דוד אייגר,55,Silver medal
2023,Shoham Assis,שוהם עסיס,105,Silver medal
2023,Shon Hentz,שון חנץ,137,Bronze medal
2022,Nir Cohen,ניר כהן,34,Gold medal
2022,Neta David Eiger,נטע דויד אייגר,64,Silver medal
2022,Shon Hentz,שון חנץ,143,Bronze medal
2022,Tal Sason,טל ששון,156,Bronze medal
2021,Nir Cohen,ניר כהן,19,Gold medal
2021,Itamar Steinitz,איתמר שטייניץ,84,Silver medal
2021,Neta Eiger,נטע אייגר,107,Bronze medal
2021,Tal Sason,טל ששון,183,Bronze medal
2020,Roi Peer,רועי פאר,26,Gold medal
2020,Ron Shprints,רון שפרינץ,46,Silver medal
2020,Bar Sheffer,בר שפר,50,Silver medal
2020,Ward Yahya,וורד יחיא,116,Bronze medal
2019,Roi Peer,רועי פאר,72,Silver medal
2019,Hallel Shohat,הלל שוחט,108,Bronze medal
2019,Ron Raphaeli,רון רפאלי,117,Bronze medal
2019,Ron Shprints,רון שפרינץ,157,Bronze medal
2018,Raz Lotan,רז לוטן,81,Silver medal
2018,Roi Peer,רועי פאר,183,Bronze medal
2018,Hen Gelshtein,חן גלשטיין,,Participant
2018,Noa Crassac,נועה קרסק,,Participant
2017,Ron Solan,רון סולן,40,Silver medal
2017,Rina Sevostianov,רינה סבוסטיאנוב,117,Bronze medal
2017,Ofir Avishai Shmool,אופיר שמול,183,Bronze medal
2017,Ben Filiarsky,בן פילארסקי,,Participant
2016,Ron Solan,רון סולן,53,Silver medal
2016,Rina Sevostianov,רינה סבוסטיאנוב,123,Bronze medal
2016,Ofir Avoshai Schmool,אופיר שמול,,Participant
2016,Guy Harduf,גיא הרדוף,,Participant
2015,Ron Solan,רון סולן,150,Bronze medal
2015,Itai Zvieli,איתי צביאלי,158,Bronze medal
2015,Nadav Genossar,נדב גנוסר,184,Bronze medal
2015,Roni Arenzon,רוני ארנזון,,Participant
2014,Roi Elia,רועי איליה,165,Bronze medal
2014,Itai Zvieli,איתי צביאלי,,Participant
2014,Nadav Gropper,נדב גרופר,,Participant
2014,Nadav Genossar,נדב גנוסר,,Participant
2013,Marah Zubi,מרח זועבי,153,Bronze medal
2013,Ori Taichman,אורי טייכמן,177,Bronze medal
2013,Ronny Frumkin,רוני פרומקין,180,Bronze medal
2013,Roi Elia,רועי איליה,191,Bronze medal
2012,Tzof Shay Peled,צוף פלד,39,Silver medal
2012,Ori Taichman,אורי טייכמן,122,Bronze medal
2012,Michael Leitsin,מיכאל לייצין,141,Bronze medal
2012,Nadav Orion,נדב אוריון,161,Bronze medal
2011,Tzof Shay Peled,צוף פלד,96,Bronze medal
2011,Michael Michelachvili,מיכאל משה מיכלשוילי,149,Bronze medal
2011,Nadav Orion,נדב אוריון,181,Honorable mention
2011,Ronen Stein,רונן שטיין,,Participant
2010,Assaf Mauda,אסף מעודה,12,Gold medal
2010,Michael Michelachvili,מיכאל משה מיכלשוילי,131,Bronze medal
2010,Evaitar Degani,אביתר דגני,145,Bronze medal
2010,Anael Ben Asher,אנאל בן אשר,,Participant
2009,Assaf Mauda,אסף מעודה,2,Gold medal
2009,Evaitar Degani,אביתר דגני,139,Bronze medal
2009,Michael Michelachvili,מיכאל משה מיכלשוילי,,Participant
2009,Neta Kaspin,נטע כספין,,Participant
2008,Assaf Mauda,אסף מעודה,46,Silver medal
2008,Dan Liraz Lidji,דן לירז,153,Bronze medal
2008,Ochri Halimi,אושרי הלימי,154,Bronze medal
2008,Ariel Shaul Markhovsky,אריאל מרחובסקי,,Participant
2007,Assaf Avraham Shapira,אסף שפירא,57,Silver medal
2007,Itamar Shamai,איתמר שמאי,155,Bronze medal
2007,Dan Liraz Lidji,דן לירז,,Participant
2007,Haleluya Sagit,שגית הללויה,,Participant
2006,Alexander Bunin,אלכסנדר בונין,135,Bronze medal
2006,Pinhas Shekhter,פנחס שכטר,167,Honorable mention
2006,Dan Deviri,דן דבירי,176,Honorable mention
2006,Itamar Shamai,איתמר שמאי,,Participant
