Year,Contestant,Original script,Rank,Award
2024,Kharisov Vadim,Харисов Вадим,4,Gold medal
2024,Vasiyarov Matvey,Васияров Матвей,10,Gold medal
2024,Akhmedov Timur,Ахмедов Тимур,11,Gold medal
2024,Sharpilo Aleksei,Шарпило Алексей,13,Gold medal
2023,Nikita Perov,Никита Перов,3,Gold medal
2023,Sergei Rosliakov,Сергей Росляков,29,Gold medal
2023,Vadim Kharisov,Вадим Харисов,33,Gold medal
2023,Aleksei Mikheev,Алексей Михеев,91,Silver medal
2022,Viktor V. Koshlan,Виктор Кошлань,4,Gold medal
2022,Vladimir S. Mikhailenko,Владимир Михайленко,15,Gold medal
2022,Nikita V. Perov,Никита Перов,16,Gold medal
2022,Artem D. Gulyaev,Артём Гуляев,19,Gold medal
