Year,Contestant,Original script,Rank,Award
2024,Takumi Onuma,大沼 拓実,24,Gold medal
2024,Kenta Saito,斎藤 健太,31,Gold medal
2024,Takuto Iino,飯野 拓人,64,Silver medal
2024,Amane Suzuki,鈴木 亜麻音,92,Silver medal
2023,Mika Yamanouchi,山之内 望花,17,Gold medal
2023,Kohei Matsusaka,松阪 康平,34,Gold medal
2023,Haruto Suzuki,鈴木 晴翔,41,Silver medal
2023,Shun TanakaTanaka,田中 舜,52,Silver medal
2022,Masaki Naoi,直井 勝己,13,Gold medal
2022,Fumiya Kashiwai,柏井 史哉,21,Gold medal
2022,Takashi Ishikawa,石川 貴士,23,Gold medal
2022,Akira Nakachi,中地 明,27,Gold medal
2021,Takahiro Takemoto,竹本 隆弘,62,Silver medal
2021,Kohei Nishiura,西浦 洸平,63,Silver medal
2021,Yuya Koike,小池 佑弥,80,Silver medal
2021,Haruhi Isse,一瀬 陽日,148,Bronze medal
2020,Akito Ai,相 哲人 (あいあきと),47,Silver medal
2020,Yuma Yoshida,吉田 悠真 (よしだ ゆうま),59,Silver medal
2020,Rinako Hayashi,林 璃菜子 (はやし　りなこ),72,Silver medal
2020,Reo Shibayama,柴山 礼寛 (しばやまれお),73,Silver medal
2019,Takumi Nishino,西野 拓巳,24,Gold medal
2019,Mahiro Suematsu,末松 万宙,26,Gold medal
2019,Ryoichi Hirashima,平嶋 瞭一,62,Silver medal
2019,Masahiro Ofuchi,大渕 将寛,64,Silver medal
2018,Takanao Ishii,石井敬直さん,28,Gold medal
2018,Taichi Nishiguchi,西口大智さん,74,Silver medal
2018,Yuta Masunaga,増永裕太さん,96,Silver medal
2018,Yuto Fukumoto,福本優斗さん,135,Bronze medal
2017,Keiya Sakabe,坂部（さかべ） 圭哉（けいや）さん,20,Gold medal
2017,Shuku Morita,守田（もりた） 脩究（しゅく）さん,39,Silver medal
2017,Kensei Yagiu,柳生（やぎう） 健成（けんせい）さん,43,Silver medal
2017,Yuki Amabe,海士部（あまべ） 佑紀（ゆうき）さん,50,Silver medal
2016,Keiya Sakabe,坂部 圭哉（さかべ けいや）さん,9,Gold medal
2016,Takayoshi Akiyama,秋山 茂義（あきやま たかよし）さん,39,Silver medal
2016,Shota Hira,平  翔太（ひら しょうた）さ,60,Silver medal
2016,Yuki Amabe,海士部 佑紀（あまべ ゆうき）さん,79,Silver medal
2015,Haruki Matumoto,松本陽行,17,Gold medal
2015,Kohei Yoshimura,吉村耕平,27,Gold medal
2015,Aoi Takeuchi,竹内碧,47,Silver medal
2015,Yu Nakatsuka,中塚悠,98,Silver medal
2014,Fukunaga Toshiya,福永隼也さん,7,Gold medal
2014,Morita Shumpei,森田峻平さん,65,Silver medal
2014,Masada Koichiro,正田浩一朗さん,73,Silver medal
2014,Hayashi Kyoka,林杏果さん,101,Bronze medal
2013,Toshiya Fukunaga,福永 隼也(フクナガ トシヤ),59,Silver medal
2013,Koichi Okamoto,岡本 浩一(オカモト コウイチ),63,Silver medal
2013,Koichiro Masada,正田 浩一朗(マサダ コウイチロウ),73,Silver medal
2013,Takahiro Hanebuchi,羽根渕 高弘(ハネブチ タカヒロ),75,Silver medal
2012,Takuya Yamakado,山角拓也,21,Gold medal
2012,Tomohiro Soejima,副島智大,25,Gold medal
2012,Takehiro Kato,加藤雄大,37,Silver medal
2012,Ryota Shibuya,渋谷亮太,66,Silver medal
2011,Soejima Tomohiro,副島　智大; そえじま　ともひろ,32,Gold medal
2011,Hayate Saito,齊藤　颯; さいとう　はやて,63,Silver medal
2011,Uratani Hiroki,浦谷　浩輝; うらたに　ひろき,75,Silver medal
2011,Kurihara Saori,栗原　沙織; くりはら　さおり,87,Silver medal
2010,Hayate Saitoh,齊藤　颯 （さいとう　はやて),17,Gold medal
2010,Ken-Ichi Endo,遠藤　健一(えんどう　けんいち),19,Gold medal
2010,Hiroki Uratani,浦谷　浩輝（うらたに　ひろき）,38,Silver medal
2010,Kengo Kataoka,片岡　憲吾（かたおか　けんご),62,Silver medal
2009,Naoya Ozawa,小澤　 直也　（おざわ　なおや),6,Gold medal
2009,Kenichi Endo,遠藤　健一　(えんどう　けんいち),16,Gold medal
2009,Atsuhiro Nakajo,中條　淳博　（なかじょう　あつひろ),45,Silver medal
2009,Aya Eizawa,永澤　 彩　(えいざわ　あや),102,Bronze medal
2008,Naoya Ozawa,小澤(おざわ) 直也(なおや),91,Bronze medal
2008,Seiichi Azuma,東(あずま) 星一(せいいち),117,Bronze medal
2008,Yuta Suzuki,鈴木(すずき) 裕太(ゆうた),130,Bronze medal
2008,Norihito Fukui,福井(ふくい) 識人(のりひと),146,Bronze medal
2007,Takashi Hiroi,廣井　卓思（ひろい　たかし）,92,Bronze medal
2007,Naru Tanaka,田中　成（たなか　なる）,100,Bronze medal
2007,Shotaro Tsunoda,角田　翔太郎（つのだ　しょうたろう）,103,Bronze medal
2007,Kazuki Yamaguchi,山口　一樹（やまぐち　かずき）,148,Bronze medal
2006,Asako Imamura,今村 麻子,13,Gold medal
2006,Toshiaki Nagata,永田 利明,38,Silver medal
2006,Naru Tanaka,田中 成,51,Silver medal
2006,Yohei Hattori,服部 陽平,71,Silver medal
2005,Akio Kawasaki,川崎 瑛生,32,Silver medal
2005,Asako Imamura,今村 麻子,93,Bronze medal
2005,Toshiaki Nagata,永田 利明,135,Bronze medal
2005,Kyohei Kanomata,鹿又 喬平,140,Bronze medal
2004,Akio Kawasaki,川崎 瑛生,26,Gold medal
2004,Takahiro Oyama,小山 貴広,91,Bronze medal
2004,Koichiro Masuda,増田 光一郎,108,Bronze medal
2004,Tetsuya Kambe,神戸 徹也,130,Bronze medal
2003,Kouichi Ueno,上野 功一,109,Bronze medal
2003,Naoto Satou,佐藤 直人,128,Bronze medal
2003,Masatoshi Akahane,赤羽 正寿,175,Honorable mention
2003,Ichirou Tanabe,田辺 一郎,192,Honorable mention
