Year,Contestant,Original script,Rank,Award
2024,Ilyussizov Rinat,Илюсизов Ринат,29,Gold medal
2024,Kim Kirill,Ким Кирлл,32,Gold medal
2024,Kabdulkhadyr Abylay,Кабдулхадыр Абылай,74,Silver medal
2024,Moldagul Adilzhan,Молдағұл Әділжан,125,Bronze medal
2023,Sanzhar Bissenali,Санжар Бисенәлі,38,Gold medal
2023,Rinat Ilyussizov,Rinat Ilyussizov,60,Silver medal
2023,Almira Nurlanova,Альмира Нұрланова,107,Silver medal
2023,Bekbolat Mamyrbekov,Bekbolat Mamyrbekov,134,Bronze medal
2022,Madiyar Kassymaly,Қасымалы Мадияр,25,Gold medal
2022,Sanzhar Bissenali,Бисенәли Санжар,57,Silver medal
2022,Almira Nurlanova,Нурланова Альмира,99,Silver medal
2022,Sanzhar Nurgaliyev,Нұрғалиев Санжар,107,Silver medal
2021,Khaidar Kairbek,Хайдар Каирбек,65,Silver medal
2021,Sanzhar Bissenali,Санжар Бисенәли,89,Silver medal
2021,Madiyar Kassymaly,Касымалы Мадияр,95,Silver medal
2021,Aigerim Turuspekova,Айгерим Туруспекова,125,Bronze medal
2020,Khaidar Kairbek,Қайырбек Хайдар,84,Bronze medal
2020,Abilmansur Muzhubayev,Мужубаев Әбілмансұр,94,Bronze medal
2020,Bakdaulet Seysenkul,Сейсенқұл Бақдәулет,108,Bronze medal
2020,Kibriyanur Abdugafarova,Абдугафарова Кибриянур,121,Bronze medal
2019,Vladislav Cherdantsev,Черданцев Владислав,100,Silver medal
2019,Olzhas Nurpeisov,Олжас Нурпеисов,134,Bronze medal
2019,Daniil Melnichenko,Мельниченко Даниил,140,Bronze medal
2019,Nurlykhan Kopenov,Копенов Нурлыхан,154,Bronze medal
2018,Zhanibek Bekkhozhin,Жанибек Бекхожин,73,Silver medal
2018,Olzhas Nurpeisov,Олжас Нурпейсов,146,Bronze medal
2018,Galymzhan Moldagulov,Ғалымжан Молдағұлов,152,Bronze medal
2018,Vladislav Cherdantsev,Владислав Черданцев,198,Honorable mention
2017,Anton Morgunov,Антон Моргунов,10,Gold medal
2017,Nurassyl Serik,Нурассыл Серик,123,Bronze medal
2017,Assem Zhunis,Ассем Жунис,146,Bronze medal
2017,Temirlan Rakhimov,Темирлан Рахимов,190,Bronze medal
2016,Anton Morgunov,Антон Моргунов,36,Silver medal
2016,Azamat Smagulov,Азамат Смагулов,37,Silver medal
2016,Arnur Makenov,Арнур Макенов,74,Silver medal
2016,Ayat Tassanov,Айат Тассанов,94,Bronze medal
2015,Adil Kabylda,Әділ Қабылда,14,Gold medal
2015,Azamat Amzebek,Азамат Әмзебек,44,Silver medal
2015,Azamat Smagulov,Азамат Смагулов,78,Silver medal
2015,Arnur Makenov,Арнұр Макенов,160,Bronze medal
2014,Adil Kabilda,Адиль Кабылда,32,Silver medal
2014,Binazar Zhassulan,Биназар Жасулан,136,Bronze medal
2014,Serikzhan Yermekov,Серикжан Ермеков,162,Bronze medal
2014,Sayinov Bauyrzhan,Сайынов Бауыржан,,Participant
2013,Kairat Ashim,Кайрат Ашим,13,Gold medal
2013,Azim Amanzholov,Азим Аманжолов,28,Gold medal
2013,Zhassulan Binazar,Жасулан Биназар,119,Bronze medal
2013,Bogdan Zagribelnyy,Богдан Загрибельный,126,Bronze medal
2012,Kairat Ashim,Кайрат Ашим,19,Gold medal
2012,Vladimir Dolzhnikov,Владимир Должников,53,Silver medal
2012,Azim Amanzholov,Азим Аманжолов,71,Silver medal
2012,Vladislav Kamysbayev,Владислав Камысбаев,169,Bronze medal
2011,Abylay Shakhizadayev,Абылай Шахизадаев,33,Gold medal
2011,Miras Bekbergenov,Мирас Бекбергенов,60,Silver medal
2011,Vladislav Kamysbayev,Владислав Қамысбаев,97,Bronze medal
2011,Vladimir Dolzhnikov,Владимир Должников,117,Bronze medal
2010,Abylay Shakhizadayev,Абылай Шахизадаев,103,Bronze medal
2010,Ilya Skripin,Илья Скрипин,104,Bronze medal
2010,Zhalgas Serimbetov,Серімбетов Жалғас,121,Bronze medal
2010,Miras Bekbergenov,Мирас Бекбергенов,157,Bronze medal
2009,Zhalgas Serimbetov,Серімбетов Жалғас,100,Bronze medal
2009,Furkat Mukhtarov,Фуркат Мухтаров,111,Bronze medal
2009,Ilya Skripin,Илья Скрипин,134,Bronze medal
2009,Aigerim Shamshidin,Айгерім Шашиддин,163,Bronze medal
2008,Sanzhar Karatayev,Санжар Қаратаев,39,Silver medal
2008,Zhanbolat Zholgeldiev,Жанболат Жолгелдиев,51,Silver medal
2008,Sultan Aitekenov,Сұлтан Айтекенов,60,Silver medal
2008,Yerbolat Ablemetov,Ерболат Аблеметов,69,Silver medal
2007,Yerdos Ordabayev,Алмас Ордабаев,52,Silver medal
2007,Ayana Badrakova,Аяна Бадракова,93,Bronze medal
2007,Dauren Kaliyev,Дәурен Қалиев,112,Bronze medal
2007,Zhanbolat Zholgeldiyev,Жанболат Жолгелдиев,115,Bronze medal
2006,Almas Yerkinovich Ordabayev,Алмас Ордабаев,98,Bronze medal
2006,Murat Zhaksylykovich Shagirov,Мұрат Шағиров,115,Bronze medal
2006,Kuat Mukambetkazievich Usseingazin,Қуат Үсейнғазин,122,Bronze medal
2006,Abylay Maranuly Samatov,Абылай Саматов,156,Bronze medal
2005,Dulat Azhibek,Дулат Ажибек,54,Silver medal
2005,Kuat Usseingazin,Қуат Үсейнғазин,119,Bronze medal
2005,Nurzhan Abdrakhmanov,Нұржан Абдрахманов,124,Bronze medal
2005,Almas Ordabayev,Алмас Ордабаев,,Participant
2004,Timur Zhiyentayev,Тимур Жиентаев,31,Silver medal
2004,Vadim Murzin,Вадим Мурзин,57,Silver medal
2004,Yeskendr Bissenov,Ескендір Бейсенов,63,Silver medal
2004,Yerulan Sabyrgali,Ерулан Сабыргали,,Participant
2003,Anuar Nurtazin,Нуртазин Ануар,36,Silver medal
2003,Aset Iskakov,Искаков Асет,59,Silver medal
2003,Dmitriy Dolzhnikov,Должников Дмитрий,68,Silver medal
2003,Kanat Tyutenov,Тютенов Kанат,139,Bronze medal
2002,Aset Iskakov,Әсет Ысқақов,58,Silver medal
2002,Anuar Nurtazin,Әнуар Нұртазин,61,Silver medal
2002,Asylbek Nurgabdeshov,Нургабдешов Асылбек,158,Honorable mention
2002,Yerzhigit Tolebekov,Ержігіт Төлепбеков,159,Honorable mention
