Year,Contestant,Original script,Rank,Award
2024,Jeong Yeop Lee,이정엽,21,Gold medal
2024,Gyu Seung Na,나규승,77,Silver medal
2024,Dohyeong Kim,김도형,140,Bronze medal
2024,Hyeonseo Jung,정현서,226,Honorable mention
2023,Junsung Jang,장준성,30,Gold medal
2023,HeeJoon Kim,김희준,46,Silver medal
2023,Jimin Jun,전지민,54,Silver medal
2023,Chaeone Seo,서채원,113,Bronze medal
2022,Myeongjin Shin,신명진,7,Gold medal
2022,Kyucheol Min,민규철,10,Gold medal
2022,Suhyun Lee,이수현,38,Silver medal
2022,Jihwan Lee,이지환,74,Silver medal
2021,Myeongjin Shin,신명진,32,Gold medal
2021,Seung Jae Kang,강승재,41,Silver medal
2021,Hee Seong Yoon,윤희성,52,Silver medal
2021,Seoyeon Kim,김서연,70,Silver medal
2020,Mugyeom Jeon,전무겸,2,Gold medal
2020,Junha Hong,홍준하,17,Gold medal
2020,Junha Park,박준하,29,Silver medal
2020,Minjeong Lee,이민정,53,Silver medal
2019,Hyeokgyu Choi,최혁규,3,Gold medal
2019,Ilkyu Choi,최일규,6,Gold medal
2019,Jiwoo Kim,김지우,13,Gold medal
2019,Juhan Hong,홍주한,27,Gold medal
2018,Raymond Eugene Bahng,방유진,3,Gold medal
2018,Chae Rin Kim,김채린,9,Gold medal
2018,Jinyeong Kim,김진영,24,Gold medal
2018,Junhwan Won,원준환,38,Silver medal
2017,Hanjun Lee,이한준,8,Gold medal
2017,Keum Ah Kwak,곽금아,17,Gold medal
2017,Jaehyun Kim,김재현,49,Silver medal
2017,Jun Won Son,손준원,53,Silver medal
2016,Juno Nam,남준오,12,Gold medal
2016,Hyung Sub Jin,진형섭,23,Gold medal
2016,Junha Park,박준하,26,Gold medal
2016,Heejun Sohn,손희준,35,Silver medal
2015,YongJun Lee,이용준,6,Gold medal
2015,Taehyun KIm,김태현,9,Gold medal
2015,Sangwon Lee,이상원,13,Gold medal
2015,So Young Lee,이소영,25,Gold medal
2014,Eunsong Lee,이은송양이,18,Gold medal
2014,Hyunwoo Lee,이현우,58,Silver medal
2014,Wonki Hong,홍원기군이,64,Silver medal
2014,Sunghwan Won,원승환,80,Silver medal
2013,Joon Young Hong,홍준영,4,Gold medal
2013,Chi-won Hwang,황치원,7,Gold medal
2013,Dong-Han Shin,신동한,16,Gold medal
2013,Jin Wook Rhyu,유진욱,43,Silver medal
2012,Min Woo Bae,배민우,2,Gold medal
2012,Jiho Park,박지호,13,Gold medal
2012,Hokyung Lee,이호경,28,Gold medal
2012,Yoo Kyung Jeon,전유경,33,Gold medal
2011,Hyunsuk Lee,이현석,4,Gold medal
2011,Jaewon Choi,최재원,11,Gold medal
2011,Yujin Im,임유진,13,Gold medal
2011,Yongbeom Kim,김용범,16,Gold medal
2010,Pilkeun Jang,장필근,3,Gold medal
2010,Hyeonjae Lee,이현재,23,Gold medal
2010,Jaehyun Lim,임재현,30,Gold medal
2010,Won Jae Kim,김원재,53,Silver medal
2009,Jihoon Kim,김지훈,5,Gold medal
2009,Do Kim,김도담,10,Gold medal
2009,Ri Oh,오이철,18,Gold medal
2009,Yeong Seok Cha,차영석,84,Bronze medal
2008,Woo Je Cho,조우제,6,Gold medal
2008,Soon Gu Kwak,곽순구,14,Gold medal
2008,Jae Hoon Jung,정재훈,23,Gold medal
2008,Dong Hwan Kim,김동환,96,Bronze medal
2007,Jae Soo Kim,김재수,8,Gold medal
2007,Tae Gon Oh,오태곤,10,Gold medal
2007,Chang Ho Lee,이창호,20,Gold medal
2007,Jong Soo Yoon,윤종수,64,Silver medal
2006,Hwan Bae,배 환,1,Gold medal
2006,Junhong Park,박준홍,6,Gold medal
2006,Taehee Hong,홍태희,25,Gold medal
2006,Seungwan Nam,남승완,44,Silver medal
2005,Jun Hyung Kim,김준형,7,Gold medal
2005,Sang Weon Roh,노상원,9,Gold medal
2005,Byung Kil Kim,김병길,11,Gold medal
2005,Sang Hyun Lee,이상현,18,Gold medal
2004,Jun Soo Ham,함준수,2,Gold medal
2004,Hye Min Jang,장혜민,12,Gold medal
2004,YoungWoo Park,박영우,18,Gold medal
2004,Gyu Le Han,함준수,32,Silver medal
2003,Yong Yin Kim,김용진,8,Gold medal
2003,B.O. Na,나병옥,15,Gold medal
2003,S.P. Jang,장승필,40,Silver medal
2003,Ja-ho Lee,이지호,58,Silver medal
