Year,Contestant,Original script,Rank,Award
2024,Fisal Altayeb,فيصل الطيب سيد محمد حميد يوسف,,Participant
2024,Mohammad Alnajem,محمد أحمد محمد الناجم,,Participant
2024,Ali Bahbahani,علي سالم بهبهاني,,Participant
2024,Taiba Aldamkhi,طيبه خالد محمد الدمخي,,Participant
2023,Mohammed AlNajem,محمد احمد الناجم,,Participant
2023,Yaqob AlShareekah,يعقوب عبدالعزيز الشريكة,,Participant
2023,Abdullah Rajab,عبدالله فيصل عبدالملك,,Participant
2023,Taiba ALDamkhi,طيبة خالد محمد الدمخي,,Participant
2013,Mashari M M M M Alghuroba,-,,Participant
2013,Abdullah R S Sh S Alotaibi,-,,Participant
2013,Zahraa S H H M Alebraheem,-,,Participant
2013,Fatema D S M Aldawoud,-,,Participant
2012,Abdulmuhsin Alkandari,-,,Participant
2012,Jasim Alnashmi,-,,Participant
2012,Marwa Aldushti,-,,Participant
2012,Sulaiman Alrefai,-,,Participant
2011,Eisa A Alquatan,-,,Participant
2011,Noor Alnasrallah,-,,Participant
2011,Hasna Faleh Alajmi,-,,Participant
2011,Aisha K. Aldayouli,-,,Participant
2010,Hessah Alquraishi,-,,Participant
2010,Mohammad Alabdulrazzaq,-,,Participant
2010,Shahad Albaloul,-,,Participant
2010,Mariam Aldarweesh,-,,Participant
2009,Hessah Alquraishi,-,,Participant
2009,Ahmad Mohammad,-,,Participant
2009,Abdulaziz Almutawa,-,,Participant
2009,Munirah Aljasem,-,,Participant
2008,Mohammed Khalil Albloushei,-,,Participant
2008,Ahmad Fahed Alrashidi,-,,Participant
2008,Abdullah Saleh Alshemali,-,,Participant
2008,Ameer Sami Alqallaf,-,,Participant
2006,Asseel Mubarak Khalaf,-,,Participant
2006,Ali Hasan Al-Shammari,-,,Participant
2006,Naser Turki Al-Enezi,-,,Participant
2006,Fajer Esmail Dashti,-,,Participant
2005,Sara Shuaibi,-,,Participant
2005,Dalal Alfaraj,-,,Participant
2005,Norah Ayyad,-,,Participant
2005,Zainab Ali,-,,Participant
2004,Ali Saleh,-,,Participant
2004,Fehed Alzaabi,-,,Participant
2004,Hessah Alaslawi,-,,Participant
2004,Zainab Alshemeri,-,,Participant
2003,A. Alhaqan,-,,Participant
2003,A. Alasfour,-,,Participant
2003,H. Nijem,-,,Participant
2003,Y. Alnajar,-,,Participant
2002,F. Aljassar,-,,Participant
2002,F. Baron,-,,Participant
2002,L. Alhasan,-,,Participant
2002,R. Abduljabar / Alfela,-,,Participant
2001,Ahmed Alsafi,-,,Participant
2001,Rami Aldhafiri,-,,Participant
2000,Mohammad Yousuf,-,,Participant
2000,Ohoud Alsalem,-,,Participant
2000,Ali Yousef,-,,Participant
2000,Jenan Shaaban,-,,Participant
1999,Mohammad Aqbar,-,,Participant
1999,Ali Alkhal,-,,Participant
1997,Abeer Alazemi,-,,Participant
1997,Dalal Almatrouk,-,,Participant
1997,Athari Alshammari,-,,Participant
1997,Fahad Alqenai,-,,Participant
1996,Mohammad Yousuf Al-Zaid,-,,Participant
1996,Hanan Yousef Al-Abuma,-,,Participant
1996,Ayman Abdullah Al-Awadi,-,,Participant
1996,Hassan Zaeed Al-Mousawi,-,,Participant
1995,Abdullah Husain,-,,Participant
1995,Amenah Al-Yousef,-,,Participant
1995,Mutlaq Al-Sihan,-,,Participant
1995,Maha Al-Shmmari,-,,Participant
1994,Raniah Alawadhi,-,,Participant
1994,Amal Ayed,-,,Participant
1994,Mahdi Ali,-,,Participant
1990,Hanadi Al-Bader,-,,Participant
1990,Waddah Al-Refa'ee,-,,Participant
1990,Abeer Al-Fadel,-,,Participant
1990,Khuloud Awad,-,,Participant
1989,Ammar Al-Sairafi,-,,Participant
1989,Nabila Abbos Abel,-,,Participant
1989,Manhi Al-Shamari,-,,Participant
1989,Saleh Al-Shaiji,-,,Participant
1988,Abeer Algharabally,-,,Participant
1988,Hisham Hayat,-,,Participant
1988,Nahla Asadalla,-,,Participant
1988,Bandar Al-Mutairi,-,,Participant
1987,Mohd. H. Z. Al Mutairi,-,,Participant
1987,Hanadi M. Rabbab,-,,Participant
1987,Abas B. A. H. Al-Shemari,-,,Participant
1987,Duad Abdullah Al-Kaledi,-,,Participant
1986,Sultan F.E. Al-Mutiari,-,,Participant
1986,Dais M.M.A. Al-Anzi,-,,Participant
1986,Adnan A.A. Al-Wogayyan,-,,Participant
1986,Faisal A.M.A. Abdulghafour,-,,Participant
