Year,Contestant,Original script,Rank,Award
2024,R. Pahanma U. Lenora,රොබොල්ගේ පහන්මා උපනි ලෙනෝරා,170,Bronze medal
2024,P.R.S.D.N. Palihawadana,පලිහවඩන රාලලාගේ සිතූප දනිතු නෙත්මිණ පලිහවඩන,182,Bronze medal
2024,Sreemaathuri Sinthanaichselvan,ஸ்ரீமாதுரி சிந்தனைச்செல்வன்,200,Bronze medal
2024,Vajra Neth Wijesooriya,වජ්ර නෙත් විජේසූරිය,202,Bronze medal
2023,Thisarindu Kuragodage,තිසරිඳු අදීප ලක්ෂාන් කූරගොඩගේ,117,Bronze medal
2023,Robolge Lenora,Robolge Lenora,139,Bronze medal
2023,Arachchige Don Arachchi,ආරච්චිගේ දොන් ඉසිත දිනුජය ආරච්චි,174,Bronze medal
2023,Thuvarahan Chandrakumar,Thuvarahan Chandrakumar,175,Bronze medal
2022,Nelushi Vithanachchi,තෙල්ලඹුර විතානාච්චිගේ නෙලුෂි විතානාච්චි,88,Silver medal
2022,Vasanthamohan Sasangan,வசந்தமோகன் சசாங்கன்,166,Bronze medal
2022,Benuljith Mindula Karunarathne,අට්ටාල ගමරාලලාගේ බෙනුල්ජිත් මින්දුල කරුණාරත්න,171,Bronze medal
2022,Ranasinghege Kavinda Chathuranga,රණසිංහගේ කවින්ද චතුරංග,204,Bronze medal
2021,Nadun Naveendra Rajapaksha,නඳුන් නවීන්ද්‍ර රාජපක්ෂ,142,Bronze medal
2021,Achira Hansindu Kelambi Arachchige,කේලම්බි ආරච්චිගේ අචිර හන්සිඳු,145,Bronze medal
2021,Manujaya Praveen Wijesinghe,මනුජය ප්‍රවීන් විජේසිංහ,192,Bronze medal
2021,Dinithi Shalika Madhubhashini,වත්තේ ගෙදර දිනිති ශාලිකා මධුභාෂිණී,212,Honorable mention
2020,Uvindu Praveen Sumanasekara,Uvindu Praveen Sumanasekara,88,Bronze medal
2020,Arulanantham Abbinanthan,Arulanantham Abbinanthan,110,Bronze medal
2020,Ravindu Sanwara Rathnayake,Ravindu Sanwara Rathnayake,133,Bronze medal
2020,Shakindi Vihangana Mahanaida Badalgei,Shakindi Vihangana Mahanaida Badalgei,164,Honorable mention
