Year,Contestant,Original script,Rank,Award
2024,Līva Eglīte,Līva Eglīte,150,Bronze medal
2024,Linards Lūsis,Linards Lūsis,156,Bronze medal
2024,Pēteris Imants Mežciems,Pēteris Imants Mežciems,224,Honorable mention
2024,Matīss Gercāns,Matīss Gercāns,228,Honorable mention
2023,Daniils Kargins,Daniil Kargin,51,Silver medal
2023,Daniils Soško,Daniils Soško,112,Bronze medal
2023,Linards Lūsis,Linards Lūsis,189,Bronze medal
2023,Viesturs Streļčs,Viesturs Streļčs,216,Bronze medal
2022,Daniils Kargins,Daniils Kargins,110,Bronze medal
2022,Rostislavs Rostovskis,Rostislavs Rostovskis,117,Bronze medal
2022,Daniils Soško,Daniils Soško,133,Bronze medal
2022,Rūdolfs Brahmanis,Rūdolfs Brahmanis,158,Bronze medal
2021,Džonatans Miks Melgalvis,Džonatans Miks Melgalvis,79,Silver medal
2021,Daniils Kargins,Daniils Kargins,98,Silver medal
2021,Vladislavs Tiščenko,Vladislavs Tiščenko,114,Bronze medal
2021,Edvards Jānis Treijs,Edvards Jānis Treijs,127,Bronze medal
2020,Dzonatans Miks Melgalvis,Džonatans Miks Melgalvis,106,Bronze medal
2020,Filips Ecis,Filips Ēcis,109,Bronze medal
2020,Anete Patricija Raiskuma,Anete Patrīcija Raiskuma,115,Bronze medal
2020,Edvards Mikelis Mezciems,Edvards Miķelis Mežciems,128,Bronze medal
2019,Gustavs Jānis Mežciems,Gustavs Jānis Mežciems,16,Gold medal
2019,Staņislavs Kurašs,Staņislavs Kurašs,83,Silver medal
2019,Olavs Rāciņš,Olavs Rāciņs,113,Bronze medal
2019,Māris Koniševs,Māris Koniševs,138,Bronze medal
2018,Gustavs Jānis Mežciems,Gustavs Jānis Mežciems,75,Silver medal
2018,Olavs Rāciņš,Olavs Rāciņš,82,Silver medal
2018,Māris Koniševs,Māris Koniševs,87,Silver medal
2018,Anna Marija Sumrova,Anna Marija Sumrova,180,Bronze medal
2017,Margarita Fomenko,Margarita Fomenko,104,Bronze medal
2017,Vladislavs Aščeulovs,Vladislavs Aščeulovs,110,Bronze medal
2017,Emīls Azanda,Emīls Azanda,124,Bronze medal
2017,Rihards Puplovskis,Rihards Puplovskis,,Participant
