Year,Contestant,Original script,Rank,Award
2024,Petar Mirchevski,Петар Мирчевски,94,Silver medal
2024,Mario Vanchoski,Марио Ванчоски,172,Bronze medal
2024,Ivan Kostevski,Иван Костевски,,Participant
2024,Elena Zhivaljevikj,Елена Живаљевиќ,,Participant
2023,Filip Bojadjievski,Филип Бојаџиевски,156,Bronze medal
2023,Mario Vanchoski,Марио Ванчоски,183,Bronze medal
2023,Petar Mirchevski,Петар Мирчевски,200,Bronze medal
2023,Marija Petrova,Марија Петрова,220,Honorable mention
2022,Darko Stojchev,Дарко Стојчев,127,Bronze medal
2022,Anja Spasovska,Ања Спасовска,181,Bronze medal
2022,Filip Bojadjievski,Филип Бојаџиевски,,Participant
2021,Darko Stojchev,Дарко Стојчев,113,Bronze medal
2021,Anja Spasovska,Ања Спасовска,,Participant
2021,Jan Stojanovski,Јан Стојановски,,Participant
2021,Mihail Trajkov,Михаил Трајков,,Participant
2020,Aleksandar Trajkovski,Александар Трајковски,112,Bronze medal
2020,Darko Stojchev,Дарко Стојчев,161,Honorable mention
2020,Leonid Sajkov,Леонид Сајков,,Participant
2020,Mihail Trajkov,Михаил Трајков,,Participant
2019,Stefan Stojkovikj,Стефан Стојковиќ,158,Bronze medal
2019,Stefan Damchevski,Стефан Дамчевски,194,Bronze medal
2019,Aleksandar Trajkovski,Александар Трајковски,,Participant
2019,Rufija Idrizovska,Руфија Идризовска,,Participant
2018,Antonio Andonovski,Антонио Андоновски,169,Bronze medal
2018,Stefan Damchevski,Стефан Дамчевски,190,Bronze medal
2018,Stefan Stojkovikj,Стефан Стојковиќ,,Participant
2018,Magdalena Zlatanova,Магдалена Златанова,,Participant
2017,Filip Trajkovski,Филип Трајковски,158,Bronze medal
2017,Antonio Andonovski,Антонио Андоновски,,Participant
2017,Edita Bitikji,Едита Битиќи,,Participant
2017,Magdalena Zlatanova,Магдалена Златанова,,Participant
2016,Filip Trajkovski,Филип Трајковски,,Participant
2016,Zoran Gavrilov,Зоран Гаврилов,,Participant
2016,Magdalena Zlatanova,Магдалена Златанова,,Participant
2016,Antonio Andonovski,Антонио Андоновски,,Participant
2015,Gorjan Stojkov,Горјан Стојков,,Participant
2015,Elena Stefova,Елена Стефова,,Participant
2015,Zoran Gavrilov,Зоран Гаврилов,,Participant
2015,Filip Trajkovski,Филип Трајковски,,Participant
2014,Nebojsha Jovanovikj,Небојша Јовановиќ,,Participant
2014,Tamara Savevska,Тамара Савевска,,Participant
2014,Gorjan Stojkov,Горјан Стојков,,Participant
2014,Andrej Patoski,Андреј Патоски,,Participant
2013,Marija Tepegjozova,Марија Тепеѓозова,,Participant
2013,Filip Zoran Ilievski,Филип Зоран Илиевски,,Participant
2013,Gligor Duchev,Глигор Дучев,,Participant
2013,Gorjan Igor Stojkov,Горјан Игор Стојков,,Participant
