Year,Contestant,Original script,Rank,Award
2024,Aleksa Damjanović,Aleksa Damjanović,206,Honorable mention
2024,Jelena Orbović,Jelena Orbović,,Participant
2024,Zada Medunjanin,Zada Medunjanin,,Participant
2024,Teodora Aprcović,Teodora Aprcović,,Participant
2023,Aleksa Damjanovic,Aleksa Damjanović,,Participant
2023,Vanja Lazarevic,Vanja Lazarević,,Participant
2023,Jelena Orbovic,Jelena Orbović,,Participant
2023,Lana Bigovic,Lana Bigović,,Participant
2022,Danijel Aleksic,Danijel Aleksić,,Participant
2022,Vuk Ljumovic,Vuk Ljumović,,Participant
2022,Borjana Karadzic,Borjana Karadžić,,Participant
2022,Petar Djakovic,Petar Đaković,,Participant
2021,Danijel Aleksic,Danijel Aleksić,,Participant
2021,Iva Djurickovic,Iva Đuričković,,Participant
2021,Ksenija Tadic,Ksenija Tadić,,Participant
2021,Milica Zizic,Milica Žižić,,Participant
2020,Danijel Aleksic,Danijel Aleksić,,Participant
2020,Pavle Dzuverovic,Pavle Džuverović,,Participant
2020,Andrija Djurovic,Andrija Đurović,,Participant
2020,Vuk Ljumovic,Vuk Ljumović,,Participant
2019,Andrija Djurovic,Đurović Andrija,,Participant
2019,Pavle Dzuverovic,Džuverović Pavle,,Participant
2019,Dusica Kusljevic,Kušljević Dušica,,Participant
2019,Aleksandar Mijajlovic,Mijajlović Aleksandar,,Participant
2018,Pavle Vulanovic,Pavle Vulanović,,Participant
2018,Masa Colakovic,Maša Čolaković,,Participant
2018,Mila Veselinovic,Mila Veselinović,,Participant
2018,Sara Saric,Sara Šarić,,Participant
2017,Pavle Vujanovic,Pavle Vujanovic,,Participant
2017,Danilo Petricevic,Danilo Petricevic,,Participant
2017,Tijana Krezovic,Tijana Krezovic,,Participant
2016,Andrea Vujisic,Andrea Vujisić,,Participant
2016,Sara Knezevic,Sara Knežević,,Participant
2016,Andrijana Borovic,Andrijana Borović,,Participant
2015,Milan Beljkas,Milan Beljkaš,,Participant
2015,Andrijana Borovic,Andrijana Borović,,Participant
2015,Milos Luburic,Miloš Luburić,,Participant
2014,Vojinovic Milica,Milica Vojinović,,Participant
2014,Sehija Dizdarevic,Sehija Dizdarević,,Participant
2014,Ivanovic Andrijana,Andrijana Ivanović,,Participant
2014,Roganovic Milena,Milena Roganović,,Participant
