Year,Contestant,Original script,Rank,Award
2024,Jesse Van Der Waal,Jesse van der Waal,143,Bronze medal
2024,Niels Van Den Bosch,Niels van den Bosch,195,Bronze medal
2024,Kjeld Zwiterserloot,Kjeld Zwitserloot,204,Honorable mention
2024,Koen Coyajee,Koen Coyajee,218,Honorable mention
2023,Guus Bukkems,Guus Bukkems,205,Bronze medal
2023,Kjeld Zwitserloot,Kjeld Zwitserloot,223,Honorable mention
2023,Jesse van der Waal,Jesse van der Waal,238,Honorable mention
2023,Verff Verhoeff,Verff Verhoeff,243,Honorable mention
2022,Niels Manning,Niels Manning,177,Bronze medal
2022,Mitchell Rikken,Mitchell Rikken,228,Honorable mention
2022,Gijs van Helsdingen,Gijs van Helsdingen,229,Honorable mention
2022,Derron van Os,Derron van Os,,Participant
2021,Jochem van den Broek,Jochem van den Broek,162,Bronze medal
2021,Sebastian Jacob Krikke,Bas Krikke,189,Bronze medal
2021,Mitchell Rikken,Mitchell Rikken,,Participant
2021,Max Rudolf Antonius Karel van Hest,Max van Hest,,Participant
2020,Laurens Smulders,Laurens Smulders,136,Bronze medal
2020,Pascal Otjens,Pascal Otjens,,Participant
2020,Casper Tops,Casper Tops,,Participant
2020,Valentijn Tromp,Valentijn Tromp,,Participant
2019,Anna Reinhold,Anna Reinhold,128,Bronze medal
2019,Berjan Stouwie,Berjan Stouwie,197,Honorable mention
2019,Laurens Smulders,Laurens Smulders,200,Honorable mention
2019,Nena Slaats,Nena Slaats,,Participant
2018,Sietse Dijt,Sietse Dijt,97,Silver medal
2018,Mees Hendriks,Mees Hendriks,108,Bronze medal
2018,Daan Hoogers,Daan Hoogers,170,Bronze medal
2018,Marieke Visscher,Marieke Visscher,,Participant
2017,Daniil Soloviev,Daniil Soloviev,150,Bronze medal
2017,Sietse Dijt,Sietse Dijt,165,Bronze medal
2017,Helen Zegelaar,Helen Zegelaar,,Participant
2017,Jim Wittebol,Jim Wittebol,,Participant
2016,Marijn Jonker,Marijn Jonker,161,Bronze medal
2016,Geert Schulpen,Geert Schulpen,,Participant
2016,Andy Sardjan,Andy Sardjan,,Participant
2016,Jard Mattens,Jard Mattens,,Participant
2015,Marit Fiechter,Marit Fiechter,159,Bronze medal
2015,Geert Schulpen,Geert Schulpen,163,Bronze medal
2015,Ruben La,Ruben La,,Participant
2015,Joris Gerlagh,Joris Gerlagh,,Participant
2014,Mike Cornelis Wouter Marinus Pols,Mike Cornelis Wouter Marinus Pols,128,Bronze medal
2014,Ymro Nils Hoogendoorn,Ymro Nils Hoogendoorn,146,Bronze medal
2014,Maarten Peter Sijm,Maarten Peter Sijm,176,Bronze medal
2014,Manoy Timar Trip,Manoy Timar Trip,,Participant
2013,Johannes Cornelis Jacobus Mertens,Johannes Cornelis Jacobus Mertens,130,Bronze medal
2013,Ymro Nils Hoogendoorn,Ymro Nils Hoogendoorn,181,Bronze medal
