Year,Contestant,Original script,Rank,Award
2024,Kabi Raj Joshi,Kabi Raj Joshi,,Participant
2024,Raj Sapkota,Raj Sapkota,,Participant
2024,Kiran Punja Acharya,Kiran Punja Acharya,,Participant
2024,Kavya Pokharel,Kavya Pokharel,,Participant
2023,Nishtha Shah,निष्ठा शाह,234,Honorable mention
2023,Atharva Timsina,अथर्व तिम्सिना,,Participant
2023,Pujan Lamsal,पुजन लम्साल,,Participant
2023,Bishnu Sapkota,विष्णु सापकोटा,,Participant
2022,Sarwesh Parajuli,सर्वेश पराजुली,185,Bronze medal
2022,Anish Prasad Lohani,अनिश प्रसाद लोहनी,,Participant
2022,Khagendra Kumar Sharma,खगेन्द्र कुमार शर्मा,,Participant
2022,Bibek Chaudhary,बिबेक चौधरी,,Participant
