Year,Contestant,Original script,Rank,Award
2024,Daniel Xian,Daniel Xian,43,Silver medal
2024,Seivin Kim,Seivin Kim,120,Bronze medal
2024,Ena (Yina) Yin,Yina Yin,184,Bronze medal
2024,Alexandre Geron,Alexandre Geron,186,Bronze medal
2023,Oliver Gunson,Oliver Gunson,100,Silver medal
2023,Jayden Kumar,Jayden Kumar,135,Bronze medal
2023,Isla Swanney,Isla Swanney,187,Bronze medal
2023,Cedric Siriwardana,Cedric Siriwardana,197,Bronze medal
2022,Liam Gary Hall,Liam Gary Hall,58,Silver medal
2022,Yifei Song,Yifei Song,121,Bronze medal
2022,Ryaan Sidhu,Ryaan Sidhu,161,Bronze medal
2022,Allan Han,Allan Han,174,Bronze medal
2021,Mason Minghan Liu,Liu Ming Han,177,Bronze medal
2021,Abhinav Chawla,Abhinav Chawla,196,Honorable mention
2021,Sam Wuji Zhuang,Sam Zhuang,203,Honorable mention
2021,Daniel Jiyoun Jang,Jiyoun Jang,213,Honorable mention
2019,Rayman Tang,Rayman Tang,129,Bronze medal
2019,Connor Matthew Gallagher,Connor Gallagher,145,Bronze medal
2019,Jaqlin Anne Van Schalkwyk,Jaqlin Anne Van Schalkwyk,168,Bronze medal
2019,Daniel Joon Ahn,Daniel Joon Ahn,198,Honorable mention
2018,Russell Scott Boey,Russell Scott Boey,126,Bronze medal
2018,Callan Maurice Loomes,Callan Maurice Loomes,128,Bronze medal
2018,Steven Yunfei Ma,Steven Yunfei Ma,187,Bronze medal
2018,Stefan Ivanov,Stefan Ivanov,,Participant
2017,Zijun Hui,Zijun Hui,92,Silver medal
2017,Milidu Ratnayake,Milidu Ratnayake,111,Bronze medal
2017,Sangheon Yeom,Sangheon Yeom,113,Bronze medal
2017,Janice Ho,Janice Ho,144,Bronze medal
2016,Yibin Zhang,Yibin Zhang,101,Bronze medal
2016,Edward Liu,Edward Liu,110,Bronze medal
2016,Lucas In Gyu Lee,Lucas In Gyu Lee,122,Bronze medal
2016,Ellena Black,Ellena Black,,Participant
2015,Brianna Kayleen Nally,Brianna Kayleen Nally,155,Bronze medal
2015,Jin-Uk David Kim,Jin-Uk David Kim,164,Bronze medal
2015,Hugo Jack Borowicz Brown,Hugo Jack Borowicz Brown,168,Bronze medal
2015,Ming-Hong Thomas Chang,Ming-Hong Thomas Chang,178,Bronze medal
2014,Mark Nicholas Yep,Mark Nicholas Yep,93,Bronze medal
2014,Isari Masuda,Isari Masuda,114,Bronze medal
2014,Aaron Shillito Ross,Ross Aaron Shillito,115,Bronze medal
2014,Victor Xie,Victor Xie,159,Bronze medal
2013,Feng Zhou,Feng Zhou,51,Silver medal
2013,Scott Huang,Scott Huang,99,Bronze medal
2013,Ka Yin Keniel Yao,Ka Yin Keniel Yao,164,Bronze medal
2013,Xin Yi Ou,Xin Yi Ou,174,Bronze medal
2012,Andy Chen,Andy Chen,88,Silver medal
2012,Matthew Lie,Matthew Lie,105,Bronze medal
2012,Robert Shin,Robert Shin,136,Bronze medal
2012,Henry Yuen,Henry Yuen,159,Bronze medal
2011,Thomas Joseph Fellowes,Thomas Joseph Fellowes,121,Bronze medal
2011,Kailun Wang,Kailun Wang,129,Bronze medal
2011,Andy Gengyu Chen,Andy Gengyu Chen,161,Bronze medal
2011,Jade Fai Leung,Jade Fai Leung,172,Bronze medal
2010,Stewart Alexander,Stewart Alexander,91,Bronze medal
2010,Lujia Xu,Lujia Xu,99,Bronze medal
2010,David Bellamy,David Bellamy,101,Bronze medal
2010,Jaimin Choi,Jaimin Choi,171,Bronze medal
2009,Joel Lawson,Joel Lawson,72,Silver medal
2009,Hsiao-Chen Jan,Hsiao-Chen Jan,129,Bronze medal
2009,Jared Lewis,Jared Lewis,133,Bronze medal
2009,Hyun-Sun Roh,Hyun-Sun Roh,143,Bronze medal
2008,Emily Christine Adlam,Emily Christine Adlam,85,Bronze medal
2008,Sava Mihic,Sava Mihic,103,Bronze medal
2008,Timothy Andre Vogel,Timothy Andre Vogel,105,Bronze medal
2008,Wenyi Yi,Wenyi Yi,126,Bronze medal
2007,Jonathan Lin,Jonathan Lin,54,Silver medal
2007,Chuan Zheng Lee,Chuan Zheng Lee,74,Silver medal
2007,Thomas Ashton Christopher Wong,Thomas Ashton Christopher Wong,131,Bronze medal
2007,Michael James Plunkett,Michael James Plunkett,140,Bronze medal
2006,Kuan-lun Huang,Kuan-lun Huang,48,Silver medal
2006,Joshua Baker,Joshua Baker,59,Silver medal
2006,James Chanki Park,James Chanki Park,79,Silver medal
2006,Richard Vaughan Stebbing,Richard Vaughan Stebbing,141,Bronze medal
2005,Devarshi Bhattacharyya,Devarshi Bhattacharyya,150,Bronze medal
2005,Daniel Chan,Daniel Chan,,Participant
2005,Lewis Winn,Lewis Winn,,Participant
2005,Wei Li Jiang,Wei Li Jiang,,Participant
2004,Reed Roberts,Reed Roberts,77,Silver medal
2004,Aritra Ray,Aritra Ray,114,Bronze medal
2004,Tony Chiu,Tony Chiu,122,Bronze medal
2004,Yun Huang,Yun Huang,123,Bronze medal
2003,Yun Huang,Yun Huang,107,Bronze medal
2003,William Shew,William Shew,149,Bronze medal
2003,Aritra Ray,Aritra Ray,,Participant
2003,Graeme Mak,Graeme Mak,221,Honorable mention
2002,Kelvin Peng,Kelvin Peng,99,Bronze medal
2002,Peter Shiu Cheung Lau,Peter Shiu Cheung Lau,135,Bronze medal
2002,Andrew Yearsley,Andrew Yearsley,139,Bronze medal
2002,Gemma Mason,Gemma Mason,161,Honorable mention
2001,Irene Ballagh,Irene Ballagh,87,Bronze medal
2001,Jack Chen,Jack Chen,,Participant
2001,Rosalind Phillips,Rosalind Phillips,,Participant
2001,Albert Morel Bollard,Albert Morel Bollard,204,Honorable mention
2000,Silas Xu,Silas Xu,49,Silver medal
2000,Luke Henry,Luke Henry,100,Bronze medal
2000,Chris Rapson,Chris Rapson,112,Bronze medal
2000,Donny Wong,Donny Wong,,Participant
1999,Richard Kramer,Richard Kramer,76,Bronze medal
1999,Tim King,Tim King,77,Bronze medal
1999,Desmond Chun-Fung Chik,Desmond Chun-Fung Chik,121,Bronze medal
1999,Stephen McCracken,Stephen McCracken,,Participant
1998,Tien Huey Lim,Tien Huey Lim,116,Bronze medal
1998,Timothy King,Timothy King,,Participant
1998,Francis Lucian Reid,Francis Lucian Reid,,Participant
1998,Tanya Ronson,Tanya Ronson,,Participant
1997,Luke Baxter,Luke Baxter,68,Bronze medal
1997,Nicholas Webb,Nicholas Webb,89,Bronze medal
1997,Malcolm Lowe,Malcolm Lowe,106,Bronze medal
1997,Alexander Ng,Alexander Ng,,Participant
1996,Bendjamin Robert Clark,Bendjamin Robert Clark,46,Silver medal
1996,Derek Caudwell,Derek Caudwell,,Participant
1996,Michael Townsend,Michael,,Participant
1996,Geoffrey Lau,Geoffrey Lau,,Participant
1995,Irine Peng,Irine Peng,74,Bronze medal
1995,Ben Clark,Ben Clark,93,Bronze medal
1995,Hayden Callow,Hayden Callow,,Participant
1995,Andrew Baldwin,Andrew Baldwin,,Participant
1994,"Andrew, Chun-Yip To","Andrew, Chun-Yip To",21,Silver medal
1994,Ben Wilkinson,Ben Wilkinson,34,Silver medal
1994,Raghav Raman,Raghav Raman,73,Bronze medal
1994,Duncan James McGillivray,Duncan James McGillivray,94,Bronze medal
1993,David Yuen,David Yuen,23,Silver medal
1993,Andrew Gilbert,Andrew Gilbert,31,Silver medal
1993,Jason Tseung,Jason Tseung,67,Bronze medal
1993,Simon B. Blakey,Simon B. Blakey,84,Bronze medal
1992,Michael Fleming,Michael Fleming,73,Bronze medal
1992,Henry Liu,Henry Liu,79,Bronze medal
1992,Nicholas Cutfield,Nicholas Cutfield,,Participant
1992,Andrew Lowe,Andrew Lowe,,Participant
