Year,Contestant,Original script,Rank,Award
2024,Marym Idris Mohammed Al Farsi,Marym Idris Mohammed Al Farsi,,Participant
2024,Aina Ali Khalifa Ambusa'Idi,Aina Ali Khalifa Ambusa'Idi,,Participant
2024,Fatimah Nasser Khalifa Al Shandoudi,Fatimah Nasser Khalifa Al Shandoudi,,Participant
2024,Maryam Humaid Jaber Almamari,مريم بنت حميد بن جبر بن حميد المعمرية,,Participant
2023,Mohammed Al.Habsi,Mohammed Al.Habsi,,Participant
2023,Alrabie Al.Dhafri,Alrabie Al.Dhafri,,Participant
2023,Jumanah Al.Amry,Jumanah  Al.Amry,,Participant
2023,Ayaat Al.Hinai,Ayaat Al.Hinai,,Participant
2022,Hamza Al Farsi,Hamza Al Farsi,,Participant
2022,Abdullah Al-Azri,عبد الله بن مسعود بن سليمان العزري,,Participant
2022,Mohammed Al-Habsi,Mohammed Al-Habsi,,Participant
2022,Mais Al-Hadhrami,Mais Al-Hadhrami,,Participant
2021,Arwa Ali Hamed Al Hashimi,أروى بنت علي بن حمد الهاشمية,,Participant
2021,Maryam Abdallah Mohammed Al-Hatmi,مريم بنت عبدالله بن محمد الحاتمية,,Participant
2021,Abdullah Masoud Sulaiman Al-Azri,عبدالله بن مسعود بن سليمان العزري,,Participant
2021,Lujaina Humaid Abdullah Al Badi,لجينة بنت حميد بن عبدالله البادية,,Participant
2015,Rashid Darwish Al Ghafro,راشد بن درويش بن خلفان الغافري،,,Participant
2015,Mohammed Ali Al Madhani,محمد بن علي بن أحمد المدحاني,,Participant
2015,Naeema Hamood Al Badawi,نعيمة بنت حمود بن سعيد البدو,,Participant
2015,Arwa Nasser Al Rawahi,أروى بنت سالم بن ناصر,,Participant
