Year,Contestant,Original script,Rank,Award
2024,Abdul Rafay,عبدالرافع,179,Bronze medal
2024,Syed Mehir Ali Shah,سید مہر علی شاہ,,Participant
2024,Mahnoor Rashid,ماہ نور راشد,,Participant
2024,Marva,مروہ,,Participant
2023,Abdul Rafay,عبدالرافع,230,Honorable mention
2023,Asma Ismail,Asma     Ismail,,Participant
2023,Syed Askari,سید محمد عسکری,,Participant
2023,Abdul Tahir,Abdul Tahir,,Participant
2022,Talal Hassan,Talal Hassan,211,Honorable mention
2022,Maimonah Razzaq,Maimonah Razzaq,,Participant
2022,Zayan Rashid Rana,Zayan Rashid Rana,,Participant
2021,Ayesha Junaid,عائشہ جنید,,Participant
2021,Muhammad Yahya,محمد یحییٰ,,Participant
2021,Muhammad Ismail,محمد اسماعیل,,Participant
2021,Rameesha Khursheed,رمیشہ خورشید,,Participant
2020,Sajjan Raja,-,,Participant
2020,Wamiq Ali Shaikh,-,,Participant
2020,Muhammad Hazim Bin Saleem,-,,Participant
2020,Amna Qaisar,-,,Participant
2019,Mohtad Farhan Allawala,Mohtad Farhan Allawala,179,Bronze medal
2019,Sheza Munir,Sheza Munir,215,Honorable mention
2019,Muaz-Bin-Moeen,Muaz-Bin-Moeen,218,Honorable mention
2019,Nadir Yusra,Yusra Nadir,,Participant
2018,Muhammed Suleman Saad Thaniana,Muhammed Suleman Saad Thaniana,185,Bronze medal
2018,Gohar Saqib Fazal,Gohar Saqib Fazal,,Participant
2017,Maaha Ayub,ماہا ایوب,168,Bronze medal
2017,Shah Hasan,شاہ محمد حسن,,Participant
2017,Aamna Masood,آمنہ مسعود,,Participant
2017,Mahnoor Moeen,ماہنور معین,,Participant
2016,Muhammad Ismail,Muhammad Ismail,160,Bronze medal
2016,Kanchan Ramesh Maheshwari,Kanchan Ramesh Maheshwari,,Participant
2016,Mohammad Ahmad,Mohammad Ahmad,,Participant
2015,Syed Faizan Haider Zaidi,Syed Faizan Haider Zaidi,111,Bronze medal
2015,Abdullah Altaf,Abdullah Altaf,188,Bronze medal
2015,Fawad Masood Desmukh,Fawad Masood Desmukh,,Participant
2015,Hina Batool,Hina Batool,,Participant
2014,Mirza Muhammad Shujaat,Mirza Muhammad Shujaat,134,Bronze medal
2014,Khalid Maqbool,Khalid Maqbool,168,Bronze medal
2014,Siddiqui Maheen Kausar,Siddiqui Maheen Kausar,179,Bronze medal
2014,Ahmad Sabih,-,,Participant
2013,Muhammad Ahmad Khan,Muhammad Ahmad Khan,146,Bronze medal
2013,Muhammad Zain Raza,Muhammad Zain Raza,166,Bronze medal
2013,Huda Zahid,Huda Zahid,183,Bronze medal
2013,Syeda Ayesha Siddiqua,Syeda Ayesha Siddiqua,,Participant
2012,Armughan Khan,Armughan Khan,172,Bronze medal
2012,Khawaja Muhammad Zahid,Khawaja Muhammad Zahid,,Participant
2012,Muhammad Afzal,Muhammad Afzal,,Participant
2012,Osaf Khan,Osaf Khan,,Participant
2011,Syed Muhammad Saad Imran,سید محمد سعد عمران,109,Bronze medal
2011,Marium Ahmed Uqaili,مریم احمد کا,168,Bronze medal
2011,Amna Rashid,آمنہ راشد,185,Honorable mention
2011,Uzayr Ijaz Khan,اُزیر اعجاز خان,,Participant
2010,Muhammad Anus,محمد انس,,Participant
2010,Ali Izhar,محمد انس,,Participant
2010,Hassan Ali Hafiz,حافظ حسن علی,,Participant
2010,Sana Qasim Minahil,منہال ثنا قاسم خان,,Participant
2009,Saman Zia,-,149,Bronze medal
2009,Nayha Enver,-,164,Bronze medal
2009,Bilal Shahid,-,,Participant
2009,Asad Rehman,-,,Participant
2008,Maha Malik,-,,Participant
2008,Gibran Moshtaq Hashmi,-,,Participant
2008,Ali Kamran Ahmad,-,,Participant
2008,Ayesha Ahmed,-,,Participant
2007,Shaina Khan,-,117,Bronze medal
2007,Anita Pabani,-,149,Bronze medal
2007,Shahzad Iqbal,-,,Participant
2007,Hamza Khan Shahbazi,-,,Participant
2006,Raja Jawad Kiani,-,,Participant
2006,Mirza Wasif Baig,-,,Participant
2006,Umair Ahmed Peerzada,-,,Participant
2006,Ahmed Zia,-,,Participant
