Year,Contestant,Original script,Rank,Award
2024,Rex Alphonse Reventar,Rex Alphonse Reventar,109,Bronze medal
2024,Gelraycs Jules D. Fornan,Gelraycs Jules D. Fornan,173,Bronze medal
2024,Jacob Emmanuel P. Sadorra,Jacob Emmanuel Panis Sadorra,214,Honorable mention
2024,Michael B. Javier Ogden,Ogden Michael B. Javier,216,Honorable mention
2023,Gelraycs Jules Fornan,Gelraycs Jules Fornan,142,Bronze medal
2023,Mohammad Nur Casib,Mohammad Nur Casib,192,Bronze medal
2023,Lemuel Acosta,Lemuel  Acosta,204,Bronze medal
2023,Kiersten Gene Calubaquib,Kiersten Gene Calubaquib,229,Honorable mention
2022,Ron Angelo Atienza Gelacio,Ron Angelo Atienza Gelacio,115,Bronze medal
2022,Aames Juriel Beladas Morales,Aames Juriel Beladas Morales,132,Bronze medal
2022,Anne Maricar Trinos Maralit,Anne Maricar Trinos Maralit,213,Honorable mention
2022,Lemuel Agrava Acosta,Lemuel Agrava Acosta,227,Honorable mention
2021,Ron Angelo A. Gelacio,Ron Angelo A. Gelacio,86,Silver medal
2021,Nathan Wayne F. Ariston,Nathan Wayne F. Ariston,97,Silver medal
2021,Aames Juriel B. Morales,Aames Juriel B. Morales,165,Bronze medal
2021,Kristoff John F. Padilla,Kristoff John F. Padilla,,Participant
2020,Michael Cole Moises Tantoco,Michael Cole Moises Tantoco,62,Silver medal
2020,Nathan Wayne Fontanilla Ariston,Nathan Wayne Fontanilla Ariston,95,Bronze medal
2020,Stefan Marcus Ang Ong,Stefan Marcus Ang Ong,98,Bronze medal
2020,Ron Angelo Atienza Gelatio,Ron Angelo Atienza Gelatio,149,Bronze medal
2019,Arthur Reiner Ventura De Belen,Arthur Reiner Ventura De Belen,99,Silver medal
2019,Israel Mina Aguba,Israel Mina Aguba,141,Bronze medal
2019,Julius Dela Rosa Macling,Julius Dela Rosa Macling,211,Honorable mention
2019,Michael Cole Moises Tantoco,Michael Cole Moises Tantoco,,Participant
2018,Julius Dela Rosa Macling,Julius Dela Rosa Macling,179,Bronze medal
2018,Israel Mina Aguba,Israel Mina Aguba,191,Bronze medal
2018,Arthur Reiner Ventura De Belen,Arthur R. Ventura De Belen,,Participant
2018,Galen Noel Galan Nifas,Galen Noel Galan Nifas,,Participant
2017,Arthur Reiner De Belen,Arthur Reiner De Belen,180,Bronze medal
2017,Charles Jerome Bartolo,Charles Jerome Bartolo,184,Bronze medal
2017,Israel Aguba,Israel Aguba,,Participant
2017,Hahhan Keren Duque,Hahhan Keren Duque,,Participant
