Year,Contestant,Original script,Rank,Award
2024,Michał Piotr Lipiec,Michał Piotr Lipiec,14,Gold medal
2024,Piotr Michał Olbryś,Piotr Michał Olbryś,28,Gold medal
2024,Mikołaj Warda,Mikołaj Warda,60,Silver medal
2024,Wiktor Gabriel Kępiński,Wiktor Gabriel Kępiński,90,Silver medal
2023,Michal Lipiec,Michał Piotr Lipiec,6,Gold medal
2023,Piotr Olbrys,Piotr Michał Olbryś,65,Silver medal
2023,Szymon Rozanski,Szymon Różański,76,Silver medal
2023,Mikolaj Warda,Mikołaj Warda,118,Bronze medal
2022,Michał Piotr Lipiec,Michał Piotr Lipiec,28,Gold medal
2022,Adam Szymon Sukiennik,Adam Szymon Sukiennik,55,Silver medal
2022,Roman Buksak,Roman Buksak,66,Silver medal
2022,Dominik Stanislaw Duch,Dominik Stanisław Duch,125,Bronze medal
2021,Michal Piotr Lipiec,Michał Piotr Lipiec,39,Silver medal
2021,Bruno Andrzej Skoczen,Bruno Andrzej Skoczeń,64,Silver medal
2021,Jakub Krzysztof Kwiatkowski,Jakub Krzysztof Kwiatkowski,99,Silver medal
2021,Adam Szymon Sukiennik,Adam Szymon Sukiennik,154,Bronze medal
2020,Tomasz Jan Slusarczyk,Tomasz Ślusarczyk,28,Silver medal
2020,Michal Piotr Lipiec,Michał Lipiec,77,Bronze medal
2020,Adam Szymon Sukiennik,Adam Sukiennik,92,Bronze medal
2020,Wojciech Jan Michalski,Wojciech Michalski,103,Bronze medal
2019,Grzegorz Procyk,Grzegorz Procyk,73,Silver medal
2019,Dominik Oskar Balaban,Dominik Oskar Bałaban,80,Silver medal
2019,Kordian Wojciech Glabowski,Kordian Wojciech Głąbowski,101,Silver medal
2019,Mikolaj Wawrzyniec Poplawski,Mikołaj Wawrzyniec Popławski,107,Bronze medal
2018,Daniel Maksymilian Golec,Daniel Maksymilian Golec,47,Silver medal
2018,Paweł Franciszek Tyrna,Paweł Franciszek Tyrna,53,Silver medal
2018,Wojciech Jan Jankowski,Wojciech Jan Jankowski,70,Silver medal
2018,Antoni Artur Prus,Antoni Artur Prus,103,Bronze medal
2017,Michał Pychtin,Michał Pychtin,42,Silver medal
2017,Daniel Golec,Daniel Golec,65,Silver medal
2017,Jakub Narodowiec,Jakub Narodowiec,100,Silver medal
2017,Wojciech Jankowski,Wojciech Jankowski,119,Bronze medal
2016,Michał Łukasz Gala,Michał Łukasz Gala,24,Gold medal
2016,Mikołaj Świerczyński,Mikołaj Świerczyński,42,Silver medal
2016,Adam Klukowski,Adam Klukowski,43,Silver medal
2016,Dominika Zajkowska,Dominika Zajkowska,72,Silver medal
2015,Michał Kopyt,Michał Kopyt,11,Gold medal
2015,Karol Jakub Rząd,Karol Jakub Rząd,39,Silver medal
2015,Michał Łukasz Gala,Michał Łukasz Gala,58,Silver medal
2015,Damian Paweł Jędrzejowski,Damian Paweł Jędrzejowski,147,Bronze medal
2014,Mateusz Szczęsny Szczygieł,Mateusz Szczęsny Szczygieł,13,Gold medal
2014,Wojciech Łyczek,Wojciech Łyczek,27,Gold medal
2014,Karol Jakub Rząd,Karol Jakub Rząd,71,Silver medal
2014,Anna Sylwia Fabich,Anna Sylwia Fabich,117,Bronze medal
2013,Michał Magott,Michał Magott,14,Gold medal
2013,Tomasz Damian Kudłacz,Tomasz Damian Kudłacz,31,Gold medal
2013,Piotr Krzysztof Wróbel,Piotr Krzysztof Wróbel,38,Silver medal
2013,Paulina Mieldzioć,Paulina Mieldzioć,98,Silver medal
2012,Kamil Adamczyk,Kamil Adamczyk,56,Silver medal
2012,Szymon Wrzesien,Szymon Wrzesień,62,Silver medal
2012,Grzegorz Rak,Grzegorz Rak,96,Bronze medal
2012,Pawel Blaszczyk,Paweł Błaszczyk,126,Bronze medal
2011,Paweł Włodarczyk,Paweł Włodarczyk,44,Silver medal
2011,Maria Helena Budnik,Maria Helena Budnik,77,Silver medal
2011,Szymon Piotr Rzeźwicki,Szymon Piotr Rzeźwicki,119,Bronze medal
2011,Michał Piotr Ociepa,Michał Piotr Ociepa,138,Bronze medal
2010,Witold Hoffmann,Witold Hoffmann,46,Silver medal
2010,Kornel Ocytko,Kornel Ocytko,49,Silver medal
2010,Maciej Gryszel,Maciej Gryszel,95,Bronze medal
2010,Marcin Malinowski,Marcin Malinowski,109,Bronze medal
2009,Marcin Warmiński,Marcin Warmiński,38,Silver medal
2009,Marcin Malinowski,Marcin Malinowski,55,Silver medal
2009,Maciej Sienkiewicz,Maciej Sienkiewicz,56,Silver medal
2009,Artur Stachowiak,Artur Stachowiak,96,Bronze medal
2008,Oskar Szymon Sala,Oskar Szymon Sala,11,Gold medal
2008,Tomasz Andrzej Biczel,Tomasz Andrzej Biczel,29,Gold medal
2008,Lukasz Krawiec,Lukasz Krawiec,106,Bronze medal
2008,Jakub Hubert Mroz,Jakub Hubert Mroz,113,Bronze medal
2007,Dawid Grzegorz Lichosyt,Dawid Grzegorz Lichosyt,12,Gold medal
2007,Krzysztof Cezary Kosiński,Krzysztof Cezary Kosiński,13,Gold medal
2007,Wojciech Dominik Magoń,Wojciech Dominik Magoń,19,Gold medal
2007,Przemysław Krzysztof Trędak,Przemysław Krzysztof Trędak,30,Gold medal
2006,Jędrzej Kaniewski,Jędrzej Kaniewski,10,Gold medal
2006,Piotr Aleksander Guńka,Piotr Aleksander Guńka,21,Gold medal
2006,Michał Józef Tomza,Michał Józef Tomza,54,Silver medal
2006,Krzysztof Władysław Budny-Godlewski,Krzysztof Władysław Budny-Godlewski,110,Bronze medal
