Year,Contestant,Original script,Rank,Award
2024,Yusuf Mohamad Elshahhat,يوسف محمد الشحات,227,Honorable mention
2024,Aritra Ghosh,Aritra Ghosh,229,Honorable mention
2024,Abdulla Habib Keshaish,عبد الله حبيب محمد علي كشيش,,Participant
2024,Hassan Mohamad Al-Kaabi,حسن محمد ناصر آل حسن الكعبي,,Participant
2023,Ibrahim Khan,Ibrahim  Khan,,Participant
2023,Hassan Al-Kaabi,حسن محمد ناصر الكعبي,,Participant
2023,Abdulla Keshaish,عبد الله حبيب محمد كشيش,,Participant
2023,Hamad Al-Hajiri,حمد عبد الله محمد الهاجري,,Participant
2022,Youssef Alaaeldin Mohamed,يوسف علاء الدين محمد,,Participant
2022,Aseel Anass Mohamed,أسيل أنس محمد,,Participant
2022,Hamda Osamah Al-Maadeed,حمدة أسامة المعاضيد,,Participant
2022,Jawaher A.Aziz Al-Zeyara,جواهر عبد العزيز الزيارة,,Participant
2021,Nihit Agarwal,Nihit Agarwal,,Participant
2021,Sushanthi Anandaraja,Sushanthi Anandaraja,,Participant
2021,Sara Fahed Al ali Alahmad,ساره فهد العلي الأحمد,,Participant
2021,Asmahan Abdulaziz Al-Kuwari,أسمهان عبد العزيز الكواري,,Participant
2019,Khalid Mohammed Al-Sada,خالد محمد السادة,,Participant
2019,Al Reem Ibrahim Al-Mannai,الريم ابراهيم المناعي,,Participant
2019,Noora Masaad Alkorbi,نوره مسعد الكربي,,Participant
2019,Sara Mohamed Ali,ساره محمد علي,,Participant
