Year,Contestant,Original script,Rank,Award
2024,Luca Mihai Rascarachi,Rascarachi Luca-Mihai,47,Silver medal
2024,Radu Nicolae Taerel,Taerel Radu Nicolae,70,Silver medal
2024,Andrei Ioan Ciobanu,Ciobanu Andrei-Ioan,99,Silver medal
2024,Matei Gabriel Ursachescu,Ursachescu Matei-Gabriel,113,Bronze medal
2023,Vlad Gabriel Ristache,RISTACHE VLAD GABRIEL,36,Gold medal
2023,Luca Mihai RASCARACHI,RASCARACHI LUCA MIHAI,68,Silver medal
2023,Vlad DIACONESCU,DIACONESCU VLAD,96,Silver medal
2023,Darius Alexandru SINDRESTEAN,Darius Alexandru SINDRESTEAN,199,Bronze medal
2022,Alexandru Catalin Dianu,Dianu Alexandru Catalin,24,Gold medal
2022,Vlad Iova,Iova Vlad,33,Gold medal
2022,Teodor Padureanu,Padureanu Teodor,79,Silver medal
2022,Vlad Gabriel Ristache,Ristache Vlad Gabriel,114,Bronze medal
2021,Mircea Raul Bodrogean,Mircea Raul Bodrogean,6,Gold medal
2021,Tudor Lile,Tudor Lile,21,Gold medal
2021,Alexandru Catalin Dianu,Alexandru Cătălin Dianu,33,Gold medal
2021,Stefan Dimitriu,Ştefan Dimitriu,35,Silver medal
2019,Mircea Raul Bodrogean,Mircea Raul Bodrogean,7,Gold medal
2019,Tudor Lile,Tudor Lile,55,Silver medal
2019,Ana Florescu Ciobotaru,Ana Florescu Ciobotaru,58,Silver medal
2019,Ioana Maria Popa,Ioana Maria Popa,66,Silver medal
2018,Teodora Stan,Teodora Stan,51,Silver medal
2018,Tudor Cristian Cozma,Tudor Cristian Cozma,52,Silver medal
2018,Hakan Calila,Hakan Calila,58,Silver medal
2018,Daniel Cristian Ungureanu,Daniel Cristian Ungureanu,116,Bronze medal
2017,Paul Haidu-Gerea,Paul Haidu-Gerea,25,Gold medal
2017,Alexandra Dima,Alexandra Dima,36,Gold medal
2017,Anamaria Leonescu,Anamaria Leonescu,77,Silver medal
2017,Dorian Gabriel Muntean,Dorian Gabriel Muntean,89,Silver medal
2016,Andrei Iliescu,Andrei Iliescu,1,Gold medal
2016,Robert Cristian Raclea,Robert Cristian Râclea,11,Gold medal
2016,Paul Haidu Gerea,Paul Haidu Gerea,28,Gold medal
2016,Alexandra Dima,Alexandra Dima,76,Silver medal
2015,Andrei Iliescu,Andrei Iliescu,5,Gold medal
2015,Dumitru Calugaru,Dumitru Călugăru,10,Gold medal
2015,Paul Haidu Gerea,Paul Haidu Gerea,74,Silver medal
2015,Vlad Mihai Mandric,Vlad Mihai Mandric,100,Bronze medal
2014,Filip Maria Andreea,Filip Maria Andreea,17,Gold medal
2014,Vlad Mihai Mandric,Mandric Vlad Mihai,39,Silver medal
2014,Calugaru Dumitru,Calugaru Dumitru,48,Silver medal
2014,Ivan Stefan Bogdan,Ivan Stefan Bogdan,76,Silver medal
2013,Maria Andreea Filip,Maria Andreea Filip,56,Silver medal
2013,Dumitru Calugaru,Dumitru Calugaru,69,Silver medal
2013,Adrian Murgoci,Adrian Murgoci,86,Silver medal
2013,Mihai Grigore Pruna,Mihai Grigore Pruna,115,Bronze medal
2012,Vlad Bacauanu,Vlad Bacauanu,34,Gold medal
2012,Maria Andreea Filip,Maria Andreea Filip,52,Silver medal
2012,Alexandru Paraschiv,Alexandru Paraschiv,92,Silver medal
2012,George Silvian Baltac,George Silvian Baltac,112,Bronze medal
2011,Alexandru Sava,Alexandru Sava,61,Silver medal
2011,Tudor Balan,Tudor Balan,70,Silver medal
2011,Vlad Bacauanu,Vlad Bacauanu,81,Silver medal
2011,George Silvian Baltac,George Silvian Baltac,122,Bronze medal
2010,Constantin Giurgiu,Constantin Giurgiu,36,Silver medal
2010,Tudor Balan,Tudor Balan,97,Bronze medal
2010,Alexandru Sava,Alexandru Sava,101,Bronze medal
2010,Ioana Moga,Ioana Moga,112,Bronze medal
2009,Vlad Alexandru Puscasu,Vlad Alexandru Puscasu,4,Gold medal
2009,Constantin Giurgiu,Constantin Giurgiu,49,Silver medal
2009,Vlad Simion Luca,Vlad Simion Luca,91,Bronze medal
2009,Tudor Balan,Tudor Balan,112,Bronze medal
2008,Vlad Alexandru Puscasu,Vlad Alexandru Puscasu,34,Silver medal
2008,Ioana Aron,Ioana Aron,42,Silver medal
2008,Ioana Teodora Tofoleanu,Ioana Teodora Tofoleanu,78,Silver medal
2008,Andrei Ungureanu,Andrei Ungureanu,128,Bronze medal
2007,Ioan Teodor Trotus,Ioan Teodor Trotus,67,Silver medal
2007,Vlad Alexandru Puscasu,Vlad Alexandru Puscasu,72,Silver medal
2007,Ionut Gabriel Dumitru,Ionut Gabriel Dumitru,79,Silver medal
2007,Ingrid Cristiana Vreja,Ingrid Cristiana Vreja,134,Bronze medal
2006,Răzvan Costin Cioc,Răzvan Costin Cioc,60,Silver medal
2006,Ioan Teodor Trotuş,Ioan Teodor Trotuş,100,Bronze medal
2006,Ştefan Andrei,Ştefan Andrei,137,Bronze medal
2006,Maria Alexandra Pătraş,Maria Alexandra Pătraş,147,Bronze medal
2005,Razvan Costin Cioc,Razvan Costin Cioc,27,Silver medal
2005,Alexandra Patricia Tcaciuc,Alexandra Patricia Tcaciuc,101,Bronze medal
2005,Maria Irina Chiriac,Maria Irina Chiriac,104,Bronze medal
2005,Maria Casandra Panea,Maria Casandra Panea,126,Bronze medal
2004,Constantin-N. Takacs,Constantin-N. Takacs,8,Gold medal
2004,Mihai Duduta,Mihai Duduta,71,Silver medal
2004,Nicolae Done,Nicolae Done,88,Bronze medal
2004,Bogdan Nusfelean,Bogdan Nusfelean,95,Bronze medal
2003,Daniel Tofan,Daniel Tofan,12,Gold medal
2003,Ana Cristina Glăvan,Ana Cristina Glăvan,44,Silver medal
2003,Alina Raluca Ene,Alina Raluca Ene,117,Bronze medal
2003,Dragoş Neagu,Dragoş Neagu,119,Bronze medal
2002,Sergiu Sima,Sergiu Sima,44,Silver medal
2002,Ana Cristina Glăvan,Ana Cristina Glăvan,112,Bronze medal
2002,Daniel Nedelcu,Daniel Nedelcu,121,Bronze medal
2002,Radu Ciprian Racoviţă,Radu Ciprian Racoviţă,,Participant
2001,Sabina Alistar,Sabina Alistar,39,Silver medal
