Year,Contestant,Original script,Rank,Award
2024,Hasan Abduljaleel Alkhalifa,حسن عبدالجليل الخليفة,51,Silver medal
2024,Ali Salah Almosa,علي صالح ال موسى,111,Bronze medal
2024,Ahmed Hani Azhari,أحمد هاني أزهري,153,Bronze medal
2024,Haidar Yasser Aldubaisy,حيدر ياسر الدبيسي,163,Bronze medal
2023,Mohammad AlHadlaq,محمد بن سليمان الهدلق,59,Silver medal
2023,Ali AlSaleh,علي بن حبيب الصالح,70,Silver medal
2023,Ali Al Mousa,علي بن صلاح آل موسى,83,Silver medal
2023,Hassan Alkhalifa,حسين بن عبدالجليل الخليفة,89,Silver medal
2022,Mohammad Solaiman AlHadlaq,محمد الهدلق,45,Silver medal
2022,Hussain Shaker AlSaffar,حسين شاكر الصفار,173,Bronze medal
2022,Ali Abdulwahed AlYousef,علي آل يوسف,210,Bronze medal
2022,Abdullah Ameen AlMomtan,عبدالله الممتن,226,Honorable mention
2021,Mohammad Solaiman AlHadlaq,محمد سليمان الهدلق,66,Silver medal
2021,Mohammad Rashed AlHudaithi,محمد راشد الحديثي,81,Silver medal
2021,Abdulaziz Abdulrahman AlJuaid,عبد العزيز عبد الرحمن الجعيد,82,Silver medal
2021,Saeed Sultan Baghdadi,سعيد سلطان بغدادي,135,Bronze medal
2020,Osama Alali,أسامة العلي,87,Bronze medal
2020,Abdulaziz Aljuaid,عبدالعزيز الجعيد,127,Bronze medal
2020,Eyad Alsalhi,إياد الصالحي,130,Bronze medal
2020,Mohammad Alhudaithi,محمد الحديثي,134,Bronze medal
2019,Osama Mohammed Al-Ali,أسامة العلي,89,Silver medal
2019,Rabab Ali Al-Rufayi,رباب الرفيعي,124,Bronze medal
2019,Mohammed Hisham Al-Khurisi,محمد الخريصي,170,Bronze medal
2019,Eyad Abdullah Al-Salhi,إياد الصالحي,219,Honorable mention
2018,Bader Salman Almulhim,بدر سلمان الملحم,88,Silver medal
2018,Abdulrahman Fayad Aledrees,عبدالرحمن فياض آل إدريس,117,Bronze medal
2018,Osama Mohammed Alali,‏أسامة محمد العلي,129,Bronze medal
2018,Ali Mohammed Alasmari,علي محمد الأسمري,131,Bronze medal
2017,Bader Salman Almulhim,بدر سلمان الملحم,56,Silver medal
2017,Meshal Bahammam,مشعل باهمام,99,Silver medal
2017,Abdulrahman Fayad Aledrees,عبدالرحمن فياض آل ادريس,125,Bronze medal
2017,Ali Mohammed Alasmari,علي محمد الأسمري,133,Bronze medal
2016,Omar Alshangiti,عمر الشنقيطي,80,Silver medal
2016,Abdulaziz Mohammed A Al Ali,عبدالعزيز بن محمد العلي,83,Silver medal
2016,Faris Alsalamah,فارس السلامة,115,Bronze medal
2016,Yazid Alamry,يزيد العمري,140,Bronze medal
2015,Omar Fawaz I. Arafat,عمر بن فواز عرفات,135,Bronze medal
2015,Fatmah Mousa Bukhamseen,فاطمة بنت موسى بوخمسين,137,Bronze medal
2015,Saad Fahad S. Al Bawardi,سعد بن فهد البواردي,142,Bronze medal
2015,Abdulaziz Mohammed A Al Ali,عبدالعزيز بن محمد العلي,152,Bronze medal
2014,Hashim Nabeel M. Al Khunaizi,هاشم نبيل الخنيزي,98,Bronze medal
2014,Omar Fawaz I. Arafat,عمر بن فواز عرفات,118,Bronze medal
2014,Saad Fahad S. Al Bawardi,سعد بن فهد البواردي,135,Bronze medal
2014,Abdulaziz Mohammed A Al Ali,عبدالعزيز بن محمد العلي,,Participant
2013,Ahmed Mohammed Alfaifi,أحمد محمد الفيفي,169,Bronze medal
2013,Norah Abdallah Alsabti,نورة عبدالله السبتي,184,Bronze medal
2013,Salman Bandar Alahmadi,سلمان بندر الأحمدي,,Participant
2013,Abdullah Jassim A Al Abdulghani,عبدالله جاسم العبدالغني,,Participant
2012,Nasser Alobaid,ناصر العبيد,,Participant
2012,Salman Bandar Alahmadi,سلمان بندر الأحمدي,,Participant
2012,Ahmed Mohammed Alfaifi,أحمد محمد الفيفي,,Participant
2012,Sahar Alwehaibi,سحر الوهيبي,,Participant
2011,Abdullah Y. Alturki,عبدالله التركي,,Participant
2011,Abdullah J Al Abdulghani,عبدالله جاسم العبدالغني,,Participant
2011,Amer M. Alabd,عامر العبد,,Participant
2011,Samar A Alshareef,سمر الشريف,,Participant
2007,Osamah Altaib Safwan,أسامة الطيب صفوان,,Participant
2007,Mohammed Abdullah Algasim,محمد عبدالله القاسم,,Participant
2007,Ibrahim Abdullah Ba Jaafr,إبراهيم عبدالله باجعفر,,Participant
2007,Ataallah Naif Alharbi,عطاالله نايف الحربي,,Participant
2006,Ahmad Mohammadomar Tashkandi,أحمد محمدعمر طاشكندي,,Participant
2006,Abdullah Mubarak Alotaibi,عبدالله مبارك العتيبي,,Participant
2006,Sultan Awad Alqarni,سلطان عواد القرني,,Participant
