Year,Contestant,Original script,Rank,Award
2024,Mazereeuw Luc Martin Linus,黄泓杰,33,Gold medal
2024,Josher Lo Sze Ee,卢智義,46,Silver medal
2024,Vanisha Agrawal,Vanisha Agrawal,63,Silver medal
2024,Li Lingbo,李凌波,91,Silver medal
2023,Leemen Chan,Leemen  Chan,5,Gold medal
2023,Marcus Jian-Hao Chu,Marcus Jian-Hao  Chu,11,Gold medal
2023,Panshul Sharma,Panshul Sharma,20,Gold medal
2023,I-Shiang Lee,I-Shiang Lee,27,Gold medal
2022,Wee Wen Adrian Ong,Ong Wee Wen Adrian,26,Gold medal
2022,Vincent Yi Fei Yap,Vincent Yap Yi Fei,31,Gold medal
2022,Chern Howe Ryan Lim,Lim Chern Howe Ryan,39,Silver medal
2022,Kar Ern Samuel Lim,Lim Kar Ern Samuel,50,Silver medal
2021,Chen Yizhou,Chen Yizhou,15,Gold medal
2021,Cheng Jun Nicholas Goh,"Goh Cheng Jun, Nicholas",18,Gold medal
2021,Alphonsus Yu Xiang Neo,Alphonsus Neo Yu Xiang,38,Silver medal
2021,Bernard Tze Wei Kwee,"Kwee Tze Wei, Bernard",44,Silver medal
2020,Sean Leong,Sean Leong,14,Gold medal
2020,Charles Jordi Windle,Charles Jordi Windle,23,Gold medal
2020,Jovan Liau,Jovan Liau,25,Gold medal
2020,Teng Wei Ngwan,Teng Wei Ngwan,30,Silver medal
2019,Yongao Hu,Hu Yongao,14,Gold medal
2019,Yong Xiang Ng,Ng Yong Xiang,33,Gold medal
2019,Ke Fun Aw,胡顾矾,63,Silver medal
2019,Yong Yi Tan,Tan Yong Yi,65,Silver medal
2018,Marvin Dragon Choo,Marvin Dragon Choo,5,Gold medal
2018,Khi Yung Fong,Khi Yung Fong,19,Gold medal
2018,Jiapei Miao,Jiapei Miao,39,Silver medal
2018,Hur Lim,Hur Lim,42,Silver medal
2017,Matthias Liau Yi Quan,Matthias Liau Yi Quan,13,Gold medal
2017,Tze King Lam,Tze King Lam,29,Gold medal
2017,Yimian Tang,Yimian Tang,47,Silver medal
2017,Zhiyuan Zhang,Zhiyuan Zhang,48,Silver medal
2016,Zhihan Nan,Zhihan Nan,15,Gold medal
2016,Wong Huai Zhe Matthew,Wong Huai Zhe Matthew,18,Gold medal
