Year,Contestant,Original script,Rank,Award
2024,Claudia Sofía Torres Guillén,Claudia Sofía Torres Guillén,,Participant
2024,Fernando Josué Méndez Palma,Fernando Josué Méndez Palma,,Participant
2024,Emerson Ernesto Sarmiento Juarez,Emerson Ernesto Sarmiento Juárez,,Participant
2023,Luis Ronaldo Chávez Escamilla,Luis Ronaldo Chávez Escamilla,225,Honorable mention
2023,Claudia Sofía Torres Guillén,Claudia Sofía Torres Guillén,,Participant
2023,Luz Giselle Salomón Sandoval,Luz Giselle Salomón Sandoval,,Participant
2023,Fernando Josué Méndez Palma,Fernando Josué Méndez Palma,,Participant
2022,Fredi Manuel Barraza Hernández,Fredi Manuel Barraza Hernández,155,Bronze medal
2022,Emily Alejandra Crespín Guerra,Emily Alejandra Crespín Guerra,216,Honorable mention
2022,Luis Ronaldo Chávez Escamilla,Luis Ronaldo Chávez Escamilla,,Participant
2022,Amilcar Manuel Duarte Arias,Amilcar Manuel Duarte Arias,,Participant
2021,Fredi Manuel Barraza Hernandez,Fredi Manuel Barraza Hernández,175,Bronze medal
2021,Emily Alejandra Crespin Guerra,Emily Alejandra Crespín Guerra,,Participant
2021,Luis Ronaldo Chavez Escamilla,Luis Ronaldo Chávez Escamilla,,Participant
2021,Brenda Nicole Juarez Marroquín,Brenda Nicole Juárez Marroquín,,Participant
2020,Kevin Arturo Urrutia Alvarez,Kevin Arturo Urrutia Alvarez,80,Bronze medal
2020,Gerardo Manuel Ramirez Valladares,Gerardo Manuel Ramirez Valladares,125,Bronze medal
2020,Marcelo Josue Escalante Barrera,Marcelo Josue Escalante Barrera,159,Honorable mention
2020,Alfredo Alessandro Martinez Jimenez,Alfredo Alessandro Martinez Jimenez,,Participant
2019,Daniel Alejandro Rosa Aparicio,Daniel Alejandro Rosa Aparicio,135,Bronze medal
2019,Gerardo Manuel Ramírez Valladares,Gerardo Manuel Ramírez Valladares,143,Bronze medal
2019,Kevin Arturo Urrutia Alvarez,Kevin Arturo Urrutia Alvarez,172,Bronze medal
2019,Marcelo Josué Escalante Barrera,Marcelo Josué Escalante Barrera,,Participant
2018,Kevin Arturo Urrutia Alvarez,Kevin A. Urrutia Alvarez,,Participant
2018,William Eernesto Mendoza Hernández,William E. M. Hernández,,Participant
2018,Daniel Alejandro Rosa Aparicio,Daniel Alejandro R. Aparicio,,Participant
2017,Lucy Elena Bonilla Canales,Lucy Elena Bonilla Canales,179,Bronze medal
2017,William Ernesto Mendoza Hernández,William Ernesto Mendoza Hernández,,Participant
2017,Bryan Manuel Salguero Cardoza,Bryan Manuel Salguero Cardoza,,Participant
2016,Lucy Bonilla Sanders,Lucy Bonilla Canales,,Participant
2016,Joel Chavez Zamora,Joel Chavez Zamora,,Participant
2016,Alma Araujo Martinez,Alma Araujo Martinez,,Participant
2015,Miguel Angel Aguilar Ramos,Miguel Angel Aguilar Ramos,72,Silver medal
2015,Ting-Yi Lin,Ting-Yi Lin,182,Bronze medal
2015,Rodrigo Ernesto Robles Burgos,Rodrigo Ernesto Robles Burgos,,Participant
2014,Edwin Ariel Figueroa Vasquez,Edwin Ariel Figueroa Vasquez,125,Bronze medal
2014,Rodrigo Jose Mundo Dueñas,Rodrigo Jose Mundo Dueñas,157,Bronze medal
2014,Miguel Angel Aguilar Ramos,Miguel Angel Aguilar Ramos,177,Bronze medal
2013,Pamela Del Carmen Canjura Rodríguez,Pamela Del Carmen Canjura Rodríguez,,Participant
2013,Miguel Ángel Aguilar Ramos,Miguel Ángel Aguilar Ramos,,Participant
2013,Edwin Ariel Figueroa Vásquez,Edwin Ariel Figueroa Vásquez,,Participant
2013,Rodrigo José Mundo Dueñas,Rodrigo José Mundo Dueñas,,Participant
