Year,Contestant,Original script,Rank,Award
2024,Martin Pistovčák,Martin Pistovčák,34,Gold medal
2024,Matej Škubla,Matej Škubla,42,Silver medal
2024,Hugo Letavay,Hugo Letavay,110,Bronze medal
2024,Klaudia Sýkorová,Klaudia Sýkorová,159,Bronze medal
2023,Richard Grešák,Grešák,71,Silver medal
2023,Tomáš Iliaš,Tomáš Iliaš,95,Silver medal
2023,Matej Škubla,Matej Škubla,102,Silver medal
2023,Adam Plšek,Adam Benjamin Plšek,151,Bronze medal
2022,Patrik Fábrik,Patrik Fábrik,105,Silver medal
2022,Samuel Kolesár,Samuel Kolesár,106,Silver medal
2022,Adam Kleman,Adam Kleman,162,Bronze medal
2022,Adam Benjamin Plšek,Adam Benjamin Plšek,186,Bronze medal
2021,Matúš Tomčo,Matúš Tomčo,83,Silver medal
2021,Patrik Fábrik,Patrik Fábrik,124,Bronze medal
2021,Ján Plachý,Ján Plachý,178,Bronze medal
2021,Samuel Kolesár,Samuel Kolesár,188,Bronze medal
2020,Martin Brokes,Martin Brokeš,54,Silver medal
2020,Samuel Novak,Samuel Novák,99,Bronze medal
2020,Andrej Kovács,Andrej Kovács,100,Bronze medal
2020,Matus Tomco,Matúš Tomčo,139,Bronze medal
2019,Andrej Kovács,Andrej Kovács,12,Gold medal
2019,Peter Rukovanský,Peter Rukovanský,32,Gold medal
2019,Samuel Novák,Samuel Novák,68,Silver medal
2019,Michal Chovanec,Michal Chovanec,91,Silver medal
2018,Rukovanský Peter,Rukovanský Peter,62,Silver medal
2018,Martin Orságh,Martin Orságh,79,Silver medal
2018,Michal Chovanec,Michal Chovanec,132,Bronze medal
2018,Peter Gonda,Peter Gonda,172,Bronze medal
2017,Martin Orságh,Martin Orságh,115,Bronze medal
2017,Samuel Andrejčák,Samuel Andrejčák,173,Bronze medal
2017,Michal Chovanec,Michal Chovanec,188,Bronze medal
2017,Peter Kavka,Peter Kavka,,Participant
2016,Jakub Obuch,Jakub Obuch,55,Silver medal
2016,Adam Svitok,Adam Svitok,75,Silver medal
2016,Samuel Andrejcak,Samuel Andrejcak,111,Bronze medal
2016,Filip Cermak,Filip Cermak,129,Bronze medal
2015,Jakub Obuch,Jakub Obuch,28,Gold medal
2015,Roman Staňo,Roman Staňo,55,Silver medal
2015,Štefan Stanko,Štefan Stanko,70,Silver medal
2015,Miroslava Palacková,Miroslava Palacková,132,Bronze medal
2014,Štefan Stanko,Štefan Stanko,16,Gold medal
2014,Miroslava Palacková,Miroslava Palacková,85,Silver medal
2014,Roman Staňo,Roman Staňo,96,Bronze medal
2014,Jakub Obuch,Jakub Obuch,181,Bronze medal
2013,Štefanko Dominik,Štefanko Dominik,8,Gold medal
2013,Stanko Štefan,Stanko Štefan,89,Silver medal
2013,Malinčík Juraj,Malinčík Juraj,93,Silver medal
2013,Nociarová Jela,Nociarová Jela,112,Bronze medal
