Year,Contestant,Original script,Rank,Award
2023,Markus Farnebäck,Markus Farnebäck,73,Silver medal
2023,Oskar Brännholm,Oskar Brännholm,213,Bronze medal
2023,Emil Pettersson,Emil Pettersson,,Participant
2023,Alexander Ledin,Alexander Ledin,,Participant
2022,Yangyi Qi,Yangyi Qi,89,Silver medal
2022,Love Sven Allan Sundin,Love Sven Allan Sundin,215,Honorable mention
2022,Markus Erik Johan Farnebäck,Markus Erik Johan Farnebäck,224,Honorable mention
2022,Barabás Tahin,Barabás Tahin,233,Honorable mention
2021,Yangyi Qi,Yangyi Qi,150,Bronze medal
2021,Leopold Kall,Leopold Kall,,Participant
2021,Erik Bryland,Erik Bryland,,Participant
2021,Elsa Bitzén,Elsa Bitzén,,Participant
2019,Björn Axel Rudolf Diemer,Björn Axel Rudolf Diemer,182,Bronze medal
2019,Erik Nils Axel Sundén,Erik Nils Axel Sundén,183,Bronze medal
2019,Anton Richard Wallin,Anton Richard Wallin,193,Bronze medal
2019,Sven Hugo Save,Sven Hugo Save,,Participant
2018,Björn Axel Rudolf Diemer,Björn Axel Rudolf Diemer,178,Bronze medal
2018,Alicia Sara Thorborg van Hees,Alicia S. Thorborg van Hees,,Participant
2018,Ebba Sofia Matic,Ebba Sofia Matic,,Participant
2018,Carl Åke Aron Enliden,Carl Åke Aron Enliden,,Participant
2017,Oscar Blommegård,Oscar Blommegård,,Participant
2017,Freja Söderbergh,Freja Söderbergh,,Participant
2017,Maria Kulesh,Maria Kulesh,,Participant
2017,Markus Nilsson,Markus Nilsson,,Participant
2016,Carl Fredrik Behmer,Carl Fredrik Behmer,,Participant
2016,Johan Gustav Gabriel Tidestav,Gabriel Tidestav,,Participant
2016,Alexander Henric Frej Ekstrand,Alexander Henric Frej Ekstrand,,Participant
2016,Sara Cecilia Rejgård,Sara Cecilia Rejgård,,Participant
2015,Patric Johannes Rajala,Patric Johannes Rajala,169,Bronze medal
2015,Fredrik Jakob Johannes Similä,Fredrik Jakob Johannes Similä,,Participant
2015,Martina Anna Olsson,Martina Anna Olsson,,Participant
2015,Rasmus Nils Gösta Svensson,Rasmus Nils Gösta Svensson,,Participant
2014,Mona Koder Hamid,Mona Koder Hamid,172,Bronze medal
2014,Anna Martina Olsson,Anna Martina Olsson,,Participant
2014,Kristian Shlimon,Kristian Shlimon,,Participant
2014,Timea Vitos,Timea Vitos,,Participant
2013,Samuel Nils Johannes Backman,Samuel Nils Johannes Backman,198,Honorable mention
2013,Adam Samuel Daniel Runesson,Adam Samuel Daniel Runesson,,Participant
2013,Oskar Henriksson,Oskar Henriksson,,Participant
2013,Mona Koder Hamid,Mona Koder Hamid,,Participant
2012,Erik Orvehed-Hiltunen,Erik Orvehed-Hiltunen,99,Bronze medal
2012,Tobias Persson,Tobias Persson,,Participant
2012,Rickard Lindroth,Rickard Lindroth,,Participant
2012,Oskar Henriksson,Oskar David Henriksson,,Participant
2011,Marcus Tobias Olivecrona,Marcus Tobias Olivecrona,92,Silver medal
