Year,Contestant,Original script,Rank,Award
2024,Salama Omran,سلمة عمران,38,Silver medal
2024,Alaa Azan,علاء آذان,102,Silver medal
2024,Fatima Hasan,فاطمه حسن,192,Bronze medal
2024,Amr Barouki,عمرو الباروكي,,Participant
2023,Muhammad Ghazal Hamida,محمد غزال حميدة,86,Silver medal
2023,Salama Omran,سلمة عمران,97,Silver medal
2023,Salman Aldarweish,سلمان درويش,198,Bronze medal
2023,Abdulkader Alhussein,عبد القادر حسين,214,Bronze medal
2022,Ahmed Ghassan Ezzeddin,أحمد عز الدين,112,Bronze medal
2022,Salama Abdulnaser Omran,سلمة عمران,113,Bronze medal
2022,Muhammad Ghazal Anas Hamida,محمد غزال حميدة,124,Bronze medal
2022,Salman Eyad Aldarweish,سلمان درويش,157,Bronze medal
2021,Ahmad Thaer Ater,أحمد ثائر عتر,136,Bronze medal
2021,Ali Maha,مها علي,137,Bronze medal
2021,Anas Abbas,أنس عباس,153,Bronze medal
2021,Ali Marouf,علي معروف,201,Honorable mention
2020,Mohammad Bilal,محمد بلال,120,Bronze medal
2020,Karam Khaddour,كرم خضور,123,Bronze medal
2020,Hasan Abdul Rahman,حسن عبد الرحمن,158,Honorable mention
2020,Ali Alhasan,علي حسن,,Participant
2019,Karam Wafek Khaddour,كرم وفيق خضور,148,Bronze medal
2019,Modar Monzer Alali,مضر منذر العلي,163,Bronze medal
2019,Assma Manar Alrefai,أسمى منار الرفاعي,,Participant
2019,Mohammad Rafeh Bilal,محمد رافع بلال,,Participant
2018,Modar Monzer Al Ali,مضر العلي,,Participant
2018,Bakri Yahia Roumi Jamal,بكري رومي,,Participant
2018,Komai Osama Mhana,كمي مهنا,,Participant
2018,Nizaar Adnan Aloqla,نزار العقلة,,Participant
2017,Tamam Hawa,تمام حوا,142,Bronze medal
2017,Aoss Abbas,أوس عباس,206,Honorable mention
2017,Abdullah Kattineh,عبد الله قطيني,,Participant
2017,Yazan Zedan,يزن زيدان,,Participant
2016,Zain Nofal,زين نوفل,142,Bronze medal
2016,Tammam Mustafa,تمام مصطفى,143,Bronze medal
2016,Abdullah Kattineh,عبد الله قطيني,167,Bronze medal
2016,Tamam Hawa,تمام حوا,176,Honorable mention
2015,Zain Adnan Nofal,زين نوفل,176,Bronze medal
2015,Salim Ibrahim Hanna,سليم حنا,193,Honorable mention
2015,Tammam Mohammad Mustafa,-,,Participant
2015,Roody Khaled Nasro,-,,Participant
2014,Issam Alannouf,عصام الانوف,144,Bronze medal
2014,Mohammad Deeb Mandourah,-,,Participant
2014,Salim Hanna,-,,Participant
2014,Ali Youssef,-,,Participant
2013,Issam Alannouf,عصام الانوف,165,Bronze medal
2013,Yazan Ghannam,يزن غنام,173,Bronze medal
2013,Ali Youssef,علي يوسف,,Participant
2013,Tamim Kalash,تميم كلش,,Participant
2012,Yazan M Ghannam,يزن غنام,,Participant
2012,Issam Alannouf,عصام الأنوف,,Participant
2012,Yahya Alsaati,يحيى الساعاتي,,Participant
2012,Lamia Kouba,لمياء قوبا,,Participant
2011,Mohammad Ali Shubat,-,,Participant
2011,Rami A Alahmar,-,,Participant
2011,F. Mohamad Alfarkh,-,,Participant
2011,Yazan M Ghannam,يزن غنام,,Participant
2010,Mohammad Shubat,محمد شباط,,Participant
2010,Rouaa Al Nan,رؤى النن,,Participant
2010,Ali Issa,علي عيسى,,Participant
2010,Ali Mourtada,علي مرتضى,,Participant
