Year,Contestant,Original script,Rank,Award
2024,Peradol Saechueng,พีรดนย์ แซ๋จึง,44,Silver medal
2024,Kantanate Nateprapis,กานต์ธเนศ เนตรประภิศ,45,Silver medal
2024,Thanchon Boonkrong,แทนชนม์ บุญครอง,65,Silver medal
2024,Peerakorn Trechakachorn,พีรกร ตรีจักรขจร,134,Bronze medal
2023,Jiraroj Chawanasuntornpoj,นายจิรโรจน์ ชวนะสุนทรพจน์,25,Gold medal
2023,Kanissorn Kiratipongvoot,นายคณิศร กิรติพงษ์วุฒิ,67,Silver medal
2023,Peradol Sae-chueng,นายพีรดนย์ แซ่จึง,90,Silver medal
2023,Amasaya Liangbumrung,นางสาวอมาษญา เลี้ยงบำรุง,188,Bronze medal
2022,Kijjakarn Namsawangrungrueng,นายกิจการ นำสว่างรุ่งเรือง,42,Silver medal
2022,Jiraroj Chawanasuntornpoj,นายจิรโรจน์ ชวนะสุนทรพจน์,46,Silver medal
2022,Weerapat Li,นายวีรภัทร ลี้,51,Silver medal
2022,Nathani Therdpraisan,นายณฐานิธิ์ เทอดไพรสันต์,76,Silver medal
2021,Jirapat Rujirayuk,จิรภัทร รุจิรายุกต์,53,Silver medal
2021,Nichawadee Kanjanakosit,ณิชวดี กาญจนโฆษิต,60,Silver medal
2021,Lita Tantipraphat,ลิตา ตันติประภาส,78,Silver medal
2021,Sathira Jantarakulchai,สถิระ จันทรกุลชัย,104,Bronze medal
2020,Wasin Tiarawut,นายวศิน เธียรวุฒิ,57,Silver medal
2020,Chananthorn Arssiri,นางสาวชนันธร อาสน์สิริ,65,Silver medal
2020,Jirapat Rujirayuk,นายจิรภัทร รุจิรายุกต์,67,Silver medal
2020,Abhichaya Tungwongkitsiri,นางสาวอภิชญา ตั้งวงศ์กิจศิริ,70,Silver medal
2019,Pichamon Assawaphadungsit,พิชามญชุ์ อัศวผดุงสิทธิ์,34,Gold medal
2019,Cholapat Varongchayakul,ชลภัทร วรงค์ชยกุล,39,Silver medal
2019,Pakaphol Thadawasin,ภัคพล ธาดาวศิณ,45,Silver medal
2019,Sanprem Taechawichian,สรรค์เปรม เตชะวิเชียร,67,Silver medal
2018,Phuritat Sookananchai,นายภูริทัต สุขอนันต์ชัย,20,Gold medal
2018,Sanprem Taechawichian,นายสรรค์เปรม เตชะวิเชียร,55,Silver medal
2018,Pichamon Assawaphadungsit,น.ส.พิชามญชุ์ อัศวผดุงสิทธิ์,90,Silver medal
2018,Pakaphol Thadawasin,นายภัคพล ธาดาวศิณ,99,Silver medal
2017,Paphaphat Dissaneevate,นายปภาภัทร์ ดิสนีเวทย์,18,Gold medal
2017,Varit Chantranuwathana,นายวริศ จันทรานุวัฒน์,26,Gold medal
2017,Apisara Kaweyanun,นางสาวอภิสรา กวียานันท์,45,Silver medal
2017,Bowornthat Boonrak,นายบวรทัต บุญรักษ์,93,Silver medal
2016,Veerapatr Yotamornsunthorn,นายวีรภัทร   ยศอมรสุนทร,22,Gold medal
2016,Ruangrawee Kitichotkul,นายเรืองรวี   กิติโชตน์กุล,27,Gold medal
2016,Siradanai Rimsakorn,นายสิรดนัย   ริมสาคร,41,Silver medal
2016,Apisara Kaweyanun,และนางสาวอภิสรา   กวียานันท์,69,Silver medal
2015,Veerapatr Yotamornsunthorn,นายวีรภัทร ยศอมรสุนทร,20,Gold medal
2015,Nopsinth Vithayapalert,นายนภสินธุ์ วิทยาภาเลิศ,69,Silver medal
2015,Ruangrawee Kitichotkul,นายเรืองรวี กิติโชตน์กุล,79,Silver medal
2015,Pakkaphol Pruchyathamkorn,นายภัคพล ปรัชญาธรรมกร,95,Silver medal
2014,Bundit Diloknawarit,นายบัณฑิต ดิลกนวฤทธิ์,14,Gold medal
2014,Watchara Ouysinprasert,นายวัชระ อวยสินประเสริฐ,33,Silver medal
2014,Sirajuk Khongviwatsathien,นายสิรจักร คงวิวัฒน์เสถียร,51,Silver medal
2014,Nopsinth Vithayapalert,นายนภสินธุ์ วิทยาภาเลิศ,84,Silver medal
2013,Jiratheep Pruchyathamkorn,นายจิรทีปต์ ปรัชญาธรรมกร,25,Gold medal
2013,Tas Yusoontorn,นายธรรศ อยู่สุนทร,42,Silver medal
2013,Watchara Ouysinprasert,นายวัชระ อวยสินประเสริฐ,62,Silver medal
2013,Sirajuk Khongviwatsathien,นาย สิรจักร คงวิวัฒน์เสถียร,82,Silver medal
2012,Tas Yusoontorn,นายธรรศ อยู่สุนทร,17,Gold medal
2012,Nathapon Chareonsiriwat,นายณัฐพล เจริญศิริวัฒน์,55,Silver medal
2012,Jiratheep Pruchyathamkorn,นายจิรทีปต์ ปรัชญาธรรมกร,128,Bronze medal
2012,Tanawat Attachaipanich,ธนวัฒน์ อรรถชัยพานิช,,Participant
2011,Jiraborrirak Charoenpattarapreeda,จิราบริรักษ์ เจริญภัทรปรีดา,23,Gold medal
2011,Tanawat Attachaipanich,ธนวัฒน์ อรรถชัยพานิช,25,Gold medal
2011,Tas Yusoontorn,นายธรรศ อยู่สุนทร,35,Silver medal
2011,Boonyakiat Thammasate,บุญยเกียรติ ธรรมเศรษฐ์,90,Silver medal
2010,Alif Noikham,อลิฟ น้อยคำ,7,Gold medal
2010,Khetpakorn Chakarawet,เขตภากร ชาครเวท,9,Gold medal
2010,Pinnaree Tea-Mangkornpan,พิณนรี เตี่ยมังกรพันธุ์,16,Gold medal
2010,Jiraborrirak Charoenpattarapreeda,จิราบริรักษ์ เจริญภัทรปรีดา,42,Silver medal
2009,Alif Noikham,อลิฟ น้อยคำ,44,Silver medal
2009,Pinnaree Tea-mangkornpan,พิณนรี เตี่ยมังกรพันธุ์,48,Silver medal
2009,Pacharapon Sinchairojkul,พชรพล สินชัยโรจน์กุล,66,Silver medal
2009,Sasilada Sirirungruang,ศศิลดา ศิริรุ่งเรือง,73,Silver medal
2008,Phakpoom Angpanitcharoen,ภาคภูมิ อังพานิชเจริญ,19,Gold medal
2008,Chalermchai Komaenthammasophon,เฉลิมชัย โกเมนธรรมโสภณ,31,Silver medal
2008,Techin Chuladesa,ชินท์ จุลเทศ,32,Silver medal
2008,Tanatorn Khotavivattana,ธนธรณ์ ขอทวีวัฒนา,35,Silver medal
2007,Bavorn Hongsrichinda,บวร หงษ์ศรีจินดา,17,Gold medal
2007,Tanatorn Khotavivattana,ธนธรณ์ ขอทวีวัฒนา,33,Silver medal
2007,Pornchai Kaewsapsak,พรชัย แก้วทรัพย์ศักดิ์,56,Silver medal
2007,Techin Chuladesa,ชินท์ จุลเทศ,87,Silver medal
2006,Veerasak Srisuknimit,วีระศักดิ์ ศรีสุขนิมิต,7,Gold medal
2006,Thawatchai Chaijarasphong,ธวัชชัย ชัยจรัสพงษ์,30,Silver medal
2006,Jirarat Jirarayapong,จิรารัตน์ จิรารยะพงศ์,49,Silver medal
2006,Pattarawadee Prayuenyong,ภัทรวดี ประยืนยง,94,Bronze medal
2005,Jesada Temaismithi,เจษฎา เตมัยสมิธิ,2,Gold medal
2005,Phoom Chairatana,ภูมิ ชัยรัตน์,51,Silver medal
2005,Supamongkol Mutchamee,ศุภมงคล มัชมี,56,Silver medal
