Year,Contestant,Original script,Rank,Award
2024,Samiev Ismoil,Самиев Исмоил,,Participant
2024,Razakova Shakhzoda,Разакова Шахзода,,Participant
2024,Kamoliyon Mukhammadsolehi,Муҳаммадсолеҳи Камолиён,,Participant
2024,Boizoda Abdullo,Бойзода Абдулло,,Participant
2023,Sarvinoz Raufova,РАУФОВА САРВИНОЗ,236,Honorable mention
2023,Mukhammadsolehi Kamoliyon,КАМОЛИЁН МУҲАММАДСОЛЕҲ,,Participant
2023,Ismoil Samiev,САМИЕВ ИСМОИЛ,,Participant
2023,Aminjon Asoev,АСОЕВ АМИНҶОН,,Participant
2022,Muhammad Barotov,Баротов Муҳаммад Исроилович,195,Bronze medal
2022,Sarvinoz Raufova,Рауфова Сарвиноз Хуршедовна,230,Honorable mention
2022,Amirjon Boymatov,Бойматов Амирҷон Султонҷонович,,Participant
2022,Abdulaziz Bozorzoda,Бозорзода Абдулазиз Азимбой,,Participant
2021,Shahzod Nazirov,Шахзод Назиров,51,Silver medal
2021,Muhammad Barotov,Мухаммад Баротов,56,Silver medal
2021,Nuriddin Valizoda,Вализода Нуриддин,,Participant
2021,Muhammadzhon Otakhonov,Мухаммад Отахонов,,Participant
2020,Shahzod Nazirov,Шахзод Назиров,101,Bronze medal
2020,Ghayrat Samiev,Ғайрат Самиев,129,Bronze medal
2020,Ravshanoy Mukhammadieva,Мухамадиева Равшаной,,Participant
2020,Mukhammadzhon Otakhonov,Мухаммад Отахонов,,Participant
2019,Farrukh Firdavsi,Фирдавси Фаррух,,Participant
2019,Akmal Ismatulloev,Исматуллоев Акмал,,Participant
2019,Ghayrat Samiev,Ғайрат Самиев,,Participant
2019,Ravshanoy Muhamadieva,Мухамадиева Равшаной,,Participant
2018,Inomjon Majidov,Иномжон Мажидов,155,Bronze medal
2018,Ahror Ismoili,Исмоил Ахрор Бахтиёрзода,165,Bronze medal
2018,Muhammadiqboli Musozoda,Муҳаммадиқбол Мусозода,,Participant
2018,Qurbonali Komili,Қурбоналӣ Комилй,,Participant
2017,Inomjon Majidov,Инъомҷон Маҷидов; Иномжон Мажидов,149,Bronze medal
2017,Nasimjon Shamsuddinov,Насимҷон Шамсуддинов,,Participant
2017,Akhror Mamatkulov,Аҳрор Маматқулов,,Participant
2017,Fakhriddin Sokhibnazarov,Фахриддин Соҳибназаров,,Participant
2016,Farukhzhon Barotov,Фаррухҷон Баротов,99,Bronze medal
2016,Azizbek Akhmedov,Азиз Ахмедов,166,Bronze medal
2016,Ramazon Ziyoev,Рамазон Зиёев,,Participant
2016,Inomjon Majidov,Маҷид Иномов,,Participant
2015,Farukhzhon Barotov,Фаррухжон Баротов,149,Bronze medal
2015,Firuz Sanginov,Фируз Сангинов,,Participant
2015,Aziz Akhmedov,Азиз Ахмедов,,Participant
2015,Alisher Fatkhulloev,Фатҳуллоев Алишер,,Participant
2014,Firuz Sanginov,Фируз Сангинов,,Participant
2014,Farukhzhon Barotov,Фарухжон Баротов,,Participant
2014,Alisher Murodov,Алишер Муродов,,Participant
2014,Rukhillo Kodirov,Рухиппо Кодиров,,Participant
2013,Samaki Valizoda,Самаки Вализода,123,Bronze medal
2013,Behruz Nosirov,Беҳрӯз Носиров,149,Bronze medal
2013,Somon Hakimov,Сомон Хакимов,187,Bronze medal
2013,Alisher Murodov,Алишер Муродов,,Participant
2012,Ulugbek Barotov,Улугбек Баротов,12,Gold medal
2012,Marufdzhon Boltaboev,Маъруфджлн Болтабоев,152,Bronze medal
2012,Khomidkhodzha Kholikov,Хамидходжа Ҳоликов,155,Bronze medal
2012,Bekhruz Nosirov,Бехруз Носиров,,Participant
2011,Ulugbek Barotov,Улугбек Баротов,79,Silver medal
2011,Shakhboz Zulfaliev,Шахбоз Зулфалиев,135,Bronze medal
2011,Khomidkhodzha Kholikov,Хамидходжа Холиков,,Participant
2011,Rustam Kamilov,Рустам Камилов,,Participant
2010,Saidali Kholzoda,Холзода Саидали,177,Honorable mention
2010,Ulugbek Barotov,Баротов Улугбек,178,Honorable mention
2010,Alisher Rakhimov,Рахимов Алишер,,Participant
2010,Shakhboz Zulfaliev,Зулфалиев Шахбоз,,Participant
2007,Khursand Yorov,Ёров Хурсанд,133,Bronze medal
2007,Umed Boltaev,Болтаев Умед,167,Honorable mention
2007,Sulaymonzoda Saidullo,Сулаймонзода Саидулло,,Participant
2007,Khusrav Olimi,Олимй Хусрав,,Participant
2006,Khursand Yorov,Ёров Хурсанд,123,Bronze medal
2006,Farrukh Vohidov,Вохидов Фаррух,130,Bronze medal
2006,Umed Boltaev,Болтаев Умед,134,Bronze medal
2006,Sulaimonzoda Saidullo,Сулаймонзода Саидулло,207,Honorable mention
2005,Farrukh Vohidov,Вохидов Фаррух,145,Bronze medal
2005,Ulmas Jumaev,Юмаев Улмас,185,Honorable mention
2004,Dilmurod Palvanov,Дилмурод Палванов,,Participant
2004,Saiora Kodirova,Кодирова Саёра,,Participant
