Year,Contestant,Original script,Rank,Award
2024,Macit Arda Aydin,Macit Arda AYDIN,87,Silver medal
2024,Kadir Kaan Erbaş,Kadir Kaan Erbaş,95,Silver medal
2024,Kemal Ozkirsehirli,Kemal Özkırşehirli,105,Bronze medal
2024,Mehmet Can Sankir,Mehmet Can Sankir,161,Bronze medal
2023,Berkan Tarak,Berkan TARAK,4,Gold medal
2023,Dilara Altundag,Dilara ALTUNDAĞ,64,Silver medal
2023,Azra Şekercioğlu,Azra Şekercioğlu,78,Silver medal
2023,Mustafa Keskes,Mustafa Keskes,80,Silver medal
2022,Berkan Tarak,Berkan Tarak,12,Gold medal
2022,Dilara Altundağ,Dilara Altundağ,72,Silver medal
2022,Fatma İlay Tosun,Fatma İlay Tosun,77,Silver medal
2022,Barbaros Bolat,Barbaros Bolat,80,Silver medal
2021,Berkan Tarak,Berkan Tarak,14,Gold medal
2021,Deniz Guner,Deniz Güner,24,Gold medal
2021,Sebnem Gul,Şebnem Gül,36,Silver medal
2021,Goktug Gulsoy,Göktuğ Gülsoy,50,Silver medal
2020,Sebnem Gül,Sebnem Gül,7,Gold medal
2020,Deniz Güner,Deniz Güner,18,Gold medal
2020,Ayça Melis Keskin,Ayça Melis Keskin,44,Silver medal
2020,Ayşe İrem Durmuş,Ayşe İrem Durmuş,56,Silver medal
2019,Yusa Can Dinc,Yuşa Can Dinç,81,Silver medal
2019,Ferdane Cetin,Ferdane Çetin,82,Silver medal
2019,Deniz Guner,Deniz Güner,109,Bronze medal
2019,Sebnem Gul,Şebnem Gül,,Participant
2018,Ceylan Ceylan,Ceylan Ceylan,21,Gold medal
2018,Batuhan Apa,Batuhan Apa,104,Bronze medal
2018,Yusa Can Dinc,Yusa Can Dinc,111,Bronze medal
2018,Emre Kilic,Emre Kilic,144,Bronze medal
2017,Ceylan Ceylan,Ceylan Ceylan,33,Gold medal
2017,Batuhan Apa,Batuhan Apa,114,Bronze medal
2017,Sinem Seleme Övünç,Sinem Seleme Övünç,132,Bronze medal
2017,Ömer Faruk Biçer,Ömer Faruk Biçer,148,Bronze medal
2015,Baturalp Yalcın,Baturalp Yalcın,32,Gold medal
2015,İlker Deveci,İlker Deveci,51,Silver medal
2015,Furkan Bahar,Furkhan Bahar,60,Silver medal
2015,Muhammet Caylı,Muhammet Caylı,96,Silver medal
2014,Furkan Bahar,Furkan Bahar,12,Gold medal
2014,Baturalp Yalçın,Baturalp Yalçın,46,Silver medal
2014,Furkan Tozkoparan,Furkan Tozkoparan,49,Silver medal
2014,Yusuf Mert Demirlenk,Yusuf Mert Demirlenk,72,Silver medal
2013,Mustafa Başaran,Mustafa Başaran,48,Silver medal
2013,Kerem Muslu,Kerem Muslu,109,Bronze medal
2013,Nesibe Akmanşen,Nesibe Akmanşen,135,Bronze medal
2013,Furkan Tozkoparan,Furkan Tozkoparan,141,Bronze medal
2012,Furkan Cetin,Furkan Mustafa Çetin,31,Gold medal
2012,Selman Tekerlek,Selman Emre Tekerlek,68,Silver medal
2012,Zeynep Terzi,Zeynep Terzi,166,Bronze medal
2012,Emre Erten,Emre Erten,,Participant
2011,Makbule Esen,Makuble Esen,12,Gold medal
2011,Furkan Cetin,Furkan Cetin,43,Silver medal
2011,Emre Erten,Emre Erten,47,Silver medal
2011,Pinar Selina Dogan,Pinar Selina Dogan,106,Bronze medal
2010,Deniz Caglin,Deniz Caglin,33,Silver medal
2010,Mehmet Cem Sahiner,Mehmet Cem Sahiner,40,Silver medal
2010,Fatih Alcicek,Fatih Alcicek,60,Silver medal
2010,Makbule Esen,Makbule Esen,136,Bronze medal
2009,Abdurrahman Turksoy,Abdurrahman Turksoy,40,Silver medal
2009,Huseyin Erguven,Huseyin Erguven,68,Silver medal
2009,Melih Baci,Melih Baci,89,Bronze medal
2009,Bariscan Cimen,Bariscan Cimen,,Participant
2008,Huseyin Erguven,Huseyin Erguven,44,Silver medal
2008,Mahmut Tekin,Mahmut Tekin,72,Silver medal
2008,Muammer Yusuf Yaman,Muammer Yusuf Yaman,94,Bronze medal
2008,Mehmet Vural,Mehmet Vural,118,Bronze medal
2007,Hande Boyaci,Hande Boyaci,21,Gold medal
2007,Ahmet Selim Han,Ahmet Selim Han,99,Bronze medal
2007,Dogukan Dikmen,Dogukan Dikmen,146,Bronze medal
2007,Mehmet Vural,Mehmet Vural,,Participant
2006,Hande Boyaci,Hande Boyaci,9,Gold medal
2006,Ahmet Selim Han,Ahmet Selim Han,99,Bronze medal
