Year,Contestant,Original script,Rank,Award
2024,Nouf Ahmed Mohamed Ahmed Alhammadi,Nouf Ahmed Mohamed Ahmed Alhammadi,,Participant
2024,Fatima Addel Omar Abdulla Alameri,Fatima Addel Omar Abdulla Alameri,,Participant
2024,Ahlam Mohamed Khamis Salim Almazrouei,Ahlam Mohamed Khamis Salim Almazrouei,,Participant
2024,Amany Khaleifa Saeed Mohamed Alsereidi,Amany Khaleifa Saeed Mohamed Alsereidi,,Participant
2023,Ardhra Bijulal,Ardhra Bijulal,,Participant
2023,Nouf Ahmed Mohamed Ahmed Alhammadi,Nouf Ahmed Mohamed  Ahmed Alhammadi,,Participant
2023,Shyaamal Dwivedi,Shyaamal Dwivedi,,Participant
2023,Bashayer Ahmed Obaid Mohamed Alyammahi,Bashayer Ahmed  Obaid Mohamed Alyammahi,,Participant
2022,Bashayer Ahmed Obaid Mohamed Alyammahi,بشاير أحمد عبيد اليماحي,126,Bronze medal
2022,Dhanvi Nautiyal,دنوي نوتيال,139,Bronze medal
2022,Shyaamal Dwivedi,شامل دفيدي,152,Bronze medal
2022,Yasmin Mahmood Abdulla Mohammad Ali,ياسمين محمود عبدالله محمد علي,182,Bronze medal
2021,Vaidik Rajesh Hurkat,فايديك راجيش حوركات,216,Honorable mention
2021,Devavrat Verma,ضىوارات  وارما,,Participant
2021,Yasmin Mahmood Abdulla Mohammad Ali,ياسمين محمود عبدالله محمد علي,,Participant
2021,Ahmed Abdulaziz Alsabbagh,احمد عبد العزيز الصباغ,,Participant
2019,Al Jazia Hasan Ali Bin Oqail Bin Madi,Al Jazia Hasan Ali Bin Oqail Bin Madi,,Participant
2019,Dana Ibrahim Ahmad Khamis Almansoori,Dana Ibrahim Ahmad Khamis Almansoori,,Participant
2019,Abdulla Ibrahim Mohammad Ali Alshammar,Abdulla Ibrahim Mohammad Ali Alshammar,,Participant
2019,Asma Khalid Juma Belrafiah Alfalasi,Asma Khalid Juma Belrafiah Alfalasi,,Participant
