Year,Contestant,Original script,Rank,Award
2024,Bohdan Fochuk,Богдан Фочук,40,Silver medal
2024,Bohdan Fastnakht,Богдан Фастнахт,53,Silver medal
2024,Markiian Slotskyi,Маркіян Слоцький,55,Silver medal
2024,Bohdan Shemetov,Богдан Шеметов,96,Silver medal
2023,Oleh Komarnytskyi,Олег Комарницький,115,Bronze medal
2023,Oleksandr Sokolov,Соколов Олександр,128,Bronze medal
2023,Vladyslav Omelianchuk,Владислав Омелянчук,143,Bronze medal
2023,Elina Kamalova,Еліна Камалова,160,Bronze medal
2022,Nikita Nechayev-Slipchenko,Нікіта Євгенович Нечаєв-Сліпченко,67,Silver medal
2022,Daria Klymenko,Дар'я Сергіївна Клименко,69,Silver medal
2022,Yaroslav Sekun,Ярослав Олегович Секун,70,Silver medal
2022,Oleh Komarnytskyi,Олег Степанович Комарницький,208,Bronze medal
2021,Oleksandr Zaporozhets,Олександр Запорожець,49,Silver medal
2021,Ihor Kholomieiev,Ігорь Холомєєв,100,Silver medal
2021,Yurii Okis,Юрій Окіс,143,Bronze medal
2021,Daria Klymenko,Дар'я Клименко,198,Honorable mention
2019,Oleksandr Volodymyrovych Kudryk,Олександр Кудрик,22,Gold medal
2019,Lidiia Dubenska,Дубенська Лідія,77,Silver medal
2019,Hordii Andrusiv,Андрусів Гордій,87,Silver medal
2019,Anatolii Kuznietsov,Кузнєцов Анатолій,119,Bronze medal
2018,Kyrylo Danyleiko,Кирило Данилейко,16,Gold medal
2018,Artem Yanchak,Артем Янчак,61,Silver medal
2018,Olha Vashchenko,Ольга Ващенко,86,Silver medal
2018,Dmytro Tsarenko,Дмитро Царенко,89,Silver medal
2017,Mykola Avramenko,Микола Миколайович Авраменко,67,Silver medal
2017,Yuliia Fil,Юлія Віталіївна Філь,69,Silver medal
2017,Taras Sekh,Тарас Володимирович Сех,87,Silver medal
2017,Oleksandr Kolomiiets,Олександр Віталійович Коломієць,143,Bronze medal
2016,Anton Hanopolskyi,Антон Ганапольский,49,Silver medal
2016,Denys Bondarenko,Денис Бондаренко,61,Silver medal
2016,Hlib Razumkov,Хліб Разумков,92,Bronze medal
2016,Bohdan Kozibroda,Богдан Козіброда,109,Bronze medal
2015,Mykhaylo Pashko,Михайло Пашко,42,Silver medal
2015,Mykola Pashko,Микола Пашко,57,Silver medal
2015,Andrii Malashchuk,Андрій Малащук,63,Silver medal
2015,Oleksii Zhelavskyi,Олексій Желавський,86,Silver medal
2014,Roman Didenko,Роман Діденко,2,Gold medal
2014,Khokhlov Khrystofor,Христофор Хохлов,5,Gold medal
2014,Oleh Hordiychuk,Олег Гордійчук,45,Silver medal
