Year,Contestant,Original script,Rank,Award
2024,Kiran Desai-Kinvig,Kiran Desai-Kinvig,49,Silver medal
2024,Daniel Sexton,Daniel Edward Francis Sexton,58,Silver medal
2024,Patrick Fung,Pak Chuen Fung,69,Silver medal
2024,Kotchapun Saritsiri,Kotchapun Saritsiri,79,Silver medal
2023,Kiran Diamond,Kiran Diamond,13,Gold medal
2023,Pak Chuen Fung,Pak Chuen Fung,43,Silver medal
2023,Kiran Desai-Kinvig,Kiran Desai-Kinvig,74,Silver medal
2023,Kotchapun Saritsiri,Kotchapun Saritsiri,85,Silver medal
2022,Sathira Jantarakulchai,Sathira Jantarakulchai,40,Silver medal
2022,Ben Gilpin,Ben Gilpin,53,Silver medal
2022,Supatpong Juntarawatt,Supatpong Juntarawatt,91,Silver medal
2022,Leo Reddy,Leo Reddy,100,Silver medal
2021,Alexander Ramsay Thow,Alexander Ramsey Thow,16,Gold medal
2021,Harry John List,Harry List,29,Gold medal
2021,Zachary John McGuire,Zachary McGuire,75,Silver medal
2020,Agustin Alejandro Lorusso Notaro Francesco,Agustin Alejandro Lorusso Notaro Francesco,13,Gold medal
2020,Worawit Tangamornchaipattana,Worawit Tangamornchaipattana,39,Silver medal
2020,Alexander Ramsey Thow,Alexander Ramsey Thow,45,Silver medal
2020,Rtvik Patel,Rtvik Patel,58,Silver medal
2019,Richard Danylyuk,Richard Danylyuk,37,Gold medal
2019,Alexander James Newton Byrne,Alexander James Newton Bryne,41,Silver medal
2019,Jonathan Benjamin Rowlands,Jonathan Benjamin Rowlands,78,Silver medal
2019,Phol Wehaprasirtsak,Phol Wehaprasirtsak,112,Bronze medal
2018,Jonathan David Bostock,Jonathan David Bostock,14,Gold medal
2018,Alexandra Andrea Geim,Alexandra Andrea Geim,30,Gold medal
2018,Joonsuk Ryan Dan Kang,Joonsuk Ryan Dan Kang,35,Gold medal
2018,John Andrew Hayton,John Andrew Hayton,66,Silver medal
2017,Minghao Zhang,Minghao Zhang,52,Silver medal
2017,Anthony Lim,Anthony Lim,70,Silver medal
2017,Sahil Baid,Sahil Baid,82,Silver medal
2017,Joonsuk Kang,Joonsuk Kang,107,Bronze medal
2016,Jimin Li,Jimin Li,87,Silver medal
2016,Katarzyna Zator,Katarzyna Zator,106,Bronze medal
2016,Muhammed Khan,Muhammed Ubaid Khan,128,Bronze medal
