Year,Contestant,Original script,Rank,Award
2024,Rahimov Daler,Rahimov Daler,9,Gold medal
2024,Bahodirov Ahrorbek,Bahodirov Ahrorbek,52,Silver medal
2024,Abdullaeva Saida,Saida,75,Silver medal
2024,Mukhammadov Mirjakhon,Mirjakhon,104,Bronze medal
2023,Azizbek Nazarov,Nazarov Azizbek Farrukh ugli,22,Gold medal
2023,Abdullokh Makhmudov,Makhmudov Abdullokh Alisher ugli,37,Gold medal
2023,Shahzoda Hakimova,Hakimova Shahzoda Bahriddin kizi,40,Silver medal
2023,Sohibjob Dilmurodov,Dilmurodov Sohibjob Farhodjon ugli,129,Bronze medal
2022,Maftuna Lutfullo qizi Badalova,Badalova Maftuna Lutfullo qizi,44,Silver medal
2022,Azimjon Ravshan o'g'li Jamolov,Jamolov Azimjon Ravshan o'g'li,56,Silver medal
2022,Ikromiddin Axmadjon o'g'li Boymahammadov,Boymahammadov Ikromiddin Axmadjon o'g'li,61,Silver medal
2022,Sherzod Shaxobiddin o'g'li Shaymatov,Shaymatov Sherzod Shaxobiddin o'g'li,71,Silver medal
2021,Sobirjon Amanov,Sobirjon  Amanov,5,Gold medal
2021,Durdona Muxtarxujayeva,Durdona  Muxtarxujayeva,110,Bronze medal
2021,Firdavs Sobirov,Firdavs  Sobirov,119,Bronze medal
2021,Ikromiddin Boymahammadov,Ikromiddin  Boymahammadov,156,Bronze medal
2020,Mirakbarov Xodjiakbar O G Li Mirumid,Mirakbarov Xodjiakbar O G Li Mirumid,31,Silver medal
2020,Dilshodakhon Kamolkhon Kizi Isaeva,Dilshodakhon Kamolkhon Kizi Isaeva,52,Silver medal
2020,Firdavs Sobirov,Firdavs Sobirov,141,Bronze medal
2020,Akobir Azamat Ogli Narzullaev,Akobir Azamat Ogli Narzullaev,150,Honorable mention
2019,Islomjon Karimov Ganijon Ogli,Islomjon Karimov O'g'li,60,Silver medal
2019,Mokhira Boltaeva Matyoqub Qizi,Boltaeva Mohira Matyoqub qizi,92,Silver medal
2019,Khaitov Diyor Kushakovich,Xaitov Diyor Kushakovich,118,Bronze medal
2019,Ulugbek Boyirbekov Zayniddin Ogli,Boyirbekov Ulugbek Zayniddin ogli,137,Bronze medal
2018,Jaloliddin Shavkat ogli Alavitdinov,Jaloliddin Alavitdinov; Жалолиддин Алавитдинов,143,Bronze medal
2018,Dildora Ilxomjon qizi Khakimboeva,"Dildora Xakimboeva, Дилдора Хакимбоева",154,Bronze medal
2018,Akbar Gafur ogli Bazarbaev,Akbar Bazarbaev; Акбар Базарбаев,,Participant
2018,Saida Ulugbek qizi Ortikboeva,Saida Ortikboeva; Саида Ортикбоева,,Participant
2017,Aziz Tursunmuratovich,Азиз Турсунмуратович,106,Bronze medal
2017,Mukhsumov Xursand ogli,Махсудов Хурсанд ўғли,130,Bronze medal
2017,Abdukhakimov Nodirbek ogli,Абдухакимов Нодирбек ўғли,157,Bronze medal
2017,Salomov Bositxon ogli,Саломов Боситхон огли,,Participant
2016,Sarvar Shoyunusov,Сарвар Шоюнусов,51,Silver medal
2016,Charos Omonova,Чарос Омонова,104,Bronze medal
2016,Jakhongir Fakhriev,Жахонгир Фахриев,124,Bronze medal
2016,Aziz Khakimov,Азиз Хакимов,,Participant
2015,Boburbek Matyoqub ogli Boltaev,Бобурбек Матёкуб оглы Болтаев,124,Bronze medal
2015,Dilnora Baxodir qizi Yusupalieva,Дилнора Баходир кизи Юсупалиева,126,Bronze medal
2015,Jakhongir Alisherovich Fakhriev,Жахонгир Алишерович Фахриев,,Participant
2015,Amrullo Aminjon о`g`li Ziyoyev,Амрулло Аминжон оглы Зиёев,,Participant
2014,Bekhzodbek Matyoqub Ogli Boltaev,Болтаев Бехзодбек Матёкуб Огли,22,Gold medal
2014,Javlonbek Xusniddin Ogli Mukhsumov,Мухсимов Жавлонбек Хусниддин Огли,78,Silver medal
2014,Boltaev Boburbek,Болтаев Бобурбек,152,Bronze medal
2014,Isaeva Ezozakhon,Исаева Эъзозахон,163,Bronze medal
2013,Bekhzodbek Boltaev,Бекзодбек Болтаев,32,Gold medal
2013,Dilshoda Doniyor qizi Artikbaeva,Дилшода Артикбаева,163,Bronze medal
2013,Biloliddin Baxtiyor ugli Sharobidinov,Билолиддин Шаробидинов,178,Bronze medal
2013,Bobur Alisher Ugli Kenjaev,Бобур Алишер угли Кенжаев,,Participant
