Year,Contestant,Original script,Rank,Award
1987,Srdjan Stepanovic,Srdjan Stepanović; Срђан Степановић,,Participant
1987,Maja Ivkovic,Maja Ivković; Маја Ивковић,,Participant
1987,Mateja Sajna,Mateja Sajna,,Participant
1987,Jasna Prezelj,Jasna Prezelj; Јасна Презељ,,Participant
1986,Patrik Kolar,Patrik Kolar; Патрик Колар,,Participant
1986,Baj Vidmar,Baj Vidmar,,Participant
1985,Toni Biasizzo,Toni Biasizzo,53,Bronze medal
1985,Patrik Kolar,Patrik Kolar; Патрик Колар,57,Bronze medal
1985,Janez Bernik,Janez Bernik; Јанез Берник,58,Bronze medal
1985,Miro Marincek,Miro Marincek; Миро Маринчек,,Participant
1984,Bostian Zepic,Bostian Zepić; Бостиан Зепић,,Participant
1984,Janez Bernik,Janez Bernik; Јанез Берник,,Participant
1977,Zoran Todorovic,Zoran Todorović; Зоран Тодоровић,35,Bronze medal
1977,Zorana Lazarevic,Zorana Lazarević; Зорана Лазаревића,43,Honorable mention
1977,Gradimir Mitic,Gradimir Mitić; Градимир Митић,45,Honorable mention
1976,Branislav Musicki,Branislav Musicki; Бранислав Мушицки,24,3rd Prize
1976,Dusan Sladic,Dusan Sladić; Душан Сладић,33,Honorable mention
1976,Lazar Ranin,Lazar Ranin; Лазар Ранин,38,Honorable mention
1976,Branko Kolundzija,Branko Kolundžija; Бранко Колунџија,,Participant
1975,Dusan Sladic,Dusan Sladić; Душан Сладић,30,Honorable mention
1975,Branko Kolundjija,Branko Kolundžija; Бранко Колунџија,,Participant
1975,Lazar Ranin,Lazar Ranin; Лазар Ранин,,Participant
1975,Goronka Bilajbegović,Goronka Bilajbegović; Горонка Билајбеговић,,Participant
1974,Branislava Veljković,Branislava Veljković; Бранислава Вељковић,,Participant
1974,Miodrag Lazić,Miodrag Lazić; Миодраг Лазић,,Participant
1974,Dragan Marincić,Dragan Marincić; Драган Маринчић,,Participant
1974,Ljubodrag Atanasković,Ljubodrag Atanasković; Љубодраг Атанасковић,,Participant
