Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2024,Chams Eddine Abd El Ali,Derreche,7,7,0,7,7,1,29,47,Gold medal
2015,Yassine,Hamdi,7,3,1,7,1,0,19,118,Silver medal
1988,Abdelmalek,Abdesselam,7,7,0,7,2,0,23,60,Silver medal
2023,Chams Eddine Abd El Ali,Derreche,7,7,1,7,2,0,24,145,Bronze medal
2019,Abdeldjalil,Hezouat,7,7,0,7,2,0,23,147,Bronze medal
2017,Ilyes,Hamdi,7,3,0,7,0,0,17,188,Bronze medal
1986,Nour,Maddahi,7,7,1,2,3,0,20,80,Bronze medal
1986,Mourad,Benakli,1,6,1,5,6,0,19,87,Bronze medal
2023,Youcef,Kenane,7,7,1,1,2,2,20,259,Bronze medal
2015,Fayssal,Saadi,5,1,0,7,1,0,14,257,Bronze medal
2022,Mohamed Wacyl,Meddour,7,7,0,7,2,0,23,269,Bronze medal
2017,Younes El Maamoun,Benyahia,7,1,0,7,0,0,15,292,Honourable mention
2023,Mohamed Wacyl,Meddour,4,4,0,7,2,0,17,315,Honourable mention
2017,Abderrahim,Hadj Brahim,7,0,0,7,0,0,14,342,Honourable mention
2015,Ilyes,Hamdi,0,1,1,7,1,0,10,337,Honourable mention
2023,Abdennacir,Boufedjighen,7,1,0,7,0,0,15,366,Honourable mention
2024,Ahmed Adnane,Meddah,6,1,0,7,0,0,14,366,Honourable mention
2024,Abdelilah,Hammadi,7,0,0,7,0,0,14,366,Honourable mention
2016,Abdou Oussama,Benabida,5,0,0,7,0,0,12,368,Honourable mention
2023,Ahmed Adnane,Meddah,4,1,0,7,2,0,14,385,Honourable mention
1988,Talbi,Malik,7,0,1,0,1,0,9,174,Honourable mention
2022,Choubaila,Guerfi,7,1,0,7,0,0,15,394,Honourable mention
2015,Souheib Abdeldjalil,Allout,0,0,0,7,1,0,8,394,Honourable mention
2024,Mohamed Ikbal,Tebib,3,1,0,7,0,0,11,425,Honourable mention
1991,Nazim,Mahrour,0,0,0,7,2,0,9,226,Honourable mention
2016,Younes El Maamoun,Benyahia,7,1,0,0,0,0,8,429,Honourable mention
2022,Youcef,Kenane,2,3,0,7,2,0,14,420,Honourable mention
2023,Yacine,Dallil,7,1,0,2,0,0,10,441,Honourable mention
2019,Raihane,Sidhoum,7,1,0,0,0,0,8,444,Honourable mention
2019,Abdellatif Anas,Chentouf,7,0,0,1,0,0,8,444,Honourable mention
