Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2017,Ian,Fleschler,7,7,0,7,7,0,28,14,Gold medal
1998,Martín,Mereb,7,7,7,7,7,0,35,15,Gold medal
2004,Yue,Yang,7,5,1,7,7,7,34,28,Gold medal
2003,Carlos,di Fiore,7,7,0,7,1,7,29,29,Gold medal
2011,Ariel,Zylber,7,7,1,7,5,1,28,39,Gold medal
2020,Bruno Martín,Ziger,7,7,3,7,7,0,31,43,Gold medal
2022,Julián,Cabrera,7,7,2,7,7,3,33,45,Silver medal
2018,Julián,Masliah,7,7,0,7,7,2,30,49,Silver medal
2009,Germán,Stefanich,7,7,7,3,7,0,31,50,Silver medal
1994,Martín,Avendaño,7,7,7,2,7,7,37,37,Silver medal
1996,Daniel,Perrucci,4,7,3,5,0,7,26,46,Silver medal
1994,Leandro,Saita,2,7,6,7,7,7,36,44,Silver medal
2001,Iván,Angiono,7,7,1,4,2,5,26,54,Silver medal
2010,Miguel,Maurizio,7,7,0,7,3,0,24,60,Silver medal
1994,Luis,Silvestre,7,7,7,7,7,0,35,49,Silver medal
2024,Felipe Bautista,Klir,7,7,0,7,5,0,26,82,Silver medal
2006,Ignacio Agustín,Rossi,7,7,0,7,1,0,22,76,Silver medal
2006,Julián Martín,Eisenschlos,7,4,1,7,3,0,22,76,Silver medal
2001,Leandro,Groisman,7,0,7,7,2,0,23,73,Silver medal
2007,Roberto Aníbal,Morales,2,7,0,7,7,0,23,83,Silver medal
2017,Julián,Masliah,7,6,0,7,0,0,20,103,Silver medal
2017,Mateo,Carranza Vélez,7,4,0,7,2,0,20,103,Silver medal
2021,Bruno Martín,Ziger,7,0,0,7,7,0,21,105,Silver medal
2021,Julián Máximo,Cabrera,7,0,0,7,7,0,21,105,Silver medal
2008,Germán,Stefanich,7,5,0,6,7,0,25,92,Silver medal
1995,Matilde,Lalin,6,7,3,7,7,0,30,82,Silver medal
1993,Luis,Silvestre,7,2,0,7,5,0,21,83,Silver medal
2003,Yue,Yang,7,5,0,7,1,0,20,93,Silver medal
2001,Carlos,di Fiore,7,1,1,5,7,0,21,97,Silver medal
2023,Felipe,Klir,7,7,5,7,0,0,26,128,Silver medal
2000,Leandro,Groisman,7,1,7,5,1,0,21,100,Silver medal
1995,Martín,Avendaño,7,0,7,7,7,1,29,90,Silver medal
2005,Germán,Gieczewski,7,7,0,7,0,2,23,114,Silver medal
1992,German Maximiliano,Müller,7,7,0,7,1,2,24,73,Silver medal
2002,Leandro,Groisman,7,5,1,7,2,0,22,113,Bronze medal
2000,Pablo,Celayes,7,7,0,0,1,5,20,111,Bronze medal
2018,Emiliano,Liwski,7,3,0,7,7,0,24,147,Bronze medal
2022,Nicolás,Ricci,7,7,1,7,6,0,28,146,Bronze medal
2018,Carlos,Soto,7,2,0,7,7,0,23,157,Bronze medal
1998,Juan Ignacio,Fuxman,7,0,2,6,7,0,22,112,Bronze medal
2019,Julián Máximo,Cabrera,7,7,0,6,2,0,22,168,Bronze medal
2019,Bruno Martín,Ziger,7,2,0,6,7,0,22,168,Bronze medal
2002,Lucas,Rearte,7,6,0,7,1,0,21,133,Bronze medal
1997,Martín,Mereb,1,7,0,7,7,0,22,131,Bronze medal
1999,Martín,Mereb,6,0,2,7,0,1,16,129,Bronze medal
2013,Alejo,Salvatore,7,3,0,7,5,0,22,151,Bronze medal
2010,Sebastián,Prillo,6,7,0,7,0,0,20,151,Bronze medal
2020,Matías Ezequiel,Raimundez,7,0,0,7,7,1,22,181,Bronze medal
2008,Nicolás,Rodríguez Castro,7,4,0,7,2,0,20,159,Bronze medal
1991,Hstau Young,Liao,7,7,0,5,7,0,26,96,Bronze medal
2017,Nicolás,Cassia,7,3,0,7,0,0,17,188,Bronze medal
2015,Lucas,de Amorin,6,2,0,7,1,0,16,183,Bronze medal
1996,Gerardo,Aguiar,7,0,1,7,0,0,15,139,Bronze medal
1996,Alejandro,Kocsard,2,7,2,3,1,0,15,139,Bronze medal
2012,Ignacio,Darago,7,0,0,7,3,0,17,182,Bronze medal
1991,Gustavo Ernesto,Massaccesi,0,7,3,7,0,7,24,108,Bronze medal
1994,Dora,Tilli,0,6,1,3,7,7,24,132,Bronze medal
2019,Matías Ezequiel,Raimundez,7,2,1,7,4,0,21,214,Bronze medal
1998,Juan Sebastian,Rodriguez,7,7,2,1,2,0,19,145,Bronze medal
2001,Sergio,Yuhjtman,5,0,0,7,3,0,15,164,Bronze medal
2000,Matias,Del Hoyo,7,1,0,7,0,0,15,161,Bronze medal
2000,Laura,Bolognini,7,1,0,7,0,0,15,161,Bronze medal
2002,Sergio,Yuhjtman,1,7,0,7,1,2,18,168,Bronze medal
1999,Juan Sebastian,Rodriguez,4,1,1,2,6,0,14,159,Bronze medal
2003,Pablo,Dal Lago,7,1,0,7,0,0,15,163,Bronze medal
2014,Brian Pablo,Morris Esquivel,6,5,0,7,2,0,20,200,Bronze medal
1997,Gerardo,Aguiar,1,7,3,6,2,0,19,167,Bronze medal
2022,Bruno,Ziger,2,7,2,7,7,1,26,214,Bronze medal
2002,Carlos,di Fiore,0,6,1,7,1,2,17,177,Bronze medal
1992,Hstau Young,Liao,5,3,0,6,3,0,17,120,Bronze medal
2016,Agustín,Marchionna,7,3,0,6,1,0,17,224,Bronze medal
2005,Gabriel,Carvajal,1,1,0,7,7,0,16,191,Bronze medal
2024,Matías,Álvarez Oviedo,7,2,0,2,7,1,19,227,Bronze medal
2007,Fernando Martín,Vidal,5,0,3,7,0,0,15,197,Bronze medal
2006,Pablo,Nicolás Zimmermann,7,1,0,7,0,0,15,189,Bronze medal
2006,Roberto Aníbal,Morales,7,1,0,7,0,0,15,189,Bronze medal
2010,Ariel,Zylber,7,1,1,7,0,0,16,199,Bronze medal
2000,Iván,Angiono,7,4,0,1,2,0,14,176,Bronze medal
2020,Julián Máximo,Cabrera,7,0,0,7,5,0,19,236,Bronze medal
2009,Iván,Sadofschi,7,7,1,2,0,0,17,220,Bronze medal
1993,Martin,Szew,1,5,0,4,3,0,13,161,Bronze medal
2022,Felipe,Klir,7,7,0,7,4,0,25,230,Bronze medal
2003,Lucas,Rearte,7,0,0,7,0,0,14,179,Bronze medal
2008,Juan Andrés,Dodyk,7,1,0,7,1,0,16,212,Bronze medal
1995,Santiago,Laplagne,6,0,7,6,2,0,21,166,Bronze medal
1995,German,Zorba,6,0,1,7,7,0,21,166,Bronze medal
2005,Ignacio Agustín,Rossi,7,7,0,1,0,0,15,207,Bronze medal
2024,Emiliano,Sosa,7,2,0,7,1,0,17,252,Bronze medal
1997,Juan Ignacio,Fuxman,4,5,0,1,7,0,17,192,Bronze medal
2002,Yue,Yang,7,7,0,0,1,0,15,201,Bronze medal
2016,Lucas,de Amorin,7,1,1,7,0,0,16,253,Bronze medal
2018,Bruno,Di Sanzo,7,3,0,7,0,0,17,250,Bronze medal
1996,Martín,Mereb,4,7,0,1,0,0,12,180,Bronze medal
2014,Lucas,de Amorin,7,4,0,7,0,0,18,238,Bronze medal
2004,Ramiro,Lafuente,7,3,0,5,0,2,17,212,Bronze medal
2004,Lucas,Andisco,6,1,0,7,3,0,17,212,Bronze medal
2008,Mauro,Schilman,7,1,0,7,0,0,15,238,Bronze medal
2001,Martín,Miranda,0,0,0,7,5,0,12,212,Bronze medal
1999,Fernando,Pastawski,7,1,2,1,0,1,12,202,Bronze medal
1990,Fernardo Ariel,Broner,4,0,1,2,7,2,16,139,Bronze medal
1991,Pablo Ariel,Milrud,7,7,0,5,0,1,20,144,Bronze medal
2018,Mateo,Carranza Vélez,7,1,0,7,1,0,16,271,Bronze medal
1998,Fernando,Pastawski,2,7,2,1,2,0,14,194,Bronze medal
2012,Bruno,Staffa,7,0,0,7,0,0,14,254,Bronze medal
2024,Ignacio Javier,Naguil,7,2,0,0,7,0,16,283,Bronze medal
2023,Federico,Crovara,7,1,0,7,3,0,18,297,Bronze medal
2003,Alejandro,Deymonnaz,0,1,7,3,1,0,12,211,Honourable mention
2015,Juan José,Pérez Guerra,6,0,0,7,0,0,13,283,Honourable mention
2015,Agustín,Marchionna,4,1,0,7,1,0,13,283,Honourable mention
2012,Mariano,Bonifacio,7,0,0,6,0,0,13,277,Honourable mention
1995,Leandro,Saita,7,0,1,2,7,0,17,210,Honourable mention
2023,Martín,Lupin,7,3,0,7,0,0,17,315,Honourable mention
2023,Ignacio,Naguil,7,7,0,1,2,0,17,315,Honourable mention
2006,Fernando Martín,Vidal,7,1,0,6,0,0,14,254,Honourable mention
2007,Pablo,Blanc,4,0,0,7,1,0,12,266,Honourable mention
2016,Ian,Fleschler,7,1,0,6,0,0,14,312,Honourable mention
2016,Nicolás,Cassia,7,0,0,7,0,0,14,312,Honourable mention
2009,Miguel,Maurizio,7,2,0,1,2,0,12,296,Honourable mention
2015,Lisandro,Filloy,7,1,0,3,1,0,12,307,Honourable mention
2021,Lucas,Sandleris,7,0,0,2,0,0,9,332,Honourable mention
1997,Germán,Rubino,1,7,0,4,1,0,13,247,Honourable mention
1997,Juan Angel,Cappa,0,1,0,7,2,3,13,247,Honourable mention
1991,German Maximiliano,Müller,7,1,0,7,0,0,15,175,Honourable mention
1990,Luis,Victor Dieulefait,0,3,1,7,3,0,14,171,Honourable mention
2017,Bruno,Di Sanzo,7,0,0,7,0,0,14,342,Honourable mention
2015,Brian Pablo,Morris Esquivel,7,0,0,3,1,0,11,322,Honourable mention
1988,Horacio,Casini,7,0,1,0,3,0,11,150,Honourable mention
2021,Federico,Mierez,7,0,0,0,0,1,8,348,Honourable mention
2007,Mauro,Schilman,3,1,0,7,0,0,11,293,Honourable mention
2011,Alejandro,Candioti,3,0,0,7,2,0,12,320,Honourable mention
2014,Agustín,Mazzocato,7,0,0,7,0,0,14,321,Honourable mention
