Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1974,Herbert,Sinwel,5,6,8,6,7,8,40,1,Gold medal
1977,Karl,Grill,6,6,7,6,7,8,40,1,Gold medal
1981,Andreas,Binder,7,7,7,7,7,7,42,1,Gold medal
1981,Harald,Skarke,7,7,7,7,7,7,42,1,Gold medal
1994,Theresia,Eisenkölbl,7,7,7,7,7,7,42,1,Gold medal
1982,Josef,Schicho,7,3,7,7,7,7,38,6,Gold medal
1976,Karl,Grill,5,7,8,0,7,7,34,7,Gold medal
1975,Wilfried,Pascher,6,7,7,5,6,8,39,7,Gold medal
1988,Wolfgang,Stöcher,7,4,4,7,4,7,33,14,Gold medal
2010,Felix,Dräxler,7,7,0,7,7,0,28,27,Gold medal
1997,Florian,Herzig,7,7,7,7,7,1,36,28,Gold medal
1981,Martin,Goldstern,7,7,6,7,7,7,41,27,Gold medal
1981,Günter,Pollak,7,7,6,7,7,7,41,27,Gold medal
2023,Martin,Bierbaumer,7,7,3,7,7,0,31,55,Silver medal
1987,Wolfgang,Stöcher,7,7,7,7,7,6,41,23,Silver medal
1978,Gerhard,Turnwald,6,7,3,5,6,3,30,14,Silver medal
1986,Harold,Steinacker,5,7,0,7,6,7,32,22,Silver medal
1974,Josef,Hofbauer,4,6,8,6,7,5,36,15,Silver medal
1993,Gerald,Hörhan,7,7,0,6,7,0,27,44,Silver medal
1989,Gudrun,Hametner,7,7,0,7,7,7,35,32,Silver medal
2013,Bernd,Prach,7,7,1,7,6,0,28,61,Silver medal
1996,Florian,Herzig,4,7,4,7,0,3,25,50,Silver medal
1990,Christoph,Zechner,4,3,5,3,7,7,29,37,Silver medal
1986,Wolfgang,Stöcher,7,7,4,7,6,0,31,26,Silver medal
2007,Yimin,Ge,7,3,0,7,7,1,25,65,Silver medal
2011,Bernd,Prach,7,6,1,7,3,0,24,74,Silver medal
2017,Simon,Breneis,7,3,0,4,7,0,21,82,Silver medal
2017,Laurenz,Kohlbach,7,0,0,7,7,0,21,82,Silver medal
1978,Günther,Rothe,6,2,8,5,6,1,28,20,Silver medal
2011,Adrian,Fuchs,7,7,1,7,1,0,23,83,Silver medal
2024,Martin,Bierbaumer,7,2,0,7,7,2,25,90,Silver medal
1975,Karl,Grill,6,1,7,6,6,8,34,21,Silver medal
1989,Christoph,Zechner,6,7,0,7,6,7,33,48,Silver medal
2024,Dominik,Pultar,7,1,0,7,7,2,24,100,Silver medal
1978,Helmut,Gfrerer,6,2,4,5,6,4,27,23,Silver medal
1991,Gerhard,Kirchner,7,7,4,7,7,0,32,61,Silver medal
2000,Stephan,Wagner,7,7,1,6,1,0,22,89,Silver medal
2000,Otmar,Ertl,7,7,3,2,1,2,22,89,Silver medal
1976,Wilfried,Pascher,5,7,2,4,0,6,24,28,Silver medal
1984,Michael,Ulm,7,7,0,7,7,0,28,39,Silver medal
1988,Günter,Schwarzbauer,7,4,5,1,7,0,24,56,Silver medal
1991,Matthias,Langer,7,7,3,7,7,0,31,67,Silver medal
1999,Stephan,Wagner,7,3,0,3,5,1,19,95,Silver medal
2020,Manuel,Trimmel,7,2,4,4,7,1,25,131,Silver medal
2014,Dekai,Dong,7,4,0,7,4,0,22,124,Silver medal
1977,Dieter,Aschauer,6,2,6,0,7,3,24,36,Silver medal
1987,Helmuth,Breitenfellner,7,7,2,7,7,3,33,55,Silver medal
1976,Helmut,Gfrerer,5,0,6,5,0,7,23,33,Silver medal
2024,Valentin,Glatz,7,7,1,7,0,0,22,147,Silver medal
2024,Jan,Strehn,7,7,1,7,0,0,22,147,Silver medal
2024,William,Shi,7,7,0,1,7,0,22,147,Silver medal
1981,Josef,Schicho,7,7,2,7,7,7,37,50,Silver medal
1981,Heinz,Roitner,7,7,1,7,7,7,36,58,Silver medal
1971,Johann,Hackl,1,6,0,4,7,1,19,25,Bronze medal
1988,Gudrun,Hametner,5,2,1,7,7,0,22,66,Bronze medal
1974,Wolfgang,Redtenbacher,5,1,8,6,7,2,29,35,Bronze medal
2011,Georg,Anegg,7,0,0,7,7,0,21,145,Bronze medal
1990,Matthias,Langer,7,4,1,3,7,0,22,80,Bronze medal
1978,Georg,Karner,6,4,3,5,6,0,24,35,Bronze medal
1978,David,Hilbert,6,2,4,5,6,1,24,35,Bronze medal
2006,Yimin,Ge,7,1,0,7,3,0,18,132,Bronze medal
