Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1990,Fadhel,M. Al-Mawlani,7,1,2,1,1,2,14,171,Honourable mention
1990,Jamal,A. Abdulla,3,3,3,4,1,0,14,171,
1990,Nazar,Mohamed H. Kamaluddin,5,3,3,1,0,1,13,184,
1990,Nadhem,A. Abdulla Hassan,2,2,3,2,2,1,12,201,
1993,Ali,Al Yusuf,0,2,0,0,3,0,5,284,
1993,Khaled,Al-Sheha,0,0,0,0,3,1,4,311,
1990,Aymen,Hassan Al-Sayrafi,0,0,3,1,5,0,9,239,
1993,Hanan,Al-Aradi,0,1,0,0,1,0,2,360,
1993,Rafeeg,Ali,0,0,0,0,1,1,2,360,
1993,Fatima,Ali,0,0,0,0,1,1,2,360,
1991,Raed Hashem,Al-Alawi,1,0,0,1,0,0,2,289,
1991,Aymen Hasan,Al-Yousif,1,0,0,0,0,0,1,297,
1991,Amer Ebrahim,Al-Darazi,0,0,1,0,0,0,1,297,
1993,Fahad,S. Falah,0,0,0,0,1,0,1,390,
1991,Huda Ahmed,Ghuloom,0,0,0,0,0,0,0,305,
1991,Waleed Saleh,Khamis,0,0,0,0,0,0,0,305,
1991,Abdul-Nabi Maythem,Al-Sadadi,0,0,0,0,0,0,0,305,
1990,Mohamed Rashid A.,Ebrahim,1,0,1,0,0,1,3,299,
