Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1985,Philippe,Alphonse,7,7,1,7,7,7,36,5,Gold medal
1998,Filip,de Smet,7,7,1,7,7,0,29,49,Silver medal
2012,Stijn,Cambie,7,7,0,7,2,1,24,72,Silver medal
2012,Alexander,Fisch,7,7,0,7,3,0,24,72,Silver medal
2009,Nicolas,Radu,7,7,2,5,7,0,28,83,Silver medal
2003,Cédric,Troessaert,7,7,0,7,1,0,22,69,Silver medal
2019,Tijs,Buggenhout,7,6,0,7,7,0,27,101,Silver medal
2017,Savinien,Kreczman,7,7,0,6,0,0,20,103,Silver medal
2015,Pablo,Bustillo Vazquez,7,1,0,7,3,2,20,101,Silver medal
1992,Bart,de Bruyn,7,4,1,7,0,7,26,57,Silver medal
2005,Guolong,Li,2,7,0,7,3,7,26,93,Silver medal
2004,Arne,Smeets,6,7,0,7,6,0,26,93,Silver medal
2020,Jonas,De Schouwer,7,7,4,7,1,0,26,121,Silver medal
2013,Victor,Lecomte,7,7,0,7,5,0,26,110,Silver medal
2014,Pablo,Bustillo Vazquez,7,6,0,7,2,0,22,124,Silver medal
1981,Bernard,Steenis,,,,,,,38,43,Silver medal
2008,Nicolas,Radu,7,1,0,7,7,0,22,127,Silver medal
2024,Akram,Zakine,7,7,0,7,1,0,22,147,Silver medal
1986,Frédéric,van der Plancke,3,1,7,7,7,1,26,54,Silver medal
1981,Ivan,Deman,,,,,,,37,50,Silver medal
2021,Brecht,Verbeken,7,0,0,4,7,0,18,156,Bronze medal
1992,François,Glineur,7,7,0,6,1,2,23,82,Bronze medal
1998,Lenny,Taelman,7,0,1,7,7,0,22,112,Bronze medal
1988,Marc-Oliver,Coppens,4,5,0,7,5,0,21,73,Bronze medal
2003,Antony,Trinh,7,3,0,7,0,0,17,124,Bronze medal
1987,V.,Lombart,1,7,2,7,7,7,31,65,Bronze medal
2005,François,Gonze,2,7,6,2,0,2,19,144,Bronze medal
1991,Etienne,de Poortere,7,7,7,5,1,0,27,90,Bronze medal
1996,Eric,Vandenbussche,7,0,7,3,0,0,17,121,Bronze medal
2023,Pierre Akin,Dürrüoglu,7,7,0,7,2,0,23,183,Bronze medal
1991,François,Glineur,4,4,3,7,1,7,26,96,Bronze medal
2006,François,Gonze,7,1,0,7,1,1,17,150,Bronze medal
2017,Rodrigue,Haya Enriquez,7,2,0,7,0,1,17,188,Bronze medal
1997,Eric,Vandenbussche,1,5,3,7,4,1,21,142,Bronze medal
1996,Grégory,Soyez,4,7,2,1,0,1,15,139,Bronze medal
1996,Jean-François,Macq,4,4,2,2,0,3,15,139,Bronze medal
2002,Cédric,Troessaert,7,6,0,1,5,0,19,160,Bronze medal
1992,Claude,Desset,7,5,3,3,1,0,19,108,Bronze medal
1997,Ivo,de Decker,6,7,0,7,0,0,20,155,Bronze medal
1994,Carl,D'Halluin,1,7,7,3,4,2,24,132,Bronze medal
2018,Simon,Lemal,4,3,0,7,4,2,20,204,Bronze medal
1986,Michel,Bultreys,2,7,1,7,4,0,21,73,Bronze medal
2000,Pierre,Gramme,7,6,0,2,0,0,15,161,Bronze medal
2009,Mats,Vermeeren,7,7,0,5,0,0,19,198,Bronze medal
2021,Zhichang,Chen,7,0,0,7,0,0,14,218,Bronze medal
2024,Robin,Antoine,7,1,0,7,5,0,20,216,Bronze medal
2011,Stijn,Cambie,7,0,1,6,4,0,18,202,Bronze medal
2020,Amos,Nicodemus,1,2,3,7,7,0,20,227,Bronze medal
2016,Tim,Santens,1,7,2,7,0,0,17,224,Bronze medal
2016,Savinien,Kreczman,7,1,0,7,0,2,17,224,Bronze medal
2016,Damien,Galant,7,1,0,7,2,0,17,224,Bronze medal
2007,Pierre-Alain,Jacqmin,7,1,0,6,1,0,15,197,Bronze medal
2007,Hoan-Phung,Bui,6,1,0,6,2,0,15,197,Bronze medal
2020,Daniel,Cortild,7,0,0,4,7,1,19,236,Bronze medal
1993,Frederic,Bourgeois,1,1,0,3,7,1,13,161,Bronze medal
1989,Philippe,Masson,7,5,0,3,7,0,22,114,Bronze medal
1984,Michel,Lesoinne,3,1,2,7,7,0,20,76,Bronze medal
2011,Alexander,Fisch,7,0,1,7,2,0,17,222,Bronze medal
1979,Xavier,Gonze,0,0,7,5,3,7,22,66,Bronze medal
1985,Claude,Lion,0,7,0,2,4,3,16,83,Bronze medal
1991,Mario,Pickavet,0,7,4,7,1,3,22,126,Bronze medal
2013,Gerwin,Dox,7,3,0,7,0,0,17,211,Bronze medal
2004,Timothée,Marquis,4,7,0,0,7,0,18,200,Bronze medal
2000,Koen,Goossens,0,7,0,6,0,0,13,190,Bronze medal
2009,Alexander,Lemmens,7,1,1,7,0,0,16,233,Bronze medal
2022,Zhichang,Chen,7,7,0,7,3,0,24,247,Bronze medal
1988,Miek,Dekeyser,4,6,4,0,1,0,15,113,Bronze medal
1988,Nicolas,Maskens,2,5,2,1,5,0,15,113,Bronze medal
2018,Lukas,Vandeputte,7,2,0,7,1,0,17,250,Bronze medal
1996,Tom,de Medts,4,0,5,1,0,2,12,180,Bronze medal
1994,Xavier,Hainaut,0,7,0,7,7,0,21,165,Bronze medal
2017,Indy,Van Den Broeck,7,1,0,7,1,0,16,265,Bronze medal
2007,Guolong,Li,3,0,1,6,4,0,14,226,Bronze medal
1997,Laurent,Waxweiler,3,7,0,4,0,2,16,200,Bronze medal
1995,Tom,de Medts,7,0,1,5,7,0,20,182,Bronze medal
1989,Jeffrey,Sax,7,5,1,2,1,4,20,129,Bronze medal
