Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2014,Boammani Aser,Lompo,0,0,0,7,0,0,7,446,Honourable mention
2014,Ismaël Jean De Dieu,Koura,3,0,0,2,0,0,5,470,
2014,Bernice Brice,Sawadogo,1,0,0,2,0,0,3,483,
2014,Mohamed Jalil,Compaore,1,0,0,1,0,0,2,493,
2014,Banceli Dorcas,Sandamba,0,0,0,1,1,0,2,493,
2023,Cheick Abraham,Sangare,2,0,0,0,0,0,2,554,
2023,Armel Stephane Novak,Ki,2,0,0,0,0,0,2,554,
2023,Thiabrimani Owen Yvan,Ouoba,2,0,0,0,0,0,2,554,
2023,Kamble Aime Fabrice,Ouattara,1,0,0,1,0,0,2,554,
2014,Bakono,Some,0,0,0,0,0,0,0,544,
2023,Fatimata Bintou Jaharahi,Savadogo,0,0,0,0,0,0,0,603,
2023,Beninwende Latifatou,Bougouma,0,0,0,0,0,0,0,603,
