Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2018,Ahmed Zawad,Chowdhury,7,7,3,7,7,1,32,27,Gold medal
2016,Asif E,Elahi,7,7,0,7,7,0,28,45,Silver medal
2017,Asif E,Elahi,7,7,0,7,3,0,24,49,Silver medal
2020,Ahmed Ittihad,Hasib,7,7,0,7,7,1,29,59,Silver medal
2017,Ahmed Zawad,Chowdhury,7,2,0,7,7,0,23,64,Silver medal
2012,Dhananjoy,Biswas,7,4,0,7,7,0,25,64,Silver medal
2015,Md Sanzeed,Anwar,7,0,0,7,7,0,21,88,Silver medal
2014,Nur Muhammad,Shafiullah,7,5,0,7,3,0,22,124,Silver medal
2017,Rahul,Saha,7,4,0,7,0,0,18,139,Bronze medal
2023,Nujhat Ahmed ,Disha,7,7,3,7,0,0,24,145,Bronze medal
2023,S M A,Nahian,7,7,1,7,2,0,24,145,Bronze medal
2016,Ahmed Zawad,Chowdhury,7,2,0,7,0,5,21,146,Bronze medal
2011,Dhananjoy,Biswas,7,0,0,7,7,0,21,145,Bronze medal
2018,Thanic Nur,Samin,7,7,0,7,1,1,23,157,Bronze medal
2019,M Ahsan,Al Mahir,7,6,0,7,2,0,22,168,Bronze medal
2015,Adib,Hasan,4,4,1,7,1,0,17,160,Bronze medal
2015,Asif E,Elahi,7,1,1,7,1,0,17,160,Bronze medal
2010,Tarik Adnan,Moon,6,7,0,7,0,0,20,151,Bronze medal
2016,Md Sabbir,Rahman,7,1,0,7,4,0,19,184,Bronze medal
2017,Tamzid Morshed,Rubab,7,3,0,7,0,0,17,188,Bronze medal
2013,Nur Muhammad,Shafiullah,7,5,0,7,2,0,21,163,Bronze medal
2021,Tahmid Hameem,Chowdhury,7,0,0,7,0,0,14,218,Bronze medal
2021,Md. Maruf Hasan ,Rubab,6,0,1,7,0,0,14,218,Bronze medal
2024,Monamy,Zaman,6,1,0,7,6,0,20,216,Bronze medal
2018,Joydip,Saha,7,5,0,7,0,0,19,215,Bronze medal
2020,M Ahsan,Al Mahir,7,0,0,7,6,0,20,227,Bronze medal
2015,Md Sabbir,Rahman,6,0,1,7,1,0,15,217,Bronze medal
2020,Md Maruf Hasan,Rubab,7,0,0,7,5,0,19,236,Bronze medal
2018,Tamzid Morshed,Rubab,7,7,0,3,1,0,18,228,Bronze medal
2009,Samin,Riasat,7,7,0,1,2,0,17,220,Bronze medal
2013,Adib,Hasan,7,2,0,7,1,0,17,211,Bronze medal
2020,Adnan,Sadik,7,7,0,4,0,0,18,248,Bronze medal
2024,S M A,Nahian,7,2,0,7,1,0,17,252,Bronze medal
2012,Sourav,Das,7,4,0,4,0,0,15,229,Bronze medal
2012,Nur Muhammad,Shafiullah,7,0,0,7,1,0,15,229,Bronze medal
2023,Md Shahriar,Hossain,7,3,1,7,2,0,20,259,Bronze medal
2016,Sazid Akhter,Turzo,7,2,0,7,0,0,16,253,Bronze medal
2021,Adnan,Sadik,5,0,1,7,0,0,13,268,Bronze medal
2020,Soumitra,Das,7,2,0,7,0,0,16,272,Bronze medal
2020,Raiyan,Jamil,7,2,0,7,0,0,16,272,Bronze medal
2015,Sazid Akhter,Turzo,4,0,1,7,2,0,14,257,Bronze medal
2022,Tahjib Hossain ,Khan,3,7,0,7,6,0,23,269,Bronze medal
2009,Nazia Naser,Chowdhury,1,7,0,6,0,0,14,264,Bronze medal
2013,Sourav,Das,7,0,0,7,1,0,15,250,Bronze medal
2014,Adib,Hasan,7,1,0,7,1,0,16,267,Bronze medal
2016,S M Nayeemul,Islam,7,0,0,7,0,1,15,281,Honourable mention
2017,Md Sabbir,Rahman,7,1,0,7,0,0,15,292,Honourable mention
2015,S M Nayeemul,Islam,4,1,0,7,1,0,13,283,Honourable mention
2009,Tarik Adnan,Moon,1,7,0,5,0,0,13,283,Honourable mention
2023,Debapriya Saha,Roy,7,3,0,7,0,0,17,315,Honourable mention
2022,Tahmid Hameem ,Chowdhury,6,7,0,7,1,0,21,303,Honourable mention
2022,Md. Fuad Al ,Alam,6,1,0,7,7,0,21,303,Honourable mention
2021,Nujhat Ahmed,Disha,2,0,1,7,0,0,10,319,Honourable mention
2018,Rahul,Saha,7,3,0,3,1,0,14,307,Honourable mention
2024,Jitendra,Barua,7,1,0,7,0,0,15,327,Honourable mention
2019,Soumitra,Das,7,0,0,5,2,0,14,345,Honourable mention
2019,Ahmed Ittihad,Hasib,3,2,0,7,2,0,14,345,Honourable mention
2017,S M Nayeemul,Islam,7,0,0,7,0,0,14,342,Honourable mention
2022,S M A ,Nahian,7,3,0,7,1,1,19,328,Honourable mention
