Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
1967,Peter,Georgiev,6,7,8,6,7,8,42,1,Gold medal
1995,Nikolay,Nikolov,7,7,7,7,7,7,42,1,Gold medal
1984,Diko B.,Mihov,7,7,7,7,7,7,42,1,Gold medal
1987,Vladimir B.,Mihov,7,7,7,7,7,7,42,1,Gold medal
1994,Mladen,Dimitrov,7,7,7,7,7,7,42,1,Gold medal
1994,Iasen P.,Siderov,7,7,7,7,7,7,42,1,Gold medal
2005,Rosen,Dimitrov Kralev,7,7,7,7,7,7,42,1,Gold medal
1981,Georgi,Iordanov Vodev,7,7,7,7,7,7,42,1,Gold medal
2003,Kaloyan,Slavov,7,7,7,7,7,6,41,4,Gold medal
1998,Ivan,Ivanov,5,7,6,7,7,7,39,4,Gold medal
2008,Nikolay Ivanov,Beluhov,7,7,7,7,2,7,37,5,Gold medal
2003,Rumen,Zarev,7,7,6,7,6,7,40,5,Gold medal
2003,Iliya,Tsekov,7,3,7,7,7,7,38,6,Gold medal
2001,Vladimir,Barzov,7,4,5,7,7,7,37,7,Gold medal
1997,Ivan,Ivanov,7,7,7,7,7,5,40,7,Gold medal
1998,Nayden,Kambouchev,7,7,2,7,7,7,37,7,Gold medal
1998,Ivan,Petrakiev,7,7,2,7,7,7,37,7,Gold medal
1985,Nikolai Ivanov,Chavdarov,7,7,2,7,7,7,37,4,Gold medal
2003,Rosen,Dimitrov Kralev,7,7,7,7,7,2,37,9,Gold medal
2003,Aleksandar Dimitrov,Lishkov,2,7,7,7,7,7,37,9,Gold medal
2001,Greta,Panova,7,7,1,7,7,7,36,10,Gold medal
2007,Deyan Stanislavov,Simeonov,7,7,2,7,7,1,31,12,Gold medal
2002,Vladimir,Barzov,5,7,1,7,7,7,34,12,Gold medal
2000,Vladimir,Barzov,7,7,1,7,7,7,36,12,Gold medal
1999,Dimitar,Jetchev,7,7,3,7,7,4,35,13,Gold medal
1985,Vasil Borisov,Daskalov,7,7,0,7,7,7,35,7,Gold medal
2012,Bogdan,Stankov,7,7,7,7,4,1,33,17,Gold medal
2000,Dimitar,Jetchev,7,7,4,3,7,7,35,15,Gold medal
1996,Ivan,Ivanov,4,7,7,7,1,7,33,14,Gold medal
2004,Lozan,Ivanov,7,6,7,7,7,2,36,16,Gold medal
2004,Rosen,Dimitrov Kralev,6,7,2,7,7,7,36,16,Gold medal
1993,Mladen,Dimitrov,0,7,7,7,7,5,33,14,Gold medal
1990,T.,Asparuhov,7,7,6,7,7,4,38,11,Gold medal
2010,Lyuboslav Nikolaev,Panchev,7,7,0,7,1,7,29,18,Gold medal
2007,Nikolay Ivanov,Beluhov,7,7,2,7,7,0,30,19,Gold medal
2023,Marin,Hristov,7,7,7,7,6,2,36,23,Gold medal
2021,Borislav,Kirilov,7,0,1,7,7,7,29,24,Gold medal
2004,Artur,Kirkorian,6,6,4,7,7,5,35,20,Gold medal
2003,Dobromir,Rahnev,7,3,7,7,3,7,34,19,Gold medal
1984,Vasil Borisov,Daskalov,7,7,7,6,7,7,41,9,Gold medal
1997,Rayko,Tchalkov,4,7,7,7,7,5,37,22,Gold medal
1999,Ivan,Petrakiev,7,7,2,7,2,6,31,23,Gold medal
1992,Nikolay,Nikolov,7,1,7,7,7,4,33,17,Gold medal
2022,Borislav,Kirilov,7,7,5,7,7,2,35,32,Gold medal
2018,Borislav,Antov,7,7,2,7,7,1,31,34,Gold medal
2001,Rumen,Zarev,7,2,2,7,7,7,32,28,Gold medal
1994,Stanislav,Jordanov,7,7,7,6,7,7,41,23,Gold medal
1993,Nikolay,Nikolov,1,7,7,7,7,2,31,25,Gold medal
2002,Dobromir,Rahnev,7,7,1,7,6,1,29,29,Gold medal
2002,Kaloyan,Slavov,2,6,7,7,7,0,29,29,Gold medal
1989,Emanuil,Todorov,7,6,6,7,7,6,39,18,Gold medal
2008,Aleksandar Kirilov,Daskalov,7,5,0,7,7,7,33,33,Gold medal
2005,Aleksandar Dimitrov,Lishkov,5,5,7,7,7,4,35,35,Gold medal
1986,Iliya,T. Kraichev,7,7,1,5,7,7,34,15,Gold medal
2009,Lyuboslav Nikolaev,Panchev,7,7,7,4,7,0,32,44,Gold medal
1999,Alexandar,Popov,7,1,1,7,6,6,28,37,Gold medal
1981,Todor,Petkov Mitev,,,,,,,41,27,Gold medal
1983,Diko B.,Mihov,,,,,,,36,10,Silver medal
1988,Emanouil,Atanassov,7,3,0,7,7,7,31,18,Silver medal
1985,Ivan Kolev,Dimitrov,7,7,7,2,2,7,32,15,Silver medal
2015,Lyuben,Lichev,7,3,7,7,1,0,25,40,Silver medal
2022,Marin,Hristov,7,7,2,7,6,4,33,45,Silver medal
2018,Ivan-Aleksandar,Mavrov,7,7,0,7,7,2,30,49,Silver medal
2002,Aleksandar Dimitrov,Lishkov,5,7,1,7,7,1,28,40,Silver medal
1984,Pavel,Tadeev Glasnov,7,7,2,7,7,7,37,17,Silver medal
1993,Iasen P.,Siderov,2,2,5,7,7,6,29,36,Silver medal
1993,Borislav,Deianov,7,2,1,5,7,7,29,36,Silver medal
1995,Grigor,Grigorov,7,7,7,7,2,5,35,36,Silver medal
1995,Detelin,Dossev,7,7,7,7,7,0,35,36,Silver medal
2014,Viktor,Radivchev,7,7,0,7,7,0,28,50,Silver medal
1998,Dimitar,Jetchev,5,2,2,7,7,7,30,38,Silver medal
1993,Valentin,Dimitrov,7,6,3,3,7,2,28,39,Silver medal
1993,Augustin M.,Marinov,7,5,0,3,7,6,28,39,Silver medal
2004,Ivan,Dimitrov Dimitrov,7,7,3,7,5,2,31,46,Silver medal
1989,Kamen,Alexiev,2,7,7,7,7,6,36,28,Silver medal
1987,Ivaylo,Kortezov,7,7,7,7,7,6,41,23,Silver medal
2001,Aleksandar Dimitrov,Lishkov,6,1,2,7,5,7,28,46,Silver medal
2001,Tseno,Tselkov,7,3,1,7,7,3,28,46,Silver medal
2000,Nikolay,Andreev,7,7,0,3,4,7,28,45,Silver medal
2011,Bogdan,Stankov,7,1,6,7,6,0,27,55,Silver medal
1999,Vladimir,Barzov,7,2,3,7,0,7,26,45,Silver medal
1999,Greta,Panova,7,3,1,7,7,1,26,45,Silver medal
2021,Stefan,Hadzhistoykov,7,1,0,7,7,0,22,63,Silver medal
2018,Konstantin,Garov,7,7,0,7,6,2,29,61,Silver medal
2017,Ivan,Ganev,7,7,0,7,0,2,23,64,Silver medal
2019,Evgeni,Kayryakov,7,6,1,7,7,0,28,65,Silver medal
1984,Nikolai Ivanov,Chavdarov,7,6,2,7,6,7,35,21,Silver medal
1997,Ivan,Petrakiev,4,7,7,7,7,0,32,50,Silver medal
1989,Nikolai,Stoev,7,7,0,7,7,7,35,32,Silver medal
2000,Greta,Panova,7,3,0,5,7,5,27,52,Silver medal
2016,Stanislav,Slavov,7,3,0,7,2,7,26,68,Silver medal
2016,Daniel,Atanasov,7,1,1,7,3,7,26,68,Silver medal
2016,Aleksandar,Cherganski,7,5,0,7,7,0,26,68,Silver medal
1988,Zvezdelina,Stankova,7,0,1,7,7,7,29,31,Silver medal
