Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2024,Benjamin,Mujkić,7,7,2,7,7,1,31,19,Gold medal
2024,Andrej,Krčmar,7,7,1,7,7,1,30,29,Gold medal
2024,Vuk,Janković,7,7,0,7,7,1,29,47,Gold medal
2006,Igor,Uljarević,7,7,0,7,3,0,24,52,Silver medal
1998,Tarik,Hadžić,7,7,0,7,7,0,28,58,Silver medal
2014,Milica,Đukić,7,6,0,7,6,0,26,83,Silver medal
2023,Andrej,Krčmar,7,7,0,7,7,0,28,104,Silver medal
2012,Harun,Hindija,7,7,0,6,2,0,22,96,Silver medal
2007,Igor,Uljarević,7,7,0,7,1,0,22,93,Silver medal
2022,Boris,Stanković,7,7,1,7,7,0,29,112,Silver medal
2022,Benjamin,Mujkić,7,7,1,7,7,0,29,112,Silver medal
2022,Jovan,Vuković,7,7,1,7,7,0,29,112,Silver medal
2001,Mahir,Hadžić,7,0,0,7,7,0,21,97,Silver medal
2024,Harun,Alibegović,7,1,0,7,7,0,22,147,Silver medal
1999,Damir,Hasić,4,1,0,4,2,7,18,109,Bronze medal
2021,Boris,Stanković,7,0,1,7,3,0,18,156,Bronze medal
2000,Filip,Morić,7,3,1,1,0,7,19,123,Bronze medal
2000,Mahir,Hadžić,7,7,0,1,2,2,19,123,Bronze medal
2021,Benjamin,Mujkić,7,0,0,7,2,0,16,167,Bronze medal
2003,Milanka,Janković,7,2,0,7,1,0,17,124,Bronze medal
2015,Zlatko Salko,Lagumdžija,7,1,1,7,1,0,17,160,Bronze medal
2016,Zlatko Salko,Lagumdžija,7,2,0,7,4,0,20,169,Bronze medal
2021,Haris,Imamović,7,1,0,0,7,0,15,180,Bronze medal
2023,Vuk,Janković,7,7,0,7,2,0,23,183,Bronze medal
2023,Ervin,Macić,7,6,0,7,3,0,23,183,Bronze medal
2008,Jelena,Radović,5,5,1,7,2,0,20,159,Bronze medal
2012,Ratko,Darda,7,7,0,4,0,0,18,163,Bronze medal
2003,Jusuf,Ramić,7,2,0,7,0,0,16,138,Bronze medal
2017,Zlatko Salko,Lagumdžija,7,3,0,7,0,0,17,188,Bronze medal
2017,Adisa,Bolić,7,3,0,7,0,0,17,188,Bronze medal
2017,Amar,Kurić,7,3,0,7,0,0,17,188,Bronze medal
2015,Milica,Đukić,6,1,1,7,1,0,16,183,Bronze medal
2006,Vedran,Karahodžić,7,1,1,7,0,0,16,161,Bronze medal
2005,Igor,Uljarević,2,7,0,7,1,0,17,175,Bronze medal
2018,Tijana,Babić,4,2,0,7,7,0,20,204,Bronze medal
2008,Salem,Malikić,7,4,0,7,0,0,18,186,Bronze medal
2002,Slavko,Brdar,6,7,0,4,1,0,18,168,Bronze medal
2010,Rijad,Skrobo,5,7,0,5,0,0,17,187,Bronze medal
2011,Ratko,Darda,7,2,0,4,5,0,18,202,Bronze medal
2018,Amar,Kurić,7,7,0,4,1,0,19,215,Bronze medal
2022,Marko,Dimitrić,7,7,0,7,5,0,26,214,Bronze medal
2022,Haris,Imamović,7,4,0,7,6,2,26,214,Bronze medal
2008,Vedran,Karahodžić,7,1,1,7,0,1,17,199,Bronze medal
2006,Irfan,Glogić,7,1,0,7,0,0,15,189,Bronze medal
2023,Mirnes,Fehrić,7,7,0,7,0,0,21,237,Bronze medal
2018,Boris,Velašević,7,3,0,7,1,0,18,228,Bronze medal
2018,Dejan,Stanković,7,2,0,7,1,1,18,228,Bronze medal
1999,Amer,Krivošija,6,1,0,3,2,1,13,178,Bronze medal
1999,Mahir,Hadžić,6,1,0,3,3,0,13,178,Bronze medal
2000,Damir,Hasić,7,2,0,1,3,0,13,190,Bronze medal
2012,Vladimir,Ivković,7,1,0,7,0,0,15,229,Bronze medal
2016,Tijana,Babić,7,2,0,7,0,0,16,253,Bronze medal
2016,Adisa,Bolić,7,2,0,7,0,0,16,253,Bronze medal
2016,Neira,Kurtović,7,2,0,7,0,0,16,253,Bronze medal
2001,Vladimir,Vladičić,2,1,0,7,3,0,13,199,Bronze medal
1996,Tarik,Alatović,3,1,1,7,0,0,12,180,Bronze medal
2020,Marko,Vučić,7,6,0,4,0,0,17,262,Bronze medal
1993,Mak,Trifković,1,7,0,0,4,0,12,176,Bronze medal
1994,Tarik,Muharemović,0,7,5,2,7,0,21,165,Bronze medal
2017,Emin,Mrkonja,6,3,0,7,0,0,16,265,Bronze medal
2010,Admir,Beširević,7,0,0,7,1,0,15,226,Bronze medal
2021,Ervin,Macić,6,0,0,7,0,0,13,268,Bronze medal
1997,Bakir,Lačević,1,7,0,1,7,0,16,200,Bronze medal
2005,Igor,Ninković,1,1,0,7,5,0,14,225,Bronze medal
2023,Benjamin,Mujkić,7,3,0,7,2,0,19,279,Bronze medal
2000,Omer,Tanović,4,1,0,6,0,0,11,213,Bronze medal
1998,Vedad,Letić,2,5,2,0,5,0,14,194,Bronze medal
1998,Damir,Hasić,2,1,2,2,7,0,14,194,Bronze medal
2024,Adnan,Osmić,7,2,0,7,0,0,16,283,Bronze medal
2024,Naida,Gavranović,7,1,0,7,1,0,16,283,Bronze medal
2009,Jelena,Radović,5,1,0,5,3,0,14,264,Bronze medal
2021,Marko,Jojić,4,0,1,7,0,0,12,290,Bronze medal
2013,Adnan,Ibrić,4,2,0,7,2,0,15,250,Bronze medal
2020,Dejan,Stanković,7,0,0,7,1,0,15,294,Bronze medal
2020,Boris,Stanković,7,0,0,7,1,0,15,294,Bronze medal
2020,Jovan,Vuković,6,0,0,4,5,0,15,294,Bronze medal
2020,Faik,Tahirović,7,0,1,0,7,0,15,294,Bronze medal
2016,Amar,Kurić,7,1,0,7,0,0,15,281,Honourable mention
2017,Azur,Đonlagić,7,1,0,7,0,0,15,292,Honourable mention
2005,Jasna,Vilić,3,0,1,7,0,0,11,249,Honourable mention
2019,Damjan,Stanković,7,2,0,0,7,0,16,303,Honourable mention
2018,Adnan,Šabanović,7,1,0,7,0,0,15,290,Honourable mention
2015,Neira,Kurtović,4,1,0,7,1,0,13,283,Honourable mention
1998,Bakir,Lačević,5,0,1,0,7,0,13,206,Honourable mention
2011,Harun,Hindija,7,0,0,1,7,0,15,282,Honourable mention
2009,Adnan,Ademović,7,3,0,0,3,0,13,283,Honourable mention
2010,Mina,Ferizbegović,6,0,0,7,1,0,14,266,Honourable mention
2007,Harun,Šiljak,0,3,2,7,0,0,12,266,Honourable mention
2016,Emin,Mrkonja,7,0,0,7,0,0,14,312,Honourable mention
2019,Boris,Velašević,7,2,0,6,0,0,15,326,Honourable mention
2019,Boris,Stanković,7,1,0,7,0,0,15,326,Honourable mention
2019,Dejan,Stanković,7,1,0,5,2,0,15,326,Honourable mention
2018,Damjan,Stanković,7,2,0,4,0,0,13,320,Honourable mention
2003,Dino,Oglić,2,0,0,7,1,0,10,247,Honourable mention
2015,Adisa,Bolić,3,0,0,7,1,0,11,322,Honourable mention
2013,Haris,Brkić,0,6,0,7,0,0,13,296,Honourable mention
2007,Mehmed,Brkić,3,1,0,7,0,0,11,293,Honourable mention
2023,Harun,Alibegović,7,7,0,0,2,0,16,349,Honourable mention
2011,Zlatan,Tucaković,3,0,0,7,2,0,12,320,Honourable mention
2014,Demir,Papić,7,0,0,7,0,0,14,321,Honourable mention
2014,Adnan,Kreho,7,0,0,7,0,0,14,321,Honourable mention
2014,Lamija,Kujan,7,0,0,7,0,0,14,321,Honourable mention
1998,Amer,Krivošija,7,0,1,0,2,0,10,242,Honourable mention
2004,Amna,Hadžiabdić,7,1,0,3,1,0,12,281,Honourable mention
2015,Mirza,Arnaut,1,1,0,7,1,0,10,337,Honourable mention
2003,Emir,Sokić,2,0,0,7,0,0,9,269,Honourable mention
2009,Admir,Beširević,7,3,0,0,0,0,10,335,Honourable mention
2009,Ratko,Darda,7,1,0,2,0,0,10,335,Honourable mention
2010,Adnan,Ademović,6,0,0,7,0,0,13,313,Honourable mention
2010,Ratko,Darda,5,0,0,7,1,0,13,313,Honourable mention
2021,Naida,Purišević,7,0,0,0,0,0,7,372,Honourable mention
1998,Mahir,Hadžić,7,0,0,0,2,0,9,253,Honourable mention
2013,Milica,Đukić,1,2,0,7,0,0,10,322,Honourable mention
2011,Mina,Ferizbegović,7,0,1,1,1,0,10,356,Honourable mention
2015,Demir,Papić,0,0,1,7,1,0,9,365,Honourable mention
2017,Tijana,Babić,7,2,0,4,0,0,13,390,Honourable mention
2012,Sead,Delalić,7,0,0,3,0,0,10,350,Honourable mention
2012,Marko,Rajković,7,0,0,1,2,0,10,350,Honourable mention
2006,Alem,Memić,7,0,0,3,1,0,11,319,Honourable mention
2019,Dušan,Garić,7,1,0,0,2,0,10,402,Honourable mention
1997,Damir,Hasić,0,7,1,1,0,0,9,299,Honourable mention
1997,Amela,Prelić,0,7,0,1,1,0,9,299,Honourable mention
1997,Kerim,Šuruliz,1,0,0,1,7,0,9,299,Honourable mention
1994,Sinan,Sinanović,0,0,7,3,3,0,13,254,Honourable mention
2007,Vedran,Karahodžić,0,1,0,7,1,0,9,344,Honourable mention
2022,Emira,Ibrahimović,7,1,0,1,6,0,15,394,Honourable mention
2011,Vladimir,Ivković,7,0,0,0,2,0,9,378,Honourable mention
2006,Jelena,Radović,7,0,0,3,0,0,10,335,Honourable mention
2013,Marko,Palangetić,1,0,0,7,0,0,8,355,Honourable mention
2013,Marko,Rajković,1,0,0,7,0,0,8,355,Honourable mention
2020,Marko,Jojić,7,1,0,0,0,0,8,419,Honourable mention
2008,Ana,Krkljić,7,0,0,1,0,0,8,368,Honourable mention
2014,Rijad,Muminović,2,0,0,7,1,0,10,387,Honourable mention
2007,Irfan,Glogić,0,1,0,7,0,0,8,365,Honourable mention
2004,Milenko,Milićević,0,0,0,7,0,0,7,366,Honourable mention
2010,Harun,Hindija,0,1,0,7,0,0,8,401,Honourable mention
2007,Salem,Malikić,0,0,0,7,0,0,7,402,Honourable mention
2006,Harun,Šiljak,0,1,0,7,0,0,8,388,Honourable mention
2002,Dino,Oglić,0,6,0,6,1,0,13,233,
2000,Boris,Marjanović,4,1,0,1,1,2,9,260,
2004,Nermin,Hodžić,6,4,0,1,1,0,12,281,
2019,Marko,Jojić,6,1,0,4,2,0,13,361,
1996,Kerim,Šuruliz,2,1,1,3,0,0,7,248,
1996,Radoš,Radoičić,1,1,1,1,1,2,7,248,
2009,Vlado,Uljarević,4,0,0,6,0,0,10,335,
1999,Darko,Sinanović,3,1,0,2,1,1,8,292,
2001,Mirza,Hamza,3,0,1,0,2,0,6,312,
2000,Zaim,Musa,1,1,0,5,0,0,7,309,
2012,Hamza,Merzić,6,0,0,3,0,0,9,373,
2005,Momčilo,Kovač,1,1,0,1,0,1,4,356,
2002,Ivana,Mihajlović,0,6,0,0,1,0,7,334,
1999,Tarik,Hadžić,1,1,1,1,2,1,7,315,
2003,Nermin,Hodžić,0,1,0,6,0,0,7,320,
2009,Mina,Ferizbegović,3,0,0,3,0,0,6,416,
2014,Neira,Kurtović,5,0,0,1,2,0,8,421,
1999,Emir,Sirbubalo,3,0,1,1,1,0,6,344,
1996,Vedad,Letić,0,1,1,1,1,0,4,325,
2001,Emir,Sirbubalo,2,0,0,0,1,0,3,364,
2005,Milenko,Milićević,0,1,0,1,0,0,2,396,
1995,Radoš,Radoičić,3,0,0,2,2,0,7,329,
2002,Emil,Ilic-Georgijević,0,1,0,0,2,0,3,393,
2004,Edin,Bošković,3,0,0,0,1,0,4,408,
