Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2000,Alexandr,Usnich,7,7,7,7,7,7,42,1,Gold medal
2005,Aliaksei,Levin,7,7,7,7,7,7,42,1,Gold medal
2017,Yahor,Dubovik,7,7,1,7,7,0,29,7,Gold medal
1999,Ivan,Lossev,7,7,7,7,7,1,36,6,Gold medal
2000,Artsiom,Kokhan,7,6,7,7,7,4,38,7,Gold medal
2024,Mikhail,Raikhman,7,7,6,7,7,0,34,11,Gold medal
2001,Siarhei,Markouski,7,7,1,7,7,7,36,10,Gold medal
2024,Matvey,Vylegzhanin,7,7,2,7,7,2,32,14,Gold medal
2024,Ivan,Korshunau,7,7,2,7,7,1,31,19,Gold medal
2002,Dzmitry,Dudko,7,6,1,7,7,3,31,19,Gold medal
1999,Ivan,Razhnou,7,7,6,2,7,3,32,20,Gold medal
1996,Serguei,Chikh,4,6,7,7,1,7,32,19,Gold medal
2024,Pavel,Tsitou,7,7,0,7,7,2,30,29,Gold medal
2009,Artsiom,Toyestseu,7,7,7,6,7,0,34,27,Gold medal
2007,Artsiom,Mitskevich,7,7,0,7,7,1,29,28,Gold medal
1999,Artsiom,Kokhan,7,7,2,4,7,3,30,28,Gold medal
2003,Victoria,Lebed,7,7,0,7,7,1,29,29,Gold medal
2014,Dzmitry,Babrou,7,6,0,7,7,3,30,36,Gold medal
2013,Aliaksei,Semchankau,7,3,7,7,7,0,31,34,Gold medal
2022,Artsiom,Mialik,7,7,4,7,5,3,33,45,Silver medal
2017,Aliaksei,Vasileuski,7,3,0,7,7,0,24,49,Silver medal
2004,Igor,Khrol,6,5,3,7,7,3,31,46,Silver medal
1994,Stanislav,Sobolevsky,7,7,7,7,7,2,37,37,Silver medal
2021,Artsiom,Mialik,7,0,1,7,7,0,22,63,Silver medal
2019,Vladyslav,Zveryk,7,7,1,6,7,0,28,65,Silver medal
2009,Palina,Khudziakova,7,7,1,7,7,0,29,62,Silver medal
