Year,Name,Surname,Problem1,Problem2,Problem3,Problem4,Problem5,Problem6,Total,Rank,Award
2024,Luis André,Villan Gabriel,7,2,0,7,0,1,17,252,Bronze medal
2011,Diego,Salazar Gutiérrez,7,0,0,7,1,0,15,282,Honourable mention
2017,Diego,Chumacero Carballo,7,0,0,7,0,0,14,342,Honourable mention
2020,Marvin Mario,Martinez Nuñez,7,0,3,3,0,0,13,345,Honourable mention
2023,Carlos Andres,Pozo Vargas,2,7,0,7,0,0,16,349,Honourable mention
2022,Marvin Mario,Martínez Nuñez,7,1,0,7,1,2,18,343,Honourable mention
2023,Luis André,Villan Gabriel,7,7,1,0,0,0,15,366,Honourable mention
2021,Marvin Mario,Martinez Nuñez,7,0,0,0,0,0,7,372,Honourable mention
2018,Jose Manuel,Guerra Colque,7,0,0,2,1,0,10,368,Honourable mention
1997,Antonio,Duvravcic,1,7,0,1,0,0,9,299,Honourable mention
2022,David,Sompero Mendoza,7,0,0,7,1,0,15,394,Honourable mention
2018,Diego Matias,Cazon Tejerina,7,1,0,0,0,0,8,413,Honourable mention
2023,David,Sompero Mendoza,0,1,0,7,2,0,10,441,Honourable mention
2020,Jaime Esteban,Araujo Saenz,7,0,0,0,0,0,7,445,Honourable mention
2018,Denis Farid,Arancibia Bobarin,7,0,0,0,0,0,7,430,Honourable mention
2023,Marvin Mario,Martinez Nuñez,7,0,0,0,2,0,9,459,Honourable mention
2022,Luis André,Villan Gabriel,3,0,0,7,1,0,11,445,Honourable mention
2017,Jose Manuel,Guerra Colque,7,0,0,2,0,0,9,471,Honourable mention
2017,Denis Farid,Arancibia Bobarin,2,0,0,7,0,0,9,471,Honourable mention
2022,Carlos Andrés ,Pozo Vargas,7,1,0,1,1,0,10,458,Honourable mention
2024,Nikh Kevin,Soto Uzeda,7,0,0,1,0,0,8,475,Honourable mention
2017,Jocelyn Isabel,Calderon Calderon,7,0,0,1,0,0,8,497,Honourable mention
2021,David,Sompero Mendoza,5,0,0,2,0,0,7,372,
2021,Carlos Andrés,Pozo Vargas,0,0,0,6,0,0,6,415,
2021,Jaime Esteban,Araujo Saenz,0,0,0,6,0,0,6,415,
2009,Diego,Salazar Gutiérrez,3,3,0,1,0,0,7,393,
2021,Peter Iber,Carvajal Gutiérrez,2,0,0,0,0,0,2,470,
2010,Arran,Fernandez,5,1,0,2,0,0,8,401,
2019,Jocelyn Isabel,Calderón Calderón,3,0,0,0,0,0,3,504,
2019,Jaime Esteban,Araujo Saenz,3,0,0,0,0,0,3,504,
2018,Jocelyn Isabel,Calderon Calderon,2,0,0,1,0,0,3,486,
2018,Diego,Chumacero Carballo,2,0,0,0,1,0,3,486,
2019,Marvin Mario,Martinez Nuñez,0,0,0,0,2,0,2,523,
1997,Karla,Ponce,1,0,0,1,1,0,3,391,
2013,Natalia Leonila,Quiroga Pérez,0,0,0,3,0,0,3,452,
